;C11;C15;C17;C19;C3;C5;C6;CJA
sauvegarder bn:00093281v;1; 1; 0; 1; 1; 1; 1; 1; 
supprimer bn:00086081v;1; 1; 0; 1; 0; 0; 1; 0; 
évoquer bn:00092425v;1; 0; 0; 0; 0; 0; 0; 0; 
clé primaire bn:03542434n;1; 0; 0; 1; 0; 1; 1; 0; 
structure bn:00094491v;1; 0; 1; 0; 1; 0; 0; 0; 
jour bn:00000086n;1; 1; 0; 1; 1; 0; 1; 1; 
insert bn:03795444n;1; 1; 0; 1; 1; 0; 1; 0; 
existence bn:00009676n;1; 0; 0; 0; 0; 1; 1; 0; 
contrainte bn:00022062n;1; 0; 0; 1; 1; 0; 1; 1; 
delete bn:00941697n;1; 1; 0; 1; 1; 1; 1; 0; 
mise à jour bn:15364261n;1; 0; 0; 1; 1; 0; 1; 1; 
générateur bn:03384822n;1; 0; 0; 0; 0; 0; 0; 1; 
générateur de code bn:01151877n;1; 0; 0; 0; 0; 0; 0; 0; 
connaissance bn:00020452n;1; 0; 0; 0; 0; 0; 0; 0; 
menu contextuel bn:03615391n;1; 1; 0; 0; 0; 0; 0; 0; 
visualiser bn:00095548v;1; 1; 1; 1; 0; 0; 0; 0; 
fines bn:15413867n;1; 0; 0; 0; 0; 0; 0; 0; 
penser à bn:00089804v;1; 0; 0; 0; 0; 0; 0; 0; 
générale bn:00103507a;1; 1; 1; 1; 0; 0; 1; 1; 
deux bn:00000075n;1; 0; 0; 0; 1; 0; 1; 0; 
plusieurs bn:00110470a;1; 0; 0; 0; 0; 0; 0; 0; 
assemblage bn:04781999n;1; 0; 0; 0; 0; 0; 0; 0; 
spécifiques bn:00111003a;1; 0; 0; 0; 0; 0; 0; 0; 
caractère génériques bn:03157099n;1; 0; 0; 0; 0; 0; 0; 0; 
filtrage bn:00259585n;1; 0; 0; 0; 0; 1; 0; 0; 
limiter bn:00086468v;1; 0; 0; 0; 0; 0; 1; 0; 
critère bn:00023853n;1; 1; 1; 0; 1; 0; 1; 1; 
doublon bn:16572688n;1; 0; 0; 0; 0; 0; 0; 0; 
conceptuel bn:00100194a;1; 0; 0; 0; 0; 0; 1; 0; 
vertu bn:00017935n;1; 0; 0; 0; 0; 0; 0; 0; 
jointure bn:00048368n;1; 0; 0; 0; 1; 0; 0; 0; 
fusionner bn:00090745v;1; 0; 0; 0; 0; 0; 0; 0; 
ambiguïtés bn:00003266n;1; 0; 1; 0; 1; 0; 0; 0; 
pouvoir bn:00084451v;1; 1; 0; 1; 0; 0; 1; 0; 
naître bn:00082757v;1; 0; 0; 0; 0; 0; 0; 0; 
exister bn:00083184v;1; 0; 0; 0; 1; 0; 1; 0; 
bibliographie bn:00010224n;1; 0; 0; 0; 0; 0; 0; 0; 
type de valeurs bn:00253515n;1; 0; 0; 0; 1; 0; 0; 0; 
concret bn:00100206a;1; 0; 0; 0; 0; 0; 0; 1; 
impossible bn:00104687a;1; 1; 0; 0; 1; 1; 1; 1; 
normale bn:00107587a;1; 1; 0; 0; 0; 0; 0; 1; 
émettre bn:00089922v;1; 0; 0; 0; 0; 0; 0; 0; 
tel bn:00111411a;1; 0; 0; 0; 0; 0; 0; 0; 
intermédiaire bn:00047121n;1; 0; 0; 0; 0; 0; 0; 1; 
train bn:00066028n;1; 0; 0; 0; 0; 0; 0; 0; 
caractéristique bn:00099532a;1; 0; 0; 0; 0; 1; 1; 1; 
notamment bn:00115235r;1; 0; 0; 0; 1; 1; 0; 0; 
grand nombre bn:14223782n;1; 1; 0; 0; 1; 0; 1; 0; 
maîtriser bn:00085748v;1; 0; 0; 0; 0; 0; 0; 0; 
fonction de base bn:03294262n;1; 1; 1; 0; 0; 0; 1; 0; 
angle bn:00004117n;1; 0; 0; 0; 0; 0; 0; 0; 
avérer bn:00095117v;1; 0; 0; 0; 0; 1; 0; 1; 
déroulement bn:00035391n;1; 0; 0; 0; 0; 0; 0; 0; 
musique bn:00056443n;1; 0; 0; 0; 0; 0; 1; 0; 
acteurs bn:00001176n;1; 0; 0; 0; 0; 0; 0; 0; 
cerner bn:01771517n;1; 0; 0; 0; 0; 0; 0; 0; 
être étendue bn:00090322v;1; 0; 0; 0; 0; 0; 0; 0; 
public bn:00109211a;1; 1; 0; 0; 1; 1; 1; 1; 
supposition bn:00006559n;1; 0; 0; 0; 0; 0; 0; 0; 
confronter bn:00087597v;1; 0; 0; 0; 0; 0; 0; 0; 
intranet bn:00047269n;1; 1; 0; 0; 0; 0; 0; 0; 
avoir envie de bn:00088107v;1; 0; 0; 0; 0; 0; 1; 0; 
classe bn:00082871v;1; 1; 1; 1; 1; 1; 0; 1; 
dérouler bn:00089389v;1; 0; 0; 0; 0; 0; 0; 0; 
temps bn:00077270n;1; 1; 1; 1; 1; 1; 1; 0; 
relation de un à un bn:04753252n;1; 0; 0; 0; 0; 0; 0; 0; 
démarrer bn:00083342v;1; 1; 1; 1; 1; 0; 1; 0; 
instanciation bn:00046945n;1; 0; 0; 0; 0; 0; 0; 0; 
modélisation bn:04905771n;1; 0; 0; 0; 0; 0; 0; 0; 
simplifier bn:00087951v;1; 0; 1; 0; 0; 1; 0; 0; 
être utiles bn:00085368v;1; 1; 1; 0; 1; 0; 1; 1; 
potentiels bn:00108830a;1; 0; 0; 0; 0; 0; 0; 0; 
coordonnées bn:00022459n;1; 0; 0; 0; 1; 0; 0; 0; 
donner naissance bn:00088850v;1; 0; 0; 0; 0; 0; 0; 0; 
primaire bn:00030305n;1; 0; 0; 0; 0; 0; 0; 0; 
êtres bn:00009677n;1; 0; 0; 0; 0; 0; 1; 0; 
fonctionnalité bn:00036836n;1; 1; 0; 0; 0; 0; 1; 1; 
validité bn:01410980n;1; 0; 0; 0; 0; 0; 1; 0; 
format de date bn:03576260n;1; 1; 0; 0; 1; 0; 0; 0; 
séparément bn:00115904r;1; 0; 0; 0; 0; 0; 0; 0; 
ligne de code bn:02312840n;1; 1; 1; 1; 0; 0; 0; 0; 
charge de travail bn:00081580n;1; 0; 0; 0; 0; 0; 0; 0; 
commettre bn:00085426v;1; 0; 0; 0; 0; 1; 0; 0; 
l’écriture bn:00081714n;1; 1; 0; 1; 1; 1; 0; 1; 
ergonomiques bn:00113458a;1; 0; 0; 0; 0; 0; 0; 0; 
police de caractère bn:00016414n;1; 0; 0; 0; 0; 0; 0; 0; 
couleurs bn:00020726n;1; 1; 0; 1; 1; 1; 1; 1; 
correcte bn:00100492a;1; 0; 0; 0; 0; 0; 0; 0; 
placer bn:00090224v;1; 1; 0; 0; 1; 0; 0; 0; 
économie bn:00029676n;1; 0; 0; 0; 0; 0; 1; 0; 
dégager bn:00084196v;1; 0; 0; 0; 0; 0; 0; 0; 
répartition bn:00027877n;1; 0; 0; 0; 0; 0; 0; 0; 
mentionner bn:00088078v;1; 0; 0; 1; 0; 0; 0; 0; 
résulter bn:00087671v;1; 0; 0; 0; 0; 0; 0; 0; 
électronique bn:00102099a;1; 1; 0; 0; 0; 0; 0; 0; 
gif bn:00444440n;1; 0; 0; 0; 1; 0; 0; 0; 
h2 bn:02803535n;1; 0; 0; 1; 0; 1; 0; 0; 
solid bn:03959931n;1; 0; 1; 0; 0; 0; 0; 0; 
encart bn:02265602n;1; 0; 0; 0; 0; 0; 0; 0; 
navigation bn:00057073n;1; 1; 0; 0; 0; 0; 0; 0; 
déconnecter bn:00090445v;1; 1; 0; 0; 0; 0; 0; 0; 
lors bn:00117250r;1; 0; 0; 0; 0; 0; 0; 0; 
lien de retour bn:03396945n;1; 0; 0; 0; 0; 0; 0; 0; 
déconnexion bn:00027504n;1; 0; 0; 1; 1; 0; 0; 0; 
feuille bn:00035596n;1; 0; 0; 0; 0; 0; 0; 0; 
sophistiquée bn:00110922a;1; 0; 0; 0; 0; 0; 0; 0; 
approfondir bn:00086706v;1; 0; 0; 0; 0; 0; 0; 0; 
oublier bn:00084302v;1; 0; 1; 0; 0; 0; 0; 0; 
certain bn:00099474a;1; 0; 0; 0; 0; 0; 0; 0; 
alternative bn:00003132n;1; 0; 0; 0; 0; 0; 0; 0; 
sens large bn:04822383n;1; 0; 0; 0; 0; 0; 0; 0; 
encodeur bn:02487361n;1; 0; 0; 0; 0; 0; 0; 0; 
bienvenue bn:00080852n;1; 0; 1; 0; 0; 0; 1; 0; 
ressembler à bn:00092876v;1; 0; 0; 1; 1; 0; 1; 0; 
progression bn:00001551n;1; 0; 0; 0; 0; 0; 0; 0; 
difficulté bn:00027042n;1; 0; 0; 0; 0; 0; 0; 0; 
feed-back bn:00033948n;1; 0; 0; 0; 0; 0; 0; 0; 
avoir échoué bn:00089072v;1; 0; 0; 0; 0; 0; 0; 0; 
id bn:03885719n;1; 1; 0; 1; 1; 1; 1; 1; 
mini-site bn:00251724n;1; 0; 0; 0; 0; 0; 1; 0; 
arborescence bn:02462444n;1; 0; 0; 0; 0; 0; 0; 0; 
cache bn:00014484n;1; 0; 0; 0; 1; 1; 0; 0; 
daniel bn:03602152n;0; 1; 0; 0; 0; 0; 0; 0; 
historique bn:00104223a;0; 1; 0; 0; 0; 1; 0; 0; 
manuel bn:00099315a;0; 1; 0; 0; 0; 0; 0; 0; 
arrêt bn:00025510n;0; 1; 0; 0; 0; 0; 0; 0; 
interfaçage bn:04713937n;0; 1; 1; 0; 0; 0; 0; 1; 
transtypage bn:17104905n;0; 1; 0; 1; 1; 0; 1; 1; 
arobase bn:00006580n;0; 1; 0; 0; 0; 0; 0; 0; 
comparaison bn:00021304n;0; 1; 1; 1; 1; 0; 0; 1; 
fonction utilisateurs bn:00952651n;0; 1; 1; 0; 0; 1; 0; 0; 
validation bn:03925844n;0; 1; 0; 0; 0; 1; 0; 0; 
en-tête bn:00043309n;0; 1; 1; 1; 1; 0; 1; 1; 
base de données web bn:00021470n;0; 1; 0; 0; 0; 0; 0; 0; 
rechercher bn:00087881v;0; 1; 0; 0; 0; 0; 0; 0; 
insérer bn:00087681v;0; 1; 0; 0; 0; 0; 0; 0; 
naviguer bn:00091024v;0; 1; 0; 0; 0; 0; 0; 0; 
lire bn:00066357n;0; 1; 1; 1; 1; 1; 1; 1; 
daniel bn:00012076n;0; 1; 0; 0; 0; 0; 0; 0; 
erreur de syntaxe bn:00075740n;0; 1; 0; 0; 1; 0; 0; 0; 
sémantique bn:00070404n;0; 1; 0; 0; 0; 0; 0; 1; 
erreur logique bn:00051856n;0; 1; 0; 0; 0; 0; 0; 0; 
message bn:00521573n;0; 1; 0; 1; 1; 1; 0; 1; 
journalisation bn:00306917n;0; 1; 0; 0; 0; 0; 0; 0; 
constructeur bn:03834827n;0; 1; 1; 0; 1; 1; 1; 1; 
attribut bn:00007068n;0; 1; 0; 1; 0; 1; 0; 1; 
héritage bn:00043822n;0; 1; 1; 0; 1; 1; 1; 1; 
redéfinition bn:00066711n;0; 1; 0; 0; 1; 0; 0; 1; 
destructeur bn:01558988n;0; 1; 0; 0; 1; 0; 0; 0; 
langage html bn:00045087n;0; 1; 1; 1; 0; 0; 0; 0; 
etc. bn:00114282r;0; 1; 1; 1; 1; 1; 1; 0; 
hébergeur bn:00801697n;0; 1; 0; 1; 1; 0; 1; 0; 
commerce électronique bn:00029344n;0; 1; 0; 0; 1; 1; 0; 0; 
nom de domaine bn:00028143n;0; 1; 1; 0; 0; 0; 0; 0; 
messagerie bn:00030257n;0; 1; 0; 0; 1; 0; 0; 0; 
comparable bn:00100117a;0; 1; 0; 0; 0; 0; 0; 0; 
standard bn:00111129a;0; 1; 1; 1; 1; 1; 1; 1; 
rasmus lerdorf bn:03232211n;0; 1; 1; 0; 1; 1; 0; 0; 
page perso bn:01605102n;0; 1; 0; 0; 1; 0; 0; 0; 
package bn:01408374n;0; 1; 1; 0; 0; 1; 0; 1; 
interpreter bn:00047204n;0; 1; 1; 0; 1; 0; 1; 0; 
zeev suraski bn:00571154n;0; 1; 1; 0; 1; 1; 0; 0; 
portail bn:00063659n;0; 1; 0; 0; 0; 0; 0; 0; 
moteur bn:00030850n;0; 1; 0; 1; 1; 1; 1; 1; 
moteur zend bn:01337536n;0; 1; 0; 0; 1; 1; 0; 0; 
zend bn:03133191n;0; 1; 0; 1; 1; 1; 0; 0; 
idéal bn:00104501a;0; 1; 0; 0; 0; 0; 0; 1; 
processeurs bn:00014395n;0; 1; 0; 0; 0; 0; 1; 1; 
line bn:16701562n;0; 1; 0; 0; 0; 0; 0; 1; 
familière bn:00020682n;0; 1; 0; 0; 0; 0; 0; 0; 
langage c bn:00014377n;0; 1; 1; 0; 1; 0; 0; 1; 
phénomène bn:00061931n;0; 1; 0; 0; 0; 0; 0; 0; 
actifs bn:00006504n;0; 1; 0; 0; 0; 0; 0; 0; 
combinés bn:00036466n;0; 1; 0; 0; 0; 0; 0; 0; 
répartir bn:00087068v;0; 1; 0; 0; 0; 0; 0; 0; 
client bn:00019764n;0; 1; 1; 1; 1; 1; 0; 0; 
nouvelles technologies bn:03109588n;0; 1; 0; 0; 0; 0; 0; 0; 
activex bn:03829972n;0; 1; 0; 0; 1; 0; 0; 0; 
applets bn:00005083n;0; 1; 0; 0; 0; 0; 1; 1; 
java bn:00048043n;0; 1; 1; 1; 1; 1; 1; 1; 
servlets bn:03188848n;0; 1; 0; 0; 0; 0; 0; 1; 
windows bn:00081305n;0; 1; 1; 1; 1; 1; 1; 1; 
linux bn:00051427n;0; 1; 1; 1; 1; 1; 1; 0; 
serveur apache bn:01932513n;0; 1; 1; 1; 0; 0; 0; 0; 
chose bn:00091115v;0; 1; 0; 0; 1; 1; 1; 0; 
publication scientifiques bn:03136677n;0; 1; 0; 0; 0; 0; 0; 0; 
css bn:00056944n;0; 1; 0; 1; 1; 0; 0; 0; 
nécessaire bn:00031631n;0; 1; 0; 1; 0; 0; 0; 0; 
application bn:00005095n;0; 1; 0; 0; 0; 1; 0; 0; 
agir bn:00082285v;0; 1; 0; 0; 0; 0; 0; 0; 
utilitaire bn:00070672n;0; 1; 0; 0; 0; 0; 0; 0; 
télécharger bn:14037830n;0; 1; 1; 0; 1; 0; 0; 0; 
chemin bn:03131414n;0; 1; 1; 1; 0; 1; 1; 0; 
fichier dll bn:00050969n;0; 1; 0; 1; 0; 1; 1; 1; 
ext bn:00167255n;0; 1; 0; 0; 0; 0; 0; 0; 
dll bn:02058089n;0; 1; 0; 0; 1; 0; 0; 0; 
path bn:01205256n;0; 1; 1; 1; 0; 1; 0; 1; 
exe bn:14503132n;0; 1; 1; 0; 0; 0; 0; 0; 
httpd bn:16913184n;0; 1; 0; 0; 0; 0; 0; 0; 
fenêtre bn:00081292n;0; 1; 0; 0; 0; 0; 0; 1; 
cd bn:00016915n;0; 1; 1; 0; 0; 1; 1; 0; 
sybase bn:01257629n;0; 1; 1; 0; 0; 0; 0; 0; 
pilote bn:00026721n;0; 1; 0; 0; 0; 0; 1; 0; 
langage dynamique bn:01652181n;0; 1; 0; 0; 0; 0; 0; 0; 
horloge bn:00019887n;0; 1; 0; 0; 0; 0; 0; 0; 
fichier log bn:15274529n;0; 1; 0; 0; 0; 1; 0; 0; 
accueil bn:00044514n;0; 1; 0; 1; 0; 0; 1; 0; 
développements bn:01834425n;0; 1; 0; 1; 0; 1; 0; 1; 
coloration syntaxique bn:02006707n;0; 1; 0; 0; 1; 0; 0; 0; 
texte brut bn:01848600n;0; 1; 0; 0; 0; 0; 0; 0; 
ascii bn:00003473n;0; 1; 1; 0; 1; 0; 0; 1; 
sgml bn:00070813n;0; 1; 0; 0; 0; 0; 0; 0; 
vbscript bn:02626435n;0; 1; 0; 0; 1; 0; 0; 0; 
fichier de configuration bn:03229365n;0; 1; 1; 0; 0; 1; 0; 0; 
expression régulière bn:01922794n;0; 1; 0; 0; 0; 0; 0; 0; 
integer bn:00691555n;0; 1; 0; 0; 1; 1; 1; 1; 
constante bn:14692918n;0; 1; 0; 0; 1; 0; 0; 1; 
magiques bn:00099543a;0; 1; 0; 1; 0; 0; 0; 0; 
file bn:00065682n;0; 1; 1; 1; 1; 0; 1; 1; 
pi bn:00062194n;0; 1; 1; 0; 0; 1; 0; 1; 
deuxième bn:00110242a;0; 1; 0; 0; 0; 0; 0; 0; 
vrai bn:00078452n;0; 1; 0; 0; 0; 0; 1; 0; 
base 16 bn:00043959n;0; 1; 0; 0; 0; 0; 0; 0; 
valeur numérique bn:00000451n;0; 1; 1; 0; 1; 0; 0; 0; 
encore bn:00114171r;0; 1; 1; 0; 0; 0; 0; 0; 
syntax bn:03641819n;0; 1; 0; 0; 0; 0; 0; 0; 
affiche bn:15173511n;0; 1; 0; 1; 1; 0; 0; 0; 
carriage return bn:00016246n;0; 1; 1; 0; 1; 0; 0; 0; 
cr bn:00006854n;0; 1; 0; 0; 1; 0; 0; 0; 
horizontale bn:00104328a;0; 1; 0; 0; 0; 0; 1; 0; 
notation octale bn:00058598n;0; 1; 1; 0; 1; 0; 0; 0; 
notation hexadécimale bn:00043958n;0; 1; 1; 0; 1; 0; 0; 0; 
isolé bn:00089916v;0; 1; 0; 0; 1; 0; 0; 0; 
fonction bn:00036821n;0; 1; 0; 1; 1; 0; 0; 0; 
chien bn:00015267n;0; 1; 0; 0; 0; 0; 1; 0; 
echo bn:03626250n;0; 1; 1; 1; 1; 0; 1; 0; 
grace bn:00041221n;0; 1; 0; 0; 0; 0; 0; 0; 
courant bn:00107963a;0; 1; 0; 0; 0; 1; 0; 0; 
auto bn:00007309n;0; 1; 0; 0; 0; 1; 0; 1; 
évolution bn:00032060n;0; 1; 0; 0; 0; 0; 0; 1; 
opération élémentaires bn:05009591n;0; 1; 0; 0; 0; 0; 0; 0; 
addition bn:00001296n;0; 1; 1; 0; 1; 0; 1; 0; 
soustraction bn:00055233n;0; 1; 1; 0; 0; 0; 1; 1; 
multiplication bn:00056300n;0; 1; 1; 0; 1; 1; 1; 1; 
situer bn:00089575v;0; 1; 1; 0; 0; 0; 1; 0; 
gauche bn:00902572n;0; 1; 0; 0; 1; 0; 0; 1; 
affectation bn:02806034n;0; 1; 1; 0; 1; 0; 1; 1; 
droit bn:00048655n;0; 1; 0; 1; 1; 1; 1; 0; 
intervenir bn:00089850v;0; 1; 0; 0; 0; 0; 0; 0; 
tester bn:00094888v;0; 1; 0; 1; 0; 0; 0; 1; 
valeur de retour bn:03828774n;0; 1; 1; 0; 1; 0; 1; 0; 
égal bn:00102336a;0; 1; 1; 1; 1; 0; 1; 1; 
opérande bn:00059114n;0; 1; 1; 0; 0; 0; 0; 1; 
initialiser bn:00089742v;0; 1; 1; 1; 1; 1; 1; 1; 
branchement bn:00131727n;0; 1; 0; 0; 0; 0; 1; 0; 
personnaliser bn:00086177v;0; 1; 0; 0; 0; 0; 0; 0; 
préalable bn:00108973a;0; 1; 0; 0; 0; 0; 0; 0; 
boucle while bn:03237310n;0; 1; 1; 1; 0; 0; 0; 1; 
while bn:00047734n;0; 1; 1; 1; 1; 1; 1; 1; 
février bn:00033882n;0; 1; 0; 0; 1; 0; 0; 0; 
juillet bn:00048548n;0; 1; 0; 0; 0; 0; 0; 0; 
septembre bn:00070537n;0; 1; 0; 0; 1; 1; 0; 0; 
octobre bn:00058593n;0; 1; 0; 0; 0; 0; 0; 0; 
novembre bn:00058192n;0; 1; 0; 0; 0; 0; 1; 0; 
décembre bn:00025645n;0; 1; 0; 0; 0; 0; 0; 0; 
manquant bn:00090161v;0; 1; 0; 0; 1; 0; 1; 0; 
tenir de bn:00094747v;0; 1; 0; 0; 0; 0; 0; 0; 
franz kafka bn:00036274n;0; 1; 0; 0; 0; 1; 0; 0; 
albert camus bn:00002458n;0; 1; 0; 0; 0; 0; 0; 0; 
molière bn:00048073n;0; 1; 0; 0; 0; 0; 0; 0; 
end bn:01899641n;0; 1; 0; 0; 0; 0; 0; 0; 
attention bn:00007020n;0; 1; 0; 0; 1; 1; 0; 1; 
paire clé-valeur bn:01318211n;0; 1; 0; 0; 0; 0; 0; 0; 
key bn:15770009n;0; 1; 0; 1; 0; 0; 0; 0; 
voyelle bn:00080267n;0; 1; 0; 0; 0; 0; 0; 0; 
serpents bn:00059150n;0; 1; 0; 0; 0; 0; 0; 0; 
oiseaux bn:00010605n;0; 1; 0; 0; 0; 0; 0; 0; 
rue bn:00074595n;0; 1; 1; 0; 0; 0; 1; 0; 
jacques brel bn:03810995n;0; 1; 0; 0; 0; 0; 0; 0; 
scribe bn:00022535n;0; 1; 0; 0; 0; 0; 0; 0; 
paris bn:00015540n;0; 1; 0; 0; 0; 0; 0; 0; 
code postal bn:00063770n;0; 1; 0; 0; 0; 0; 1; 0; 
mathématique bn:00106488a;0; 1; 0; 1; 0; 0; 0; 0; 
physique bn:00056996n;0; 1; 0; 0; 0; 0; 1; 0; 
français bn:00036426n;0; 1; 0; 1; 1; 0; 1; 0; 
supprimer bn:00087533v;0; 1; 0; 0; 1; 0; 0; 0; 
papaye bn:00016072n;0; 1; 0; 0; 0; 0; 0; 0; 
banane bn:00008268n;0; 1; 0; 0; 0; 0; 0; 0; 
orange bn:00107945a;0; 1; 0; 0; 0; 0; 0; 0; 
type de fonction bn:03403506n;0; 1; 1; 0; 0; 0; 0; 0; 
vide bn:00113475a;0; 1; 0; 0; 0; 0; 0; 0; 
devoir bn:00091362v;0; 1; 0; 1; 1; 0; 1; 0; 
virgule bn:00020937n;0; 1; 0; 0; 0; 0; 0; 0; 
salaire bn:15928884n;0; 1; 0; 1; 0; 0; 0; 0; 
chaine bn:03482967n;0; 1; 0; 0; 0; 0; 0; 0; 
bleu bn:00011477n;0; 1; 0; 0; 0; 1; 0; 0; 
vert bn:00041648n;0; 1; 0; 0; 1; 1; 0; 0; 
extérieur bn:00108059a;0; 1; 0; 0; 0; 0; 0; 0; 
total bn:00102277a;0; 1; 0; 0; 1; 0; 1; 1; 
nb bn:00056690n;0; 1; 0; 0; 0; 0; 0; 0; 
contraire bn:00100398a;0; 1; 0; 0; 1; 0; 0; 0; 
segment de code bn:00186041n;0; 1; 0; 0; 0; 0; 0; 1; 
comportement bn:00009657n;0; 1; 0; 1; 1; 1; 1; 1; 
point d’interrogation bn:00047210n;0; 1; 0; 0; 0; 0; 0; 0; 
nature bn:00057017n;0; 1; 0; 0; 0; 0; 0; 1; 
caractère de ponctuation bn:00003061n;0; 1; 0; 0; 0; 0; 0; 0; 
ponctuation bn:00065224n;0; 1; 0; 0; 0; 0; 0; 0; 
décoder bn:00086376v;0; 1; 0; 0; 0; 0; 0; 0; 
chiffre hexadécimaux bn:00043957n;0; 1; 0; 0; 0; 0; 0; 0; 
poster bn:00090548v;0; 1; 0; 0; 0; 0; 0; 0; 
query_string bn:03583474n;0; 1; 1; 0; 0; 1; 0; 0; 
split bn:03731386n;0; 1; 0; 0; 0; 0; 0; 0; 
parser bn:15790106n;0; 1; 0; 1; 0; 0; 0; 0; 
figurer bn:00014691n;0; 1; 0; 0; 0; 0; 1; 0; 
courriel bn:00087450v;0; 1; 0; 0; 0; 0; 0; 0; 
groupe bn:00041942n;0; 1; 0; 0; 0; 0; 1; 0; 
civilité bn:00019387n;0; 1; 0; 0; 0; 0; 0; 0; 
anglais bn:00030862n;0; 1; 0; 0; 1; 0; 1; 1; 
art bn:00005927n;0; 1; 0; 0; 0; 0; 1; 0; 
vérification bn:00017984n;0; 1; 0; 1; 1; 0; 1; 0; 
traduction bn:00047114n;0; 1; 0; 1; 0; 1; 1; 0; 
particulier bn:00073185n;0; 1; 0; 0; 0; 0; 1; 0; 
chevron bn:03171924n;0; 1; 0; 0; 0; 0; 0; 0; 
action bn:00001127n;0; 1; 0; 1; 0; 1; 0; 0; 
printf bn:03243783n;0; 1; 1; 1; 0; 1; 0; 1; 
statistique bn:00074061n;0; 1; 0; 0; 0; 0; 1; 0; 
simultanés bn:00099916a;0; 1; 0; 0; 0; 0; 0; 0; 
transaction bn:01403911n;0; 1; 0; 0; 1; 1; 0; 1; 
application programming interface bn:02130401n;0; 1; 0; 0; 0; 0; 0; 1; 
ansi bn:03507104n;0; 1; 0; 0; 0; 0; 1; 0; 
schéma de bn:00035375n;0; 1; 0; 1; 0; 0; 0; 1; 
gauche bn:00050521n;0; 1; 0; 1; 0; 0; 0; 0; 
unix bn:00079165n;0; 1; 1; 0; 1; 1; 0; 1; 
windows nt bn:01409690n;0; 1; 1; 0; 0; 0; 0; 1; 
étendre bn:00085362v;0; 1; 0; 0; 0; 0; 0; 0; 
numérique bn:15182937n;0; 1; 0; 0; 1; 0; 0; 0; 
interroger bn:00032094n;0; 1; 0; 0; 0; 0; 0; 0; 
marc bn:17140087n;0; 1; 0; 0; 0; 0; 0; 0; 
paragraphe bn:00060556n;0; 1; 0; 1; 0; 0; 0; 0; 
numéro de ligne bn:03406633n;0; 1; 0; 0; 1; 0; 0; 0; 
avoir besoin de bn:00091028v;0; 1; 0; 0; 1; 1; 1; 1; 
pouvoir bn:00063940n;0; 1; 0; 0; 0; 0; 1; 0; 
cliquer bn:00085116v;0; 1; 0; 1; 0; 0; 0; 0; 
js bn:15539067n;0; 1; 0; 0; 0; 1; 0; 0; 
second bn:00005460n;0; 1; 0; 0; 1; 0; 0; 0; 
long bn:00116154r;0; 1; 0; 0; 0; 0; 0; 0; 
époque unix bn:00124230n;0; 1; 0; 0; 1; 0; 0; 0; 
gmt bn:00040810n;0; 1; 0; 0; 1; 0; 0; 0; 
droite bn:00051291n;0; 1; 1; 1; 1; 0; 0; 1; 
heure internet bn:02981905n;0; 1; 0; 0; 1; 0; 0; 0; 
vendredi bn:00036512n;0; 1; 0; 0; 1; 1; 0; 0; 
longue bn:00106124a;0; 1; 0; 0; 0; 0; 0; 0; 
préfixe bn:00064136n;0; 1; 0; 0; 0; 0; 0; 0; 
système horaire bn:04803326n;0; 1; 0; 0; 0; 0; 0; 0; 
booléenne bn:00098690a;0; 1; 0; 1; 1; 0; 0; 0; 
monday bn:00055609n;0; 1; 0; 0; 1; 1; 0; 0; 
année bissextile bn:00000107n;0; 1; 0; 0; 0; 0; 0; 0; 
dec bn:00017011n;0; 1; 0; 0; 1; 0; 0; 0; 
ordinal bn:00107962a;0; 1; 0; 0; 0; 0; 0; 0; 
fuseau horaire bn:00077302n;0; 1; 0; 0; 1; 0; 0; 0; 
samedi bn:00068696n;0; 1; 0; 0; 1; 1; 0; 0; 
année 0 bn:03149812n;0; 1; 0; 0; 0; 0; 0; 0; 
août bn:00007140n;0; 1; 0; 0; 0; 0; 0; 0; 
août 2000 bn:00690237n;0; 1; 0; 0; 0; 0; 0; 0; 
minuscule bn:00098029a;0; 1; 0; 1; 0; 0; 0; 0; 
temporaire bn:00105439a;0; 1; 0; 0; 0; 1; 0; 0; 
host bn:01846442n;0; 1; 0; 1; 0; 1; 1; 0; 
tr bn:03561884n;0; 1; 0; 1; 0; 1; 0; 0; 
pear bn:03735126n;0; 1; 0; 0; 0; 0; 1; 0; 
persistance bn:03432337n;0; 1; 0; 0; 0; 0; 0; 1; 
durée de vie bn:01120526n;0; 1; 0; 0; 0; 0; 0; 1; 
chocolat bn:00018639n;0; 1; 0; 0; 0; 0; 0; 0; 
sortie bn:01541423n;0; 1; 1; 1; 1; 0; 0; 1; 
variable d’environnement bn:00031075n;0; 1; 0; 0; 0; 0; 0; 0; 
café bn:00020414n;0; 1; 0; 0; 0; 0; 0; 0; 
annexe bn:03832754n;0; 1; 0; 0; 0; 0; 0; 0; 
poisson bn:00062612n;0; 1; 0; 0; 0; 1; 0; 0; 
protocole bn:00021227n;0; 1; 0; 0; 0; 0; 0; 0; 
avoir recours à bn:00082705v;0; 1; 0; 1; 0; 0; 0; 0; 
côté bn:00110607a;0; 1; 1; 0; 1; 0; 0; 0; 
cookie de session bn:00070691n;0; 1; 0; 1; 1; 0; 0; 0; 
void bn:01326821n;0; 1; 0; 0; 0; 0; 0; 1; 
configurer bn:00085667v;0; 1; 1; 0; 0; 0; 1; 0; 
