;C11;C15;C17;C19;C3;C5;C6;CJA
précèdent bn:00091926v;1; 0; 0; 0; 0; 0; 0; 0; 
indispensable bn:00104964a;1; 0; 0; 0; 0; 1; 1; 1; 
possible bn:00108829a;1; 1; 0; 0; 1; 1; 1; 0; 
afficher bn:00087013v;1; 1; 1; 1; 1; 0; 1; 1; 
parfois bn:00117070r;1; 0; 1; 0; 0; 0; 0; 0; 
nécessaire bn:00107182a;1; 1; 1; 0; 1; 0; 1; 1; 
sélection simple bn:05019938n;1; 0; 0; 0; 0; 0; 0; 0; 
distance bn:00027749n;1; 0; 0; 0; 0; 0; 1; 0; 
affichage bn:00010421n;1; 1; 0; 1; 1; 1; 1; 1; 
accesskey bn:01689926n;1; 0; 0; 0; 0; 0; 0; 0; 
serveur bn:00044916n;1; 1; 1; 1; 1; 1; 1; 1; 
vouloir bn:00095629v;1; 1; 1; 1; 1; 1; 1; 1; 
courants bn:00024510n;1; 0; 0; 0; 0; 1; 0; 1; 
fois bn:00032768n;1; 1; 1; 1; 1; 1; 1; 1; 
endroit bn:00062699n;1; 1; 1; 0; 1; 1; 1; 0; 
symbole bn:00075652n;1; 0; 1; 0; 0; 0; 0; 0; 
alternatif bn:00096897a;1; 0; 0; 0; 0; 0; 0; 0; 
programmation bn:00021493n;1; 1; 1; 1; 1; 1; 1; 1; 
math bn:00053823n;1; 1; 0; 1; 0; 0; 1; 1; 
histoire bn:00044268n;1; 1; 0; 0; 0; 0; 1; 0; 
document object model bn:03762301n;1; 0; 0; 0; 0; 1; 0; 0; 
consortium bn:00022016n;1; 0; 0; 0; 0; 0; 0; 0; 
détecter bn:00086708v;1; 1; 1; 1; 0; 0; 1; 1; 
class bn:03598962n;1; 1; 0; 1; 1; 1; 0; 1; 
déclencher bn:00082306v;1; 0; 0; 0; 1; 0; 0; 0; 
qualificatif bn:00055488n;1; 0; 0; 0; 0; 0; 0; 1; 
variable booléenne bn:00294693n;1; 1; 1; 1; 1; 0; 0; 1; 
examiner bn:00074790n;1; 0; 0; 0; 0; 0; 0; 0; 
contexte bn:00022168n;1; 0; 0; 0; 1; 0; 0; 1; 
encodage bn:00030696n;1; 0; 1; 1; 1; 1; 1; 0; 
commentaires bn:00020978n;1; 1; 1; 1; 1; 1; 0; 1; 
composer bn:14766022n;1; 1; 1; 0; 0; 1; 1; 1; 
boîte de dialogue bn:00026837n;1; 0; 0; 0; 1; 0; 0; 1; 
chaîne bn:00074685n;1; 1; 1; 1; 1; 1; 1; 1; 
syntaxe bn:00062118n;1; 1; 1; 1; 1; 1; 1; 1; 
modèle objet bn:00058448n;1; 1; 1; 1; 1; 1; 0; 1; 
document bn:00087138v;1; 0; 0; 0; 0; 0; 1; 0; 
identique bn:00104508a;1; 1; 0; 0; 1; 0; 0; 0; 
fichier batch bn:00744119n;1; 0; 0; 0; 0; 0; 0; 0; 
touche de tabulation bn:00075801n;1; 0; 0; 0; 0; 0; 0; 0; 
supplémentaires bn:00111488a;1; 0; 1; 0; 1; 1; 1; 0; 
label bn:00066581n;1; 0; 0; 1; 0; 0; 0; 0; 
également bn:00115274r;1; 0; 0; 0; 0; 0; 0; 0; 
personne bn:00046516n;1; 0; 0; 0; 1; 1; 1; 0; 
menu en cascade bn:00016397n;1; 0; 0; 0; 0; 0; 0; 0; 
langage objets bn:00058453n;1; 0; 0; 0; 0; 0; 0; 0; 
délicat bn:00101358a;1; 0; 0; 0; 0; 0; 0; 1; 
feuilles de style bn:00802225n;1; 1; 0; 0; 0; 0; 0; 0; 
feuilles de style en cascade bn:01642119n;1; 1; 0; 1; 0; 1; 0; 0; 
mise en page bn:01681906n;1; 1; 0; 1; 0; 0; 0; 1; 
fonctionnement bn:00036838n;1; 0; 0; 1; 1; 0; 0; 0; 
stratégie bn:00069579n;1; 0; 0; 1; 0; 0; 0; 0; 
feuille de style bn:00074837n;1; 0; 0; 0; 0; 0; 0; 0; 
concept bn:00021547n;1; 1; 1; 0; 0; 0; 0; 1; 
abstrait bn:00096212a;1; 1; 0; 0; 1; 0; 0; 1; 
concrétisation bn:00066410n;1; 0; 0; 0; 0; 0; 0; 0; 
sens bn:00046139n;1; 1; 0; 1; 0; 0; 1; 1; 
double point bn:00020704n;1; 0; 0; 0; 0; 0; 0; 0; 
point-virgule bn:00070420n;1; 1; 1; 0; 1; 0; 1; 1; 
applicables bn:00097372a;1; 0; 1; 0; 0; 0; 0; 1; 
élément html bn:02104867n;1; 1; 0; 1; 1; 0; 1; 0; 
contextuels bn:00100369a;1; 0; 0; 0; 0; 0; 0; 0; 
rouge bn:00066631n;1; 1; 0; 1; 1; 1; 0; 0; 
