X;C3.csv;C5.csv;C6.csv
moléculaire;0;0;0.2
biologie cellulaire;0;0;0.2
physiologie;0;0;0.2
population;0;0;0.2
écologie;0;0;0.2
organismes;0;0;0.2
éducation;0;0;0.2
epistémologie;0;0;0.2
cultures;0;0;0.2
activité physiques;0;0;0.2
théologie;0;0;0.2
théologie catholique;0;0;0.2
approche;0;0;0.2
vinyl;0;0;0.2
l’album;0;0;0.2
ailleurs;0;0;0.2
problème;0;0;0.2
recherche;0;0;0.2
là;0;0;0.2
centrale;0;0;0.2
intitulé;0;0;0.2
rock;0;0;0.2
pénétration;0;0;0.2
date de sortie;0;0;0.2
figurer;0;0;0.2
code postal;0;0;0.2
bureau;0;0;0.2
compte en banque;0;0;0.2
numéro isbn;0;0;0.2
axiome;0;0;0.2
residents;0;0;0.2
rolling stones;0;0;0.2
mick jagger;0;0;0.2
keith richard;0;0;0.2
john lennon;0;0;0.2
futur;0;0;0.2
code barre;0;0;0.2
compositeur;0;0;0.2
song;0;0;0.2
varier;0;0;0.2
velvet underground;0;0;0.2
terry riley;0;0;0.2
probabilité;0;0;0.2
mémoriser;0;0;0.2
conceptuel;0;0;0.2
numero;0;0;0.2
facilité;0;0;0.2
alternative;0;0;0.2
quanta;0;0;0.2
intermédiaire;0;0;0.2
associatif;0;0;0.2
ébauche;0;0;0.2
