X;C3.csv;C5.csv;C6.csv
notamment;0;0;0.2
moteur de recherche;0;0.333333;0.333333
sqlplus;0;0.333333;0.333333
intuitif;0;0.333333;0.333333
toolkit;0;0.333333;0.333333
qt;0;0.333333;0.333333
macos;0;0;0.2
configuration;0;0;0.2
ip;0;0.333333;0.333333
doute;0;0.2;0
administrateur;0;0.2;0
mise à jour;0;0.2;0
insert;0;0.2;0
tenir compte;0;0.2;0
quantité variables;0;0.333333;0.333333
medium;0;0.333333;0.333333
tris;0;0.333333;0.333333
champ de;0;0.333333;0.333333
insérer;0;0.333333;0.333333
plupart;0;0.2;0
préférence;0;0.333333;0.333333
février;0;0.333333;0.333333
mise;0;0.2;0
expliquer;0;0.333333;0.333333
plage;0;0.333333;0.333333
mm;0;0.333333;0.333333
fraction;0;0.333333;0.333333
soumettre;0;0.333333;0.333333
transaction;0;0;0.2
rollback;0;0;0.2
crash;0;0.333333;0.333333
contraintes;0;0.2;0
intégrité;0;0.333333;0.333333
parente;0;0.333333;0.333333
clé étrangère;0;0.2;0
fils;0;0.333333;0.333333
critère;0;0.2;0
flotter;0;0.333333;0.333333
order;0;0.333333;0.333333
simplicité;0;0.333333;0.333333
ouverte;0;0.333333;0.333333
numéroter;0;0.333333;0.333333
identiques;0;0.333333;0.333333
renommer;0;0;0.2
insertion;0;0.333333;0.333333
valeur;0;0.333333;0.333333
liste chaînée;0;0.333333;0.333333
jointure;0;0.333333;0.333333
activer;0;0.333333;0.333333
mode texte;0;0.333333;0.333333
attention;0;0;0.2
fin;0;0.333333;0.333333
placer;0;0.333333;0.333333
img;0;0.2;0
fichier csv;0;0.333333;0.333333
ret;0;0.333333;0.333333
fichier binaire;0;0.333333;0.333333
calculer;0;0.2;0
réussite;0;0.333333;0.333333
pointeur;0;0.333333;0.333333
chdir;0;0.333333;0.333333
argument;0;0.333333;0.333333
relatif;0;0.333333;0.333333
handle;0;0.333333;0.333333
prochaine;0;0.2;0
sous;0;0.333333;0.333333
base 8;0;0.333333;0.333333
type de fichier;0;0.333333;0.333333
fifo;0;0.333333;0.333333
pointé;0;0.2;0
inode;0;0.333333;0.333333
size;0;0;0.2
taille de bloc;0;0.333333;0.333333
shell unix;0;0.333333;0.333333
dirname;0;0;0.2
isoler;0;0.333333;0.333333
chown;0;0.333333;0.333333
chgrp;0;0.333333;0.333333
copy;0;0.333333;0.333333
hard link;0;0.333333;0.333333
lien symbolique;0;0.333333;0.333333
masque;0;0.333333;0.333333
rename;0;0.333333;0.333333
umask;0;0.333333;0.333333
client;0;0;0.2
avatar;0;0.333333;0.333333
vérification;0;0.2;0
pire;0;0.333333;0.333333
boite de dialogue;0;0.333333;0.333333
gestionnaire de fichier;0;0.333333;0.333333
cliquer;0;0.2;0
bouton;0;0.333333;0.333333
temp;0;0.333333;0.333333
fichier temporaire;0;0.333333;0.333333
verrouiller;0;0.333333;0.333333
caractère nul;0;0.333333;0.333333
inverse;0;0.2;0
oreille;0;0.333333;0.333333
gras;0;0.333333;0.333333
entité html;0;0.333333;0.333333
fonctionnement;0;0.333333;0.333333
quotes;0;0.333333;0.333333
formater;0;0.333333;0.333333
troisième;0;0.333333;0.333333
colle;0;0.333333;0.333333
longueur;0;0;0.2
invisibles;0;0.333333;0.333333
strcmp;0;0.333333;0.333333
égale;0;0.333333;0.333333
expiration;0;0.333333;0.333333
disponible;0;0.2;0
variable globale;0;0.333333;0.333333
mot de passe;0;0.2;0
visiteur;0;0.2;0
déconnexion;0;0.333333;0.333333
évidente;0;0.333333;0.333333
connecté;0;0.333333;0.333333
démarrer;0;0.2;0
balise html;0;0.2;0
sauvegarde;0;0.2;0
unset;0;0.333333;0.333333
cookie de session;0;0.333333;0.333333
recommencer;0;0.333333;0.333333
décompte;0;0.2;0
unix_timestamp;0;0.333333;0.333333
retirer;0;0.333333;0.333333
dll;0;0.333333;0.333333
jpeg;0;0.333333;0.333333
windows bitmap;0;0.333333;0.333333
truecolor;0;0.333333;0.333333
largeur;0;0.333333;0.333333
gd;0;0.333333;0.333333
gif;0;0.333333;0.333333
psd;0;0.333333;0.333333
tiff;0;0.333333;0.333333
intel;0;0;0.2
rouge;0;0;0.2
vert;0;0;0.2
premier;0;0.2;0
rvb;0;0.333333;0.333333
coordonnées;0;0.333333;0.333333
total;0;0.2;0
zone;0;0.2;0
blue;0;0.333333;0.333333
cercle;0;0.2;0
ellipse;0;0.333333;0.333333
juste;0;0.333333;0.333333
mot-clé;0;0.333333;0.333333
