X;C3.csv;C5.csv;C6.csv
php;0;0;0.2
script;0;0.333333;0.333333
langage;0.333333;0.333333;0
serveur;0;0;0.2
chaîne;0;0.2;0
programmation;0;0.333333;0.333333
timestamp;0;0.333333;0.333333
base de données;0.333333;0.333333;0
données;0.333333;0.333333;0
nombre;0;0.2;0
fichiers;0;0.333333;0.333333
code;0;0;0.2
texte;0;0.333333;0.333333
http;0.333333;0;0.333333
méthode;0;0.333333;0.333333
site;0.333333;0.333333;0
personne;0.333333;0.333333;0
xml;0.333333;0;0.333333
echo;0;0;0.2
files;0;0;0.2
class;0;0.2;0
configuration;0.2;0;0
insert;0.2;0;0
varchar;0.333333;0.333333;0
client;0.2;0;0
composer;0;0;0.2
null;0;0.2;0
