;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
essayer bn:00082844v;1; 0; 0; 1; 
code malveillant bn:01363738n;1; 0; 1; 1; 
faille de sécurité bn:00080285n;1; 0; 1; 1; 
html5 bn:03675085n;1; 0; 1; 1; 
être valables bn:00082706v;1; 0; 1; 1; 
injection de code bn:00184104n;1; 0; 1; 1; 
système d’information bn:00025331n;1; 0; 1; 1; 
credit bn:00022100n;1; 0; 1; 1; 
depot bn:03854733n;1; 0; 0; 1; 
commit bn:00085426v;1; 0; 1; 1; 
réutilisé bn:00092558v;1; 0; 0; 0; 
printf bn:03243783n;1; 0; 1; 0; 
action bn:00001127n;1; 0; 1; 1; 
courant bn:00024510n;1; 0; 1; 0; 
href bn:00045513n;1; 0; 0; 1; 
csrf bn:14277211n;1; 0; 1; 1; 
temporaire bn:00105439a;1; 0; 1; 1; 
django bn:01551307n;1; 0; 1; 1; 
flask bn:14887813n;1; 0; 1; 1; 
token bn:00050895n;1; 0; 1; 0; 
svg bn:02136503n;1; 0; 1; 1; 
mathml bn:03313895n;1; 0; 1; 1; 
document object model bn:03762301n;1; 0; 1; 1; 
document xml bn:04725671n;1; 0; 1; 1; 
bas niveau bn:01163629n;1; 0; 1; 0; 
programme tv bn:00076429n;1; 0; 1; 1; 
tv bn:00076373n;1; 0; 1; 1; 
debut bn:01247692n;1; 0; 1; 1; 
smith bn:15137150n;1; 0; 1; 1; 
realisateur bn:00027369n;1; 0; 1; 1; 
dutchman bn:03862910n;1; 0; 1; 1; 
johnny guitar bn:00554585n;1; 0; 1; 1; 
guitar bn:00281486n;1; 0; 1; 1; 
woman under the influence bn:03640247n;1; 0; 1; 1; 
victor/victoria bn:01767778n;1; 0; 1; 1; 
simplexml bn:15053361n;1; 0; 1; 1; 
the flying dutchman bn:16075739n;1; 0; 1; 1; 
jour de fête bn:15946696n;1; 0; 1; 1; 
controleur bn:00022289n;1; 0; 1; 0; 
composants bn:00021396n;1; 0; 1; 1; 
version bn:00047114n;1; 0; 0; 1; 
framework web bn:01653710n;1; 0; 1; 1; 
cd bn:00016915n;1; 0; 0; 1; 
path bn:01205256n;1; 0; 1; 0; 
menu bn:00021485n;1; 0; 0; 1; 
poisson bn:00062612n;1; 0; 1; 1; 
catch bn:00037180n;1; 0; 1; 1; 
h2 bn:02803535n;1; 0; 1; 1; 
routage bn:01926016n;1; 0; 1; 1; 
familiariser bn:00082274v;1; 0; 1; 1; 
micro-noyau bn:15964004n;1; 0; 1; 1; 
package bn:01408374n;1; 0; 1; 0; 
courantes bn:00107963a;1; 0; 1; 1; 
bin bn:00000199n;1; 0; 1; 1; 
répertoire de travail bn:00826363n;1; 0; 1; 1; 
log bn:00051830n;1; 0; 1; 1; 
flex bn:00337264n;1; 0; 1; 1; 
test driven development bn:02924470n;1; 0; 1; 1; 
avant bn:00035855n;1; 0; 1; 1; 
méthodologie bn:00054633n;1; 0; 1; 1; 
spécification bn:00073217n;1; 0; 1; 0; 
junit bn:00861107n;1; 0; 1; 0; 
phpunit bn:00980999n;1; 0; 1; 1; 
sommes bn:00082322v;1; 0; 1; 1; 
librairie bn:00050969n;1; 0; 0; 0; 
mettre en place bn:00088250v;1; 0; 1; 1; 
architecture rest bn:03799604n;1; 0; 1; 1; 
transfer bn:03128918n;1; 0; 1; 1; 
logique métier bn:00795795n;1; 0; 1; 1; 
json bn:00802141n;1; 0; 1; 1; 
js bn:15539067n;1; 0; 1; 1; 
rich internet application bn:00268208n;1; 0; 1; 1; 
patch bn:00060970n;1; 0; 1; 1; 
soap bn:02284891n;1; 0; 1; 1; 
microsoft bn:01165400n;1; 0; 0; 1; 
principe bn:00064428n;1; 0; 1; 1; 
roy fielding bn:00949159n;1; 0; 1; 1; 
thèse bn:00027718n;1; 0; 1; 1; 
séparation bn:00070542n;1; 0; 0; 1; 
code serveur bn:16078281n;1; 0; 1; 1; 
description bn:04723965n;1; 0; 0; 1; 
mémorisation bn:00021038n;1; 0; 1; 1; 
contact bn:00085696v;1; 0; 1; 1; 
creation bn:03599511n;1; 0; 1; 0; 
détails bn:00067417n;1; 0; 0; 1; 
avérer bn:00095117v;1; 0; 1; 0; 
root bn:00168023n;1; 0; 1; 1; 
voter bn:00008198n;1; 0; 1; 1; 
mobile bn:00017029n;1; 0; 1; 0; 
informatique bn:00021494n;1; 0; 0; 0; 
initialisation bn:00046781n;1; 0; 1; 0; 
gitlab bn:14257471n;1; 0; 1; 1; 
bitbucket bn:01444337n;1; 0; 1; 1; 
github bn:01101521n;1; 0; 1; 1; 
revue bn:00052671n;1; 0; 1; 1; 
gestion de version bn:03364124n;1; 0; 1; 1; 
professionnelle bn:00109068a;1; 0; 1; 1; 
historique bn:00104223a;1; 0; 1; 1; 
dominique bn:00021210n;1; 1; 0; 1; 
novembre bn:00058192n;1; 1; 0; 1; 
document bn:00087138v;1; 1; 0; 1; 
gnu bn:00324017n;1; 1; 0; 1; 
gnu fdl bn:01157394n;1; 1; 0; 1; 
généralité bn:00041249n;1; 1; 0; 1; 
langage intermédiaires bn:00350794n;1; 1; 0; 1; 
faq bn:00033653n;1; 1; 0; 1; 
préliminaire bn:00108949a;1; 1; 0; 1; 
postgresql bn:01709156n;1; 1; 0; 1; 
pear bn:03735126n;1; 1; 0; 1; 
dbx bn:03185121n;1; 1; 0; 1; 
news bn:03357706n;1; 1; 0; 1; 
manipulation bn:00053225n;1; 1; 0; 1; 
accueil bn:00044514n;1; 1; 0; 1; 
étude de cas bn:02395950n;1; 1; 0; 1; 
évaluation bn:00031973n;1; 1; 0; 1; 
généalogie bn:00033524n;1; 1; 0; 1; 
généralité bn:00037670n;1; 1; 0; 1; 
optimisation bn:01564896n;1; 1; 0; 1; 
fonctionnement bn:00059128n;1; 1; 0; 1; 
remarque bn:00020977n;1; 1; 0; 1; 
autre bn:00108013a;1; 1; 0; 1; 
traiter de bn:00083202v;1; 1; 0; 1; 
aborder bn:00084117v;1; 1; 0; 1; 
universitaires bn:00110169a;1; 1; 0; 1; 
autonome bn:00097830a;1; 1; 0; 1; 
logiciel bn:00021497n;1; 1; 0; 0; 
docbook bn:03194644n;1; 1; 0; 1; 
texte source bn:03152229n;1; 1; 0; 1; 
emacs bn:01156253n;1; 1; 0; 1; 
dtd bn:15232677n;1; 1; 0; 1; 
disponible bn:00097848a;1; 1; 0; 1; 
seul bn:00110667a;1; 1; 0; 1; 
langage naturels bn:00056990n;1; 1; 0; 1; 
ordinateur bn:00021464n;1; 1; 0; 1; 
processeur bn:00014395n;1; 1; 0; 0; 
réécrire bn:00092997v;1; 1; 0; 1; 
portabilité bn:03720519n;1; 1; 0; 0; 
langage compilés bn:00981689n;1; 1; 0; 1; 
intelligible bn:00097389a;1; 1; 0; 1; 
point de vue bn:00063237n;1; 1; 0; 0; 
auxiliaire bn:00007423n;1; 1; 0; 1; 
mesure bn:00090716v;1; 1; 0; 1; 
exécutable bn:00102521a;1; 1; 0; 0; 
compilé bn:00085470v;1; 1; 0; 1; 
confidentialité bn:00021748n;1; 1; 0; 1; 
paiement bn:00061119n;1; 1; 0; 1; 
paiement en ligne bn:05011741n;1; 1; 0; 1; 
lisp bn:00051502n;1; 1; 0; 1; 
applets bn:00005083n;1; 1; 0; 0; 
page web dynamiques bn:00937946n;1; 1; 0; 1; 
flash bn:01369336n;1; 1; 0; 1; 
problématique bn:00097982a;1; 1; 0; 1; 
contrôle de sécurité bn:03784539n;1; 1; 0; 1; 
validité bn:01410980n;1; 1; 0; 1; 
être extrait bn:00087897v;1; 1; 0; 1; 
réalité bn:00066414n;1; 1; 0; 1; 
outil de développement bn:03072994n;1; 1; 0; 0; 
importer bn:00046139n;1; 1; 0; 0; 
application web bn:02246184n;1; 1; 0; 0; 
tant bn:00114490r;1; 1; 0; 1; 
cas particulier bn:02482901n;1; 1; 0; 0; 
générale bn:00103507a;1; 1; 0; 0; 
quelconques bn:00097433a;1; 1; 0; 0; 
soustraction bn:00055233n;1; 1; 0; 0; 
classiques bn:00019566n;1; 1; 0; 0; 
inférieur bn:00035700n;1; 1; 0; 0; 
table de multiplication bn:03381903n;1; 1; 0; 1; 
factorielles bn:00032673n;1; 1; 0; 1; 
enfant bn:00018346n;1; 1; 0; 1; 
common gateway interface bn:03588331n;1; 1; 0; 1; 
pouvoir bn:00084451v;1; 1; 0; 1; 
après bn:00114165r;1; 1; 0; 0; 
bouton radio bn:03157702n;1; 1; 0; 1; 
radio bn:00065899n;1; 1; 0; 1; 
case à cocher bn:03157691n;1; 1; 0; 1; 
clic bn:00019758n;1; 1; 0; 0; 
exclusifs bn:00102512a;1; 1; 0; 1; 
sélectionner bn:00084931v;1; 1; 0; 0; 
avoir accès bn:00082209v;1; 1; 0; 1; 
phrase bn:00070528n;1; 1; 0; 1; 
bébé bn:00007630n;1; 1; 0; 1; 
distance bn:00027749n;1; 1; 0; 1; 
vrai bn:00078452n;1; 1; 0; 1; 
nom de personne bn:03150299n;1; 1; 0; 1; 
permis de chasse bn:00037195n;1; 1; 0; 1; 
capital bn:00015496n;1; 1; 0; 1; 
coûter bn:00083193v;1; 1; 0; 1; 
groupe bn:00041942n;1; 1; 0; 1; 
liste déroulante bn:00028831n;1; 1; 0; 1; 
incomplète bn:00104851a;1; 1; 0; 1; 
devinette bn:00012686n;1; 1; 0; 1; 
manipulation bn:00042822n;1; 1; 0; 1; 
abuser bn:00090815v;1; 1; 0; 1; 
string bn:00050078n;1; 1; 0; 1; 
matrice bn:00053849n;1; 1; 0; 1; 
boucle for bn:03237322n;1; 1; 0; 0; 
couple bn:00012597n;1; 1; 0; 1; 
touch bn:03178622n;1; 1; 0; 1; 
hoaxbuster bn:04764839n;1; 1; 0; 1; 
virus bn:00021501n;1; 1; 0; 1; 
e-mail bn:00029345n;1; 1; 0; 1; 
identifier bn:00089575v;1; 1; 0; 1; 
xxvii bn:00000091n;1; 1; 0; 1; 
pilote bn:00026721n;1; 1; 0; 1; 
fonction de base bn:03294262n;1; 1; 0; 1; 
migration bn:00261245n;1; 1; 0; 1; 
comme bn:00117173r;1; 1; 0; 1; 
adodb bn:00868267n;1; 1; 0; 1; 
metadata bn:00054548n;1; 1; 0; 1; 
mssql bn:00605043n;1; 1; 0; 1; 
firebird bn:02246711n;1; 1; 0; 1; 
informix bn:03306725n;1; 1; 0; 1; 
odbc bn:14228731n;1; 1; 0; 1; 
clore bn:00087609v;1; 1; 0; 0; 
explicitement bn:00115285r;1; 1; 0; 1; 
ansi bn:03507104n;1; 1; 0; 1; 
homogène bn:00104286a;1; 1; 0; 1; 
adresse mail bn:02312462n;1; 1; 0; 1; 
copier-coller bn:00797466n;1; 1; 0; 1; 
rendre bn:00067105n;1; 1; 0; 1; 
détecter bn:00086708v;1; 1; 0; 0; 
envier bn:00083351v;1; 1; 0; 1; 
souhaitable bn:00101237a;1; 1; 0; 1; 
force brute bn:00149736n;1; 1; 0; 1; 
bc bn:15403265n;1; 1; 0; 1; 
temps de calcul bn:00068589n;1; 1; 0; 1; 
compliquer bn:00085483v;1; 1; 0; 1; 
chaîne littérale bn:01271375n;1; 1; 0; 1; 
tex bn:02362481n;1; 1; 0; 1; 
alex bn:03665083n;1; 1; 0; 1; 
thomas bn:00005240n;1; 1; 0; 1; 
avoir envie de bn:00088107v;1; 1; 0; 1; 
impératif bn:00104644a;1; 1; 0; 1; 
fonctionnalité bn:00036836n;1; 1; 0; 0; 
archiver bn:00005448n;1; 1; 0; 1; 
stocker bn:00089368v;1; 1; 0; 0; 
particulier bn:00073185n;1; 1; 0; 1; 
data source name bn:03804134n;1; 1; 0; 1; 
héberger bn:00082216v;1; 1; 0; 1; 
légèrement bn:00116111r;1; 1; 0; 1; 
configurer bn:00085667v;1; 1; 0; 1; 
affichage bn:00027675n;1; 1; 0; 0; 
tel bn:00000005n;1; 1; 0; 1; 
fax bn:00032653n;1; 1; 0; 1; 
guise bn:00000146n;1; 1; 0; 1; 
rows bn:03611246n;1; 1; 0; 1; 
bcd bn:16690020n;1; 1; 0; 1; 
sous-répertoire bn:00074880n;1; 1; 0; 1; 
article de presse bn:14993780n;1; 1; 0; 1; 
copier bn:00022534n;1; 1; 0; 0; 
horizontale bn:00104328a;1; 1; 0; 1; 
fin de paragraphe bn:03475717n;1; 1; 0; 1; 
système d’exploitation bn:00059123n;1; 1; 0; 1; 
disque dur bn:00073359n;1; 1; 0; 1; 
disquette bn:00027619n;1; 1; 0; 1; 
mini-site bn:00251724n;1; 1; 0; 1; 
accès libre bn:04691509n;1; 1; 0; 1; 
libre bn:00099806a;1; 1; 0; 1; 
numéro de téléphone bn:00058286n;1; 1; 0; 1; 
téléphone bn:00062020n;1; 1; 0; 0; 
énoncé bn:00087699v;1; 1; 0; 1; 
punition bn:00061325n;1; 1; 0; 1; 
récursive bn:00109560a;1; 1; 0; 1; 
retour bn:00046318n;1; 1; 0; 1; 
or bn:00006911n;1; 1; 0; 1; 
compléter bn:00085479v;1; 1; 0; 1; 
féminin bn:00102884a;1; 1; 0; 1; 
chasse bn:00045245n;1; 1; 0; 1; 
chiens bn:00015267n;1; 1; 0; 1; 
amis bn:00036538n;1; 1; 0; 1; 
bienvenue bn:00080852n;1; 1; 0; 1; 
interdit bn:04029035n;1; 1; 0; 1; 
correct bn:00100490a;1; 1; 0; 0; 
limiter bn:00086468v;1; 1; 0; 1; 
min bn:00055094n;1; 1; 0; 1; 
triche bn:00017978n;1; 1; 0; 1; 
pipotron bn:04723513n;1; 1; 0; 1; 
égard bn:00031654n;1; 1; 0; 1; 
dégradation bn:02639083n;1; 1; 0; 1; 
convient bn:00094581v;1; 1; 0; 0; 
anticiper bn:00082665v;1; 1; 0; 1; 
préoccuper bn:00085522v;1; 1; 0; 1; 
remémorer bn:00084413v;1; 1; 0; 1; 
globalité bn:00031025n;1; 1; 0; 1; 
possession bn:00059958n;1; 1; 0; 1; 
bon sens bn:00021164n;1; 1; 0; 1; 
correspondante bn:00096282a;1; 1; 0; 1; 
onglets bn:00120018n;1; 1; 0; 1; 
sciences bn:00069670n;1; 1; 0; 1; 
créer bn:00086008v;1; 1; 0; 1; 
chansons bn:00072794n;1; 1; 0; 1; 
genre musicaux bn:00037743n;1; 1; 0; 1; 
parole bn:00049911n;1; 1; 0; 1; 
statistique bn:00074061n;1; 1; 0; 1; 
droit d’auteur bn:03579896n;1; 1; 0; 1; 
supprimer bn:00086081v;1; 1; 0; 1; 
paroles de chanson bn:03103700n;1; 1; 0; 1; 
orthographe bn:00059588n;1; 1; 0; 1; 
familiarisation bn:00032889n;1; 1; 0; 1; 
créneau horaires bn:00072215n;1; 1; 0; 1; 
pouvoir bn:00063940n;1; 1; 0; 1; 
notification bn:00005139n;1; 1; 0; 1; 
tableur bn:00073631n;1; 1; 0; 1; 
dérouler bn:00085568v;1; 1; 0; 1; 
rue bn:00074595n;1; 1; 0; 1; 
seance bn:03262459n;1; 1; 0; 1; 
club de tennis bn:00076523n;1; 1; 0; 1; 
tennis bn:00050287n;1; 1; 0; 1; 
défaire bn:00083247v;1; 1; 0; 1; 
payer bn:00091494v;1; 1; 0; 1; 
sport bn:00006759n;1; 1; 0; 1; 
matériel bn:00021480n;1; 1; 0; 1; 
civile bn:00099730a;1; 1; 0; 1; 
clavier bn:00021482n;1; 1; 0; 0; 
vol bn:00050004n;1; 1; 0; 1; 
dégradation bn:03664474n;1; 1; 0; 1; 
mettre en prison bn:00088673v;1; 1; 0; 1; 
vainqueur bn:00079944n;1; 1; 0; 1; 
logistiques bn:00051869n;1; 1; 0; 1; 
match bn:00090698v;1; 1; 0; 1; 
caravane bn:02932902n;1; 1; 0; 1; 
branchement bn:00131727n;1; 1; 0; 1; 
lit bn:00009472n;1; 1; 0; 1; 
lit pliants bn:00015043n;1; 1; 0; 1; 
nuit bn:00025236n;1; 1; 0; 1; 
redevance bn:00068452n;1; 1; 0; 1; 
véhicules bn:00079675n;1; 1; 0; 1; 
courrier publicitaires bn:00027338n;1; 1; 0; 1; 
publicitaires bn:00109098a;1; 1; 0; 1; 
car bn:00007329n;1; 1; 0; 1; 
réfrigérateur bn:00045744n;1; 1; 0; 1; 
prestation bn:00064923n;1; 1; 0; 1; 
localisation géographique bn:01504309n;1; 1; 0; 1; 
téléphone bn:00084387v;1; 1; 0; 1; 
entendre bn:00007120n;1; 1; 0; 1; 
fin bn:00105751a;1; 1; 0; 1; 
presque bn:00114079r;1; 1; 0; 1; 
adhérents bn:00001362n;1; 1; 0; 1; 
adhesion bn:00001361n;1; 1; 0; 1; 
euro bn:00031888n;1; 1; 0; 1; 
moindre bn:00105825a;1; 1; 0; 1; 
intuitive bn:00105365a;1; 1; 0; 1; 
vital bn:00113642a;1; 1; 0; 1; 
bibliothèque thématiques bn:00482485n;1; 1; 0; 1; 
thématiques bn:00111800a;1; 1; 0; 1; 
avantageront bn:00083414v;1; 1; 0; 1; 
aphorisme bn:00004883n;1; 1; 0; 1; 
logiciel libres bn:00182120n;1; 1; 0; 1; 
décès bn:00025582n;1; 1; 0; 1; 
seul bn:00114235r;1; 1; 0; 1; 
lieu de naissance bn:00010686n;1; 1; 0; 1; 
multimédia bn:00056283n;1; 1; 0; 1; 
document officiel bn:00046963n;1; 1; 0; 1; 
acte bn:00001077n;1; 1; 0; 1; 
acte de naissance bn:00010670n;1; 1; 0; 1; 
mariage bn:00053107n;1; 1; 0; 1; 
minimales bn:00106755a;1; 1; 0; 1; 
album bn:00002488n;1; 1; 0; 1; 
photo bn:00062084n;1; 1; 0; 1; 
import-export bn:15970061n;1; 1; 0; 1; 
gedcom bn:02074085n;1; 1; 0; 1; 
mormons bn:00019012n;1; 1; 0; 1; 
nom complet bn:01700772n;1; 1; 0; 1; 
jésus-christ bn:00018805n;1; 1; 0; 1; 
logiciel de généalogie bn:01872393n;1; 1; 0; 1; 
stocker bn:00095635v;1; 1; 0; 1; 
maladies bn:00027546n;1; 1; 0; 1; 
bonheur bn:00042905n;1; 1; 0; 1; 
organisation bn:00059480n;1; 1; 0; 0; 
part bn:00070912n;1; 1; 0; 1; 
exception bn:00059781n;1; 1; 0; 1; 
sexe bn:00037634n;1; 1; 0; 1; 
gravite bn:00089032v;1; 1; 0; 1; 
administratif bn:00096474a;1; 1; 0; 1; 
besoin de savoir bn:03234470n;1; 1; 0; 1; 
fier bn:00103467a;1; 1; 0; 1; 
temps partiel bn:01038658n;1; 1; 0; 1; 
partiel bn:00108290a;1; 1; 0; 1; 
décharges bn:00086914v;1; 1; 0; 1; 
contrat bn:00022227n;1; 1; 0; 1; 
libre accès bn:03097420n;1; 1; 0; 1; 
enseignant bn:00089791v;1; 1; 0; 1; 
vacataires bn:05008890n;1; 1; 0; 1; 
deug bn:02806247n;1; 1; 0; 1; 
service bn:00070651n;1; 1; 0; 1; 
semestre bn:00000561n;1; 1; 0; 1; 
universitaires bn:00096228a;1; 1; 0; 1; 
universitaire bn:00079152n;1; 1; 0; 1; 
économie bn:00029676n;1; 1; 0; 1; 
histoire bn:00044268n;1; 1; 0; 1; 
maître de conférence bn:14504106n;1; 1; 0; 1; 
moins bn:00116104r;1; 1; 0; 1; 
pédagogique bn:00108383a;1; 1; 0; 1; 
titulaires bn:14132983n;1; 1; 0; 1; 
cm bn:00017163n;1; 1; 0; 1; 
travaux dirigés bn:04778693n;1; 1; 0; 1; 
parler bn:00090283v;1; 1; 0; 1; 
obliger bn:00083496v;1; 1; 0; 1; 
philosophie bn:00061984n;1; 1; 0; 1; 
bac bn:00044028n;1; 1; 0; 1; 
chargé bn:14456945n;1; 1; 0; 1; 
chargé de cours bn:16339539n;1; 1; 0; 1; 
criminelles bn:00100650a;1; 1; 0; 1; 
institutions bn:00046954n;1; 1; 0; 1; 
politique bn:00108759a;1; 1; 0; 1; 
littérature bn:00051538n;1; 1; 0; 1; 
littérature germaniques bn:00434180n;1; 1; 0; 1; 
romanes bn:00105767a;1; 1; 0; 1; 
littérature arabes bn:03227656n;1; 1; 0; 1; 
psychologie bn:00065026n;1; 1; 0; 1; 
psychologie clinique bn:00019826n;1; 1; 0; 1; 
psychologie sociale bn:00072543n;1; 1; 0; 1; 
arts bn:00005927n;1; 1; 0; 1; 
musique bn:00056443n;1; 1; 0; 1; 
musicologie bn:00056479n;1; 1; 0; 1; 
anthropologie bn:00004584n;1; 1; 0; 1; 
éthnologie bn:00031731n;1; 1; 0; 1; 
préhistoire bn:00064143n;1; 1; 0; 1; 
civilisation bn:00019384n;1; 1; 0; 1; 
archéologie bn:00005391n;1; 1; 0; 1; 
contemporain bn:00100361a;1; 1; 0; 1; 
géographie bn:00040163n;1; 1; 0; 1; 
géographie physique bn:00062165n;1; 1; 0; 1; 
espace bn:00046665n;1; 1; 0; 1; 
mathématiques bn:00053823n;1; 1; 0; 0; 
constituants bn:00100333a;1; 1; 0; 1; 
chimie théorique bn:02502041n;1; 1; 0; 1; 
chimie organique bn:00059474n;1; 1; 0; 1; 
astronomie bn:00006663n;1; 1; 0; 1; 
océanographie bn:00058585n;1; 1; 0; 1; 
océanographie physique bn:03107326n;1; 1; 0; 1; 
physique bn:00056996n;1; 1; 0; 1; 
pharmaceutiques bn:00108518a;1; 1; 0; 1; 
génie mécanique bn:00054054n;1; 1; 0; 1; 
génie civil bn:00019361n;1; 1; 0; 1; 
génie informatique bn:03287605n;1; 1; 0; 1; 
procédés bn:03245758n;1; 1; 0; 1; 
biochimie bn:00010518n;1; 1; 0; 1; 
biologie bn:00010543n;1; 1; 0; 1; 
biologie moléculaire bn:00055560n;1; 1; 0; 1; 
moléculaire bn:00106855a;1; 1; 0; 1; 
biologie cellulaire bn:00024908n;1; 1; 0; 1; 
physiologie bn:00062182n;1; 1; 0; 1; 
population bn:00063596n;1; 1; 0; 1; 
écologie bn:00010564n;1; 1; 0; 1; 
organismes bn:00009677n;1; 1; 0; 1; 
éducation bn:00026980n;1; 1; 0; 1; 
epistémologie bn:00031237n;1; 1; 0; 1; 
cultures bn:01187943n;1; 1; 0; 1; 
activité physiques bn:00032203n;1; 1; 0; 1; 
théologie bn:00076827n;1; 1; 0; 1; 
théologie catholique bn:00848908n;1; 1; 0; 1; 
approche bn:00005141n;1; 1; 0; 1; 
vinyl bn:00080027n;1; 1; 0; 1; 
l’album bn:15350182n;1; 1; 0; 1; 
ailleurs bn:00115192r;1; 1; 0; 1; 
problème bn:00048242n;1; 1; 0; 1; 
recherche bn:00067280n;1; 1; 0; 1; 
là bn:00117260r;1; 1; 0; 1; 
centrale bn:00063961n;1; 1; 0; 1; 
intitulé bn:00043268n;1; 1; 0; 0; 
rock bn:00068049n;1; 1; 0; 1; 
pénétration bn:00053473n;1; 1; 0; 1; 
date de sortie bn:02421166n;1; 1; 0; 1; 
figurer bn:00014691n;1; 1; 0; 1; 
code postal bn:00063770n;1; 1; 0; 1; 
bureau bn:00001961n;1; 1; 0; 1; 
compte en banque bn:00008374n;1; 1; 0; 1; 
numéro isbn bn:00706122n;1; 1; 0; 1; 
axiome bn:00007529n;1; 1; 0; 1; 
residents bn:02413054n;1; 1; 0; 1; 
rolling stones bn:02456824n;1; 1; 0; 1; 
mick jagger bn:00047889n;1; 1; 0; 1; 
keith richard bn:00801879n;1; 1; 0; 1; 
john lennon bn:00048320n;1; 1; 0; 1; 
futur bn:00036941n;1; 1; 0; 1; 
code barre bn:00008480n;1; 1; 0; 1; 
compositeur bn:00021397n;1; 1; 0; 1; 
song bn:00072798n;1; 1; 0; 1; 
varier bn:00082554v;1; 1; 0; 1; 
velvet underground bn:01244350n;1; 1; 0; 1; 
terry riley bn:02491941n;1; 1; 0; 1; 
probabilité bn:00017624n;1; 1; 0; 1; 
mémoriser bn:00085506v;1; 1; 0; 1; 
conceptuel bn:00100194a;1; 1; 0; 1; 
numero bn:15898115n;1; 1; 0; 1; 
facilité bn:00032642n;1; 1; 0; 1; 
alternative bn:00096899a;1; 1; 0; 1; 
quanta bn:00065554n;1; 1; 0; 1; 
intermédiaire bn:00105288a;1; 1; 0; 0; 
associatif bn:00097619a;1; 1; 0; 1; 
ébauche bn:00059783n;1; 1; 0; 1; 
mémento bn:00611675n;1; 1; 1; 0; 
reference bn:00001302n;1; 1; 1; 0; 
générateur bn:03384822n;1; 1; 1; 0; 
générateur de documentation bn:00750235n;1; 1; 1; 0; 
javadoc bn:00527312n;1; 1; 1; 0; 
style de programmation bn:01247117n;1; 1; 1; 0; 
identificateurs bn:00045822n;1; 1; 1; 0; 
type primitifs bn:02695430n;1; 1; 1; 0; 
type statique bn:04749218n;1; 1; 1; 0; 
hiérarchie bn:00044017n;1; 1; 1; 0; 
nouvelle classe bn:02230821n;1; 1; 1; 0; 
mise en page bn:01681906n;1; 1; 1; 0; 
swing bn:02050247n;1; 1; 1; 0; 
thread bn:03212986n;1; 1; 1; 0; 
section critiques bn:03482397n;1; 1; 1; 0; 
interactive bn:00105260a;1; 1; 1; 0; 
test unitaires bn:01529126n;1; 1; 1; 0; 
unitaires bn:00112905a;1; 1; 1; 0; 
design pattern bn:00890994n;1; 1; 1; 0; 
modèle singleton bn:03495688n;1; 1; 1; 0; 
machine virtuelle java bn:00875176n;1; 1; 1; 0; 
glossaire bn:00040717n;1; 1; 1; 0; 
monde réel bn:00066402n;1; 1; 1; 0; 
concrète bn:00100206a;1; 1; 1; 0; 
grise bn:00041510n;1; 1; 1; 0; 
typiquement bn:00117361r;1; 1; 1; 0; 
encapsuler bn:00087590v;1; 1; 1; 0; 
interagir bn:00089808v;1; 1; 1; 0; 
nom générique bn:02017388n;1; 1; 1; 0; 
consommation bn:00022109n;1; 1; 1; 0; 
hiérarchique bn:00104156a;1; 1; 1; 0; 
sun microsystems bn:02053714n;1; 1; 1; 0; 
james gosling bn:03306336n;1; 1; 1; 0; 
obligatoire bn:00107677a;1; 1; 1; 0; 
lisibilité bn:04849472n;1; 1; 1; 0; 
durée de vie bn:01120526n;1; 1; 1; 0; 
verbe bn:00079778n;1; 1; 1; 0; 
paraphraser bn:00060604n;1; 1; 1; 0; 
intitulé bn:00087654v;1; 1; 1; 0; 
complète bn:00100162a;1; 1; 1; 0; 
lettre minuscules bn:00052186n;1; 1; 1; 0; 
rassembler bn:00082246v;1; 1; 1; 0; 
jar bn:02011849n;1; 1; 1; 0; 
classpath bn:03476243n;1; 1; 1; 0; 
void bn:01326821n;1; 1; 1; 0; 
abstract bn:00000489n;1; 1; 1; 0; 
sémantique bn:00110347a;1; 1; 1; 0; 
matériels bn:00100487a;1; 1; 1; 0; 
spécifique bn:00111001a;1; 1; 1; 0; 
ajouter bn:00082317v;1; 1; 1; 0; 
conformer bn:00082137v;1; 1; 1; 0; 
contribuer bn:00085565v;1; 1; 1; 0; 
concept bn:00021547n;1; 1; 1; 0; 
intérieur bn:00046892n;1; 1; 1; 0; 
classe internes bn:01035086n;1; 1; 1; 0; 
regroupement bn:00021838n;1; 1; 1; 0; 
encapsulation bn:01505556n;1; 1; 1; 0; 
mots-clés bn:03224594n;1; 1; 1; 0; 
modificateurs bn:00055488n;1; 1; 1; 0; 
variable de classe bn:00938255n;1; 1; 1; 0; 
variable de type bn:02158332n;1; 1; 1; 0; 
tentative bn:00007011n;1; 1; 1; 0; 
espace mémoire bn:03228212n;1; 1; 1; 0; 
collector bn:05021864n;1; 1; 1; 0; 
indirectement bn:00115900r;1; 1; 1; 0; 
sémantique bn:00070404n;1; 1; 1; 0; 
cyrillique bn:00100853a;1; 1; 1; 0; 
windows nt bn:01409690n;1; 1; 1; 0; 
système de codage bn:00020370n;1; 1; 1; 0; 
byte bn:00014365n;1; 1; 1; 0; 
simple précision bn:01672387n;1; 1; 1; 0; 
double précision bn:03333822n;1; 1; 1; 0; 
point décimal bn:00025705n;1; 1; 1; 0; 
affection bn:00001744n;1; 1; 1; 0; 
bibliothèque standard bn:03087001n;1; 1; 1; 0; 
