;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
files bn:00065682n;0; 1; 0; 0; 
upload bn:14037830n;0; 1; 1; 1; 
env bn:01199166n;0; 0; 1; 1; 
url bn:00079080n;0; 0; 1; 0; 
cache bn:00014484n;0; 0; 1; 1; 
dynamique bn:00101917a;0; 1; 1; 1; 
ambiguïté bn:00003266n;0; 1; 1; 1; 
chaîne vide bn:03716205n;0; 1; 0; 1; 
booléenne bn:00098690a;0; 1; 1; 1; 
architecture bn:00005442n;0; 0; 1; 1; 
nombre à virgule flottante bn:00035278n;0; 1; 1; 1; 
spécifier bn:00086464v;0; 1; 0; 0; 
puissance de 10 bn:05006238n;0; 1; 1; 1; 
ascii bn:00003473n;0; 1; 1; 0; 
unicode bn:02529895n;0; 1; 1; 1; 
échapper bn:00083961v;0; 1; 1; 1; 
lf bn:00050913n;0; 1; 1; 1; 
carriage return bn:00016246n;0; 1; 1; 1; 
cr bn:00006854n;0; 1; 1; 1; 
antislash bn:00988551n;0; 1; 0; 1; 
notation octale bn:00058598n;0; 1; 1; 1; 
notation hexadécimale bn:00043958n;0; 1; 1; 1; 
hexadécimale bn:00104145a;0; 1; 1; 1; 
égal bn:00102336a;0; 1; 0; 0; 
valeur numérique bn:00000451n;0; 1; 1; 1; 
numérique bn:00107649a;0; 1; 1; 1; 
addition bn:00001296n;0; 1; 0; 1; 
val bn:00079476n;0; 1; 1; 1; 
table de hachage bn:00587820n;0; 1; 1; 0; 
hachage bn:00583146n;0; 0; 1; 0; 
pile bn:02100952n;0; 0; 1; 0; 
séparer bn:00082871v;0; 0; 1; 0; 
volée bn:00035208n;0; 1; 1; 1; 
cle bn:04756252n;0; 1; 1; 1; 
class bn:03598962n;0; 0; 1; 0; 
constantes bn:00100331a;0; 1; 1; 1; 
casse bn:00083919v;0; 1; 1; 1; 
redéfinir bn:00092568v;0; 1; 1; 1; 
gauche bn:00902572n;0; 1; 1; 0; 
droite bn:00051291n;0; 1; 1; 0; 
croître bn:00089082v;0; 1; 1; 1; 
associativité bn:00533203n;0; 1; 1; 1; 
modulo bn:00553864n;0; 1; 1; 0; 
division bn:00027919n;0; 1; 0; 0; 
division par deux bn:03686939n;0; 1; 1; 1; 
deux bn:00000075n;0; 1; 0; 1; 
message bn:00521573n;0; 0; 1; 0; 
temps bn:00077270n;0; 0; 0; 1; 
oeil bn:00032512n;0; 1; 1; 1; 
affiche bn:00087013v;0; 1; 0; 0; 
exécutée bn:00091723v;0; 1; 1; 1; 
conditionnelle bn:00100214a;0; 1; 1; 0; 
sorte bn:00035907n;0; 1; 1; 1; 
list bn:04720346n;0; 1; 1; 0; 
case bn:04777941n;0; 1; 0; 0; 
ressembler à bn:00092876v;0; 1; 0; 1; 
homologue bn:00023208n;0; 1; 1; 1; 
existe bn:00083184v;0; 1; 0; 1; 
appel de fonction bn:00036827n;0; 1; 1; 0; 
valeur par défaut bn:03854990n;0; 0; 0; 1; 
type de valeurs bn:00253515n;0; 1; 1; 1; 
devoir bn:00091362v;0; 1; 0; 1; 
couvrir bn:00085916v;0; 1; 1; 1; 
rappel bn:03490040n;0; 0; 0; 1; 
limitation bn:00051252n;0; 1; 1; 1; 
conteneur bn:03305154n;0; 1; 1; 0; 
droit bn:00048655n;0; 0; 0; 1; 
chose bn:00091115v;0; 0; 0; 1; 
premier bn:00034738n;0; 1; 0; 1; 
choix multiples bn:03455699n;0; 1; 1; 1; 
vin bn:00080022n;0; 1; 1; 1; 
format de date bn:03576260n;0; 1; 1; 1; 
langue anglaise bn:00030862n;0; 1; 0; 0; 
français bn:00036426n;0; 1; 0; 1; 
semaine bn:00043484n;0; 1; 0; 1; 
heure internet bn:02981905n;0; 1; 1; 1; 
vendredi bn:00036512n;0; 0; 1; 1; 
janvier bn:00047960n;0; 1; 1; 1; 
24h bn:00000086n;0; 1; 0; 0; 
hiver bn:00081370n;0; 1; 1; 1; 
heure de greenwich bn:00040810n;0; 1; 1; 1; 
dec bn:00017011n;0; 1; 1; 1; 
fuseau horaire bn:00077302n;0; 1; 1; 1; 
dimanche bn:00028190n;0; 0; 0; 1; 
samedi bn:00068696n;0; 0; 1; 1; 
lundi bn:00055609n;0; 0; 1; 1; 
second bn:00005460n;0; 1; 1; 1; 
fonction bn:00036821n;0; 1; 1; 1; 
siècle bn:00017234n;0; 1; 1; 1; 
numérique bn:15182937n;0; 1; 1; 1; 
intervalle bn:00047229n;0; 1; 1; 1; 
semaine 1 bn:04756861n;0; 1; 1; 1; 
abréviation bn:00000239n;0; 1; 1; 1; 
littéral bn:00106042a;0; 1; 0; 0; 
september bn:15649592n;0; 1; 1; 1; 
septembre bn:00070537n;0; 0; 1; 1; 
semaine 3 bn:04756880n;0; 1; 1; 1; 
système de gestion bn:01510781n;0; 0; 0; 1; 
système de gestion de base de donnée bn:14249264n;0; 1; 0; 1; 
relationnel bn:00109653a;0; 1; 1; 0; 
open source bn:01157392n;0; 1; 1; 0; 
mysql ab bn:03198967n;0; 1; 1; 1; 
licence bn:00050986n;0; 1; 0; 1; 
licence gpl bn:01157379n;0; 1; 0; 1; 
support technique bn:03482340n;0; 1; 1; 1; 
hébergeur bn:00801697n;0; 1; 0; 1; 
étrangères bn:00096774a;0; 1; 1; 1; 
notamment bn:00115235r;0; 0; 1; 1; 
delete bn:00941697n;0; 0; 0; 1; 
moteur de recherche bn:13956658n;0; 1; 1; 1; 
sqlplus bn:02088255n;0; 1; 1; 1; 
intuitif bn:00047307n;0; 1; 1; 1; 
toolkit bn:01526357n;0; 1; 1; 0; 
qt bn:17288164n;0; 1; 1; 1; 
macos bn:01415427n;0; 0; 1; 1; 
configuration bn:03088982n;0; 0; 1; 1; 
ip bn:00046704n;0; 1; 1; 1; 
doute bn:00028425n;0; 1; 0; 1; 
administrateur bn:00075765n;0; 1; 0; 1; 
mise à jour bn:15364261n;0; 1; 0; 0; 
insert bn:03795444n;0; 1; 0; 1; 
possible bn:00108829a;0; 0; 0; 1; 
varchar bn:01838409n;0; 0; 0; 1; 
tenir compte bn:00082541v;0; 1; 0; 1; 
quantité variables bn:00079581n;0; 1; 1; 1; 
medium bn:00054149n;0; 1; 1; 1; 
tris bn:00072857n;0; 1; 1; 1; 
champ de bn:15987694n;0; 1; 1; 0; 
insérer bn:00087594v;0; 1; 1; 0; 
plupart bn:00050555n;0; 1; 0; 1; 
préférence bn:00061333n;0; 1; 1; 1; 
février bn:00033882n;0; 1; 1; 1; 
mise bn:00016287n;0; 1; 0; 0; 
expliquer bn:00082235v;0; 1; 1; 1; 
plage bn:04717355n;0; 1; 1; 0; 
mm bn:00055052n;0; 1; 1; 1; 
fraction bn:00036154n;0; 1; 1; 1; 
soumettre bn:00094538v;0; 1; 1; 1; 
transaction bn:01403911n;0; 0; 1; 0; 
rollback bn:00133978n;0; 0; 1; 1; 
crash bn:00023573n;0; 1; 1; 1; 
contraintes bn:00022062n;0; 1; 0; 0; 
intégrité bn:03141748n;0; 1; 1; 1; 
parente bn:00033359n;0; 1; 1; 1; 
clé étrangère bn:01944370n;0; 1; 0; 1; 
fils bn:00051877n;0; 1; 1; 1; 
critère bn:00023853n;0; 1; 0; 0; 
flotter bn:00088327v;0; 1; 1; 1; 
order bn:02240223n;0; 1; 1; 1; 
simplicité bn:00071689n;0; 1; 1; 1; 
ouverte bn:00107886a;0; 1; 1; 1; 
échec bn:00018197n;0; 0; 0; 1; 
numéroter bn:00091103v;0; 1; 1; 1; 
identiques bn:00104508a;0; 1; 1; 1; 
renommer bn:00092787v;0; 0; 1; 1; 
insertion bn:02234787n;0; 1; 1; 1; 
valeur bn:00079508n;0; 1; 1; 0; 
