;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
affichage bn:00010421n;1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
gras bn:00011848n;1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
fois bn:00032768n;1; 1; 0; 0; 1; 1; 1; 0; 1; 0; 1; 
chemin bn:03131414n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
lien hypertextes bn:00045513n;1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 
url bn:00079080n;1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 1; 
textuels bn:00111786a;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
case à cocher bn:03157691n;1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
page web dynamique bn:00937946n;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
post bn:01500184n;1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
champ de saisie bn:03113401n;1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 
size bn:03645138n;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
nombre bn:00058285n;1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 
vide bn:00087578v;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
liste déroulante bn:00028831n;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
sélectionner bn:00084931v;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
déclencher bn:00082306v;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
réinitialisation bn:00067306n;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
langage bn:00049910n;1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
langage impératif bn:01246770n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
impératif bn:00104644a;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
utilisateur bn:00079373n;0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
affectation bn:02806034n;1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 
booléen bn:00294693n;1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 
