;C1;C12;C13;C14;C16;C18;C2;C4;C7;C8;C9
être utile bn:00085368v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
boucle while bn:03237310n;0; 0; 1; 1; 1; 0; 1; 1; 1; 0; 0; 
jour bn:00000086n;0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 
euro bn:00031888n;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
etc bn:00114282r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
programmation bn:00021493n;0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
détruire bn:00084204v;0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 
second bn:00105773a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
ordinateur bn:00021464n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
licence bn:00050986n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
licence gnu bn:01157379n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gnu bn:00324017n;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
gnu free documentation licence bn:01157394n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
anglais bn:00030862n;1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 
free software bn:00182120n;1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
free software foundation bn:01158352n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
quatrième de couverture bn:00032652n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
copie bn:00087583v;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
paris bn:00015540n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
france bn:00036202n;1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
fax bn:00032653n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
e-mail bn:00029345n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
programmation web bn:03446093n;1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 
installation bn:03478637n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
configuration bn:03088982n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
session bn:03751534n;1; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 
chaîne bn:00074685n;1; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
rappel bn:03490040n;1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 
document web bn:03606607n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
composer bn:14766022n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
délimiteur bn:03371342n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
coordonnées bn:00022459n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
côté serveur bn:03816678n;1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 
côté client bn:03163702n;1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 
applets bn:00005083n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
activex bn:03829972n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
plugins bn:00001275n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
httpd bn:16913184n;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
script bn:01431715n;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
mod_perl bn:01549964n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
servlets bn:03188848n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
bonjour bn:00043620n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hériter bn:00043823n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
bibliothèques bn:00050969n;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
logiciel open source bn:01157392n;1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
licence php bn:03293781n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rasmus lerdorf bn:03232211n;1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
publique bn:00109211a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
livre d’or bn:03888259n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
compteur bn:00023158n;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
zeev suraski bn:00571154n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
netcraft bn:03608511n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
zend bn:03133191n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
société privée bn:00036346n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
interpréter bn:00089840v;1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
calcul mathématique bn:00014689n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mathématique bn:00106488a;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
licence open source bn:01530143n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
télécharger bn:14037830n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur bn:00044916n;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
tar.gz bn:16068787n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
help bn:13915186n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur apache bn:01932513n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
httpd.conf bn:03668763n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
