X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
page web;0.108312;0;0.0920354;0;0.108407;0.115942;0;0.140845;0;0.105925;0.127321
page web statiques;0.00294985;0;0;0;0;0;0;0;0;0;0
navigateur;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
serveur web;0.297535;0.323105;0.318903;0.301095;0.325581;0.343363;0;0;0.317376;0.285915;0.307971
fichier;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
disque dur;0.0231214;0;0;0;0;0.0217391;0.0325203;0;0;0.0153257;0
client;0.184834;0.172577;0.169257;0.181141;0.16632;0;0.183432;0.170732;0;0.181818;0
client serveur;0.0451977;0;0;0;0.0385542;0.0425532;0;0;0.0444444;0.0301887;0
base de donnée;0.313821;0;0.397163;0.298013;0.370662;0.33871;0.262032;0.240143;0.330065;0.432314;0.330537
donnée;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
ensemble;0.00588235;0;0;0;0;0;0;0;0;0.00387597;0
php;0.360465;0.342669;0.370014;0.320598;0.392405;0.332805;0.250435;0.255357;0.328502;0.463235;0
javascript;0.235294;0.242826;0.175355;0.228507;0.22179;0.232218;0;0;0.219149;0.1888;0
perl;0.0756757;0;0.0531136;0.0809249;0.0699301;0;0;0;0.0744681;0.0570902;0
python;0.0231214;0;0.0152964;0;0.019656;0.0217391;0;0;0;0;0
java;0.207675;0.193258;0.212947;0;0.189621;0.216157;0.22191;0;0;0.156098;0.192661
code;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
code source;0.0231214;0;0;0;0.019656;0.0217391;0;0;0;0;0.0241692
fichier texte;0.191244;0.182028;0.202773;0.187952;0.182004;0.184615;0.184659;0;0;0;0.181176
texte;0.371088;0.367164;0.515193;0.333333;0.421739;0.414414;0.287284;0;0.349854;0.394402;0.369138
mise en forme;0.0116959;0;0;0.0125786;0;0;0;0;0;0;0.0122324
concerner;0.206349;0;0.203735;0.195294;0.19798;0.196544;0.210084;0;0;0.153094;0.196759
commentaire;0.243243;0.264822;0.259202;0.262729;0.263441;0;0;0.236534;0.27451;0.307815;0.238189
délimiter;0.180139;0.17907;0.166102;0.19656;0;0.187082;0;0.175595;0;0.188581;0.175355
affichage;0.371088;0.367164;0.515193;0.333333;0.421739;0.414414;0.287284;0;0.349854;0.394402;0.369138
gras;0.0116959;0;0.00770713;0.0125786;0;0;0;0;0;0;0
fois;0.337641;0.320513;0.427557;0;0.361409;0.36876;0.270506;0.227586;0.360522;0.430199;0.330606
chemin;0.0451977;0;0;0;0.0385542;0.0425532;0;0;0.0444444;0.0301887;0
lien hypertextes;0.189815;0.188811;0;0.18932;0.175869;0.172867;0;0.170588;0.189931;0.19171;0
url;0.170068;0;0.184615;0.177033;0.177551;0;0.191977;0;0.167785;0.157191;0.184397
textuels;0.00294985;0;0;0;0;0;0;0;0;0;0
case à cocher;0.0451977;0.0457143;0;0.0484848;0;0.0425532;0;0;0.0444444;0;0
page web dynamique;0.00588235;0;0;0;0;0.00552486;0;0;0;0;0
post;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
champ de saisie;0.0659341;0.0666667;0;0.0705882;0;0;0;0.0708661;0.0677507;0.0601504;0
size;0.0594595;0;0.051756;0;0.0608899;0;0;0.0909091;0;0.0557621;0.0740741
nombre;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
text;0.351271;0.369863;0.411227;0.355932;0.400581;0.39039;0;0.268921;0.391437;0.483516;0.34697
vide;0.0116959;0;0;0;0;0;0;0;0;0.00772201;0.0122324
liste déroulante;0.0116959;0;0;0.0125786;0;0.010989;0;0;0;0;0
sélectionner;0.0231214;0;0;0;0;0.0217391;0;0;0;0.0153257;0.0241692
déclencher;0.00588235;0;0.00386847;0;0;0;0;0;0;0;0
réinitialisation;0.00588235;0.00595238;0;0;0;0;0;0;0;0;0
langage;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
langage impératif;0.00294985;0;0;0;0;0;0;0;0;0;0
impératif;0.00588235;0;0;0;0;0.00552486;0;0;0;0;0
zones;0.0231214;0;0.0152964;0;0;0.0217391;0;0;0.0227273;0;0
utilisateur;0.197425;0;0.187399;0.224771;0.21135;0.231423;0;0;0.218143;0.17817;0.228507
affectation;0.122449;0.11509;0.115732;0;0;0.121359;0.14094;0;0;0.0883392;0.118421
booléen;0.160287;0.153477;0.173759;0.170051;0;0;0.17737;0.153125;0;0.159649;0.160494
réalité;0.00588235;0;0;0;0;0.00552486;0;0;0;0;0
concatène;0.00294985;0;0;0;0;0;0;0;0;0;0
addition;0.0451977;0;0.0301318;0;0;0.0425532;0;0;0.0444444;0.0301887;0
soustraction;0.0451977;0;0;0;0;0.0425532;0;0;0.0444444;0.0301887;0.0471976
multiplié;0.00294985;0;0;0;0;0;0;0;0;0;0
modulo;0.0451977;0;0.0301318;0;0;0;0;0;0.0444444;0.0301887;0.0471976
égalité;0.0116959;0;0;0.0125786;0.00992556;0;0;0;0;0;0
logiques;0.337641;0.320513;0.427557;0;0.361409;0.36876;0.270506;0.227586;0.360522;0.430199;0.330606
syntaxe;0.197425;0;0.187399;0.224771;0.21135;0.231423;0;0;0.218143;0.17817;0.228507
case;0.190909;0.18451;0.194208;0;0;0.2;0.184358;0;0.188341;0.162791;0.192037
associer;0.144279;0;0.111693;0;0.12527;0.144893;0;0;0.147783;0.104167;0.149871
personne;0.179545;0;0.140984;0.18705;0.188525;0.183807;0;0.181818;0.187783;0.194158;0
prenom;0.0979381;0;0;0;0.0993228;0.100737;0.116438;0.103203;0.102041;0.0985401;0
structure de contrôle;0.134328;0.141414;0.112478;0;0.126362;0.140811;0;0;0.143564;0;0.139535
définition;0.197425;0;0.187399;0.224771;0.21135;0.231423;0;0;0.218143;0.17817;0.228507
initialiser;0.119898;0.112532;0.113924;0;0.108647;0.121655;0.137584;0;0;0;0.115789
dépendre;0.0451977;0;0.0301318;0;0;0.0425532;0;0;0;0.0301887;0.0471976
méthode post;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
fermeture;0.313821;0;0.397163;0.298013;0.370662;0.33871;0.262032;0.240143;0.330065;0.432314;0.330537
passwd;0.00588235;0;0;0;0.00498753;0;0;0;0;0;0
machine;0.0810811;0;0.0587156;0;0.0696056;0.0792839;0;0;0;0.0549451;0.084507
mysql;0.136816;0;0.100694;0.145503;0.131004;0.140476;0;0;0.134804;0.106643;0
salaire;0.00877193;0;0;0;0;0;0;0.0132743;0;0.00773694;0
phase;0.0231214;0;0;0;0.019656;0.0217391;0;0;0;0;0.0241692
être utile;0.0231214;0;0.0152964;0;0;0.0217391;0;0;0;0;0.0241692
boucle while;0.0338983;0;0;0;0;0;0;0.0504202;0.0391061;0.0304183;0.041543
jour;0.0625;0;0.0479705;0;0;0.064433;0;0.0826772;0;0.0578358;0.0742857
euro;0.00588235;0;0;0;0;0.00552486;0;0;0;0;0
etc;0.0864865;0;0.0585009;0;0.0742459;0.0816327;0;0;0.0851064;0.0586081;0
programmation;0.297535;0.323105;0.318903;0.301095;0.325581;0.343363;0;0;0.317376;0.285915;0.307971
site;0.420398;0.415423;0.640547;0.390547;0.496269;0.447761;0.29602;0.276119;0.427861;0.639303;0.401741
détruire;0.0202312;0;0;0;0;0;0.0284553;0;0.0198864;0.0153551;0
second;0.0116959;0;0.00770713;0;0;0;0;0;0.0114943;0;0
ordinateur;0.0231214;0;0;0;0;0.0217391;0;0;0.0227273;0.0153257;0
développement web;0;0;0;0.0248447;0.019656;0.0217391;0;0;0;0.0153257;0
organisation;0;0;0;0;0;0.010989;0;0;0;0.00772201;0.0122324
premier;0;0;0.0152964;0;0;0.0217391;0;0;0;0.0153257;0.0241692
devoir sur table;0;0;0;0;0;0;0;0;0;0.00194175;0
semaine;0;0;0.00770713;0;0;0.010989;0;0;0;0.00772201;0
devoir maison;0;0;0;0;0;0;0;0;0;0.00194175;0
interrogation;0;0;0;0;0.00992556;0;0;0;0;0.00772201;0.0122324
générale;0;0;0;0;0;0.010989;0;0;0;0.00772201;0.0122324
explication;0;0;0;0;0;0;0;0;0;0.00194175;0
front office;0;0;0;0;0;0;0;0;0;0.00194175;0
front;0;0;0;0;0;0;0;0;0;0.00194175;0
