X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
page web;0;0;0.0659898;0;0.057377;0.0663717;0;0.146067;0;0;0.0673077
navigateur;0;0.244131;0.227092;0;0.20678;0.255556;0.264151;0.212121;0.205761;0;0.24031
serveur web;0;0.19797;0.197425;0.197044;0.184783;0.187739;0;0;0.189189;0;0.197531
fichier;0.14881;0;0;0;0.140741;0.145669;0;0.1875;0.172249;0.174274;0.152542
client;0.0338983;0;0.0216216;0.0268456;0;0;0;0;0;0;0
base de donnée;0;0;0.0666667;0.068323;0.0622407;0;0.122222;0;0;0;0.0679612
donnée;0;0.145455;0.115385;0.107345;0.115538;0;0.213592;0;0;0;0.119266
php;0.178082;0;0.122066;0.166667;0;0.115702;0;0;0.142857;0.13913;0
java;0.139394;0.191011;0.164384;0;0.147727;0.157895;0.184;0;0;0.134694;0
code;0.25;0.285156;0;0.282443;0.350482;0.343333;0.157205;0;0.270463;0.32107;0.28
texte;0;0.327465;0.350482;0.292929;0.392857;0.391975;0.222656;0;0.289809;0.287791;0.367089
concerner;0;0;0.186957;0.190955;0.193309;0.178295;0.211679;0;0;0.15625;0.202532
commentaire;0.170588;0;0.171806;0.204188;0.154412;0;0;0.206107;0.195238;0.194215;0
délimiter;0;0;0.114833;0.125714;0;0.109244;0;0.190476;0;0.117904;0.108597
fois;0.255639;0.345865;0.345638;0;0.328402;0.389068;0.195122;0;0.273927;0.346032;0.358553
url;0.252874;0;0.217949;0.232673;0.202166;0;0;0;0.19469;0.232;0.183267
case à cocher;0.0655738;0;0;0.0522876;0;0.0363636;0;0;0.045977;0;0
post;0;0.152941;0.132701;0;0.103846;0.125;0;0;0.131313;0;0.135747
nombre;0;0;0;0.111111;0.104839;0;0.144231;0.204082;0;0.0873362;0.101852
text;0.300926;0.25;0.29368;0.278689;0.289902;0.263333;0;0;0;0.292683;0.285714
langage;0.263359;0.25;0.33557;0;0.296512;0.366242;0;0.183673;0.334495;0.366883;0.344262
zones;0;0;0.010929;0;0;0.00934579;0;0;0;0;0
utilisateur;0;0;0.236515;0.253589;0.214035;0.209559;0;0;0.235808;0.220532;0.220472
case;0.197674;0.19171;0.186957;0;0;0.182879;0;0;0.18894;0.203252;0.182573
associer;0;0;0.150235;0;0.122605;0.131148;0;0;0.161616;0.135593;0.142222
personne;0;0;0.117925;0.142045;0.104651;0;0;0.228571;0.14433;0.12069;0
méthode post;0;0.159091;0.138249;0;0;0.144033;0.176471;0.14876;0.131707;0;0.140969
fermeture;0.27758;0;0.343849;0.340206;0.354286;0.309456;0;0.21374;0.356436;0.439103;0.315315
machine;0;0;0.0812183;0;0.0653061;0.0701754;0;0;0;0.0727273;0.076555
mysql;0;0;0.042328;0.0522876;0.0337553;0.0363636;0;0;0;0;0
salaire;0;0;0;0;0;0;0;0;0;0.00487805;0
jour;0.1;0;0.0714286;0;0;0.0570175;0;0;0;0.0737327;0.0673077
programmation;0.208333;0.158163;0;0.212435;0.152174;0.180392;0;0;0.191589;0.195918;0
site;0.174825;0.142857;0.124402;0.124294;0.118577;0;0;0;0;0;0.117647
chaîne;0;0;0;0;0.0171674;0;0;0.0519481;0;0.0192308;0
header;0;0;0.0812183;0;0;0.0701754;0;0;0.0879121;0.0727273;0.076555
doctype;0;0;0;0.0522876;0;0;0;0.0987654;0.045977;0.0377358;0
moteur;0;0;0.0812183;0;0.0653061;0.0701754;0;0;0;0.0727273;0.076555
configuration;0;0;0.0216216;0;0;0;0;0;0.0235294;0.0192308;0
paris;0;0;0;0;0;0;0;0;0.0119048;0.00970874;0
langage de script;0;0.0479452;0;0;0.0295359;0.0365297;0;0;0;0.0330189;0
côté serveur;0;0;0.0812183;0;0.0653061;0.0701754;0;0;0.0879121;0.0727273;0
opérateur;0;0;0.010929;0;0;0;0;0;0;0.00970874;0
super;0;0;0;0;0;0;0;0;0;0.00487805;0
type;0;0;0.0812183;0;0.0653061;0.0701754;0.177778;0;0;0;0.076555
foreach;0;0.19797;0.197425;0.197044;0.184783;0.187739;0;0;0.189189;0;0.197531
cle;0;0.103896;0.0812183;0.0993789;0;0;0;0;0.0879121;0.0727273;0
serveur;0;0;0;0;0;0.00934579;0;0;0;0;0.0102564
communication;0;0;0;0;0.0171674;0.0185185;0;0;0;0;0.0203046
interpréter;0;0;0;0;0.0171674;0;0;0.0519481;0;0.0192308;0
transaction;0;0;0.042328;0;0.0337553;0;0;0;0;0.0377358;0.039801
côté client;0;0;0.042328;0;0.0337553;0.0363636;0;0;0;0.0377358;0
classes;0;0;0.0812183;0;0.0653061;0.0701754;0;0;0.0879121;0.0727273;0
bienvenue;0;0;0;0;0;0.00934579;0;0;0;0.00970874;0
class;0;0;0;0;0.0171674;0;0;0;0.0235294;0.0192308;0
mot;0;0.19403;0.209402;0.216749;0.18638;0.203065;0;0;0;0.176923;0.204082
méthode;0;0.141243;0;0.13587;0.135659;0.135802;0.169492;0.191304;0.138614;0;0
session;0;0;0.042328;0.0522876;0.0337553;0.0363636;0;0;0;0;0
visiteur;0;0;0.042328;0;0;0.0363636;0;0.0987654;0;0.0377358;0
afficher;0;0;0.0812183;0.0993789;0;0.0701754;0;0;0;0.0727273;0.076555
pouvoir;0;0;0;0;0;0;0;0;0;0.00487805;0
mysqli;0;0;0;0;0.0171674;0;0;0;0.0235294;0.0192308;0
insert;0;0;0.042328;0;0;0;0;0.0987654;0.045977;0.0377358;0
public;0;0;0.0812183;0;0.0653061;0.0701754;0;0;0.0879121;0.0727273;0
france;0;0.00719424;0;0;0;0;0;0;0;0;0
pointeur;0;0;0.010929;0;0;0;0;0;0;0;0.0102564
list;0;0.0547945;0.042328;0;0;0;0;0;0.045977;0;0.039801
casse;0;0;0;0;0.00434783;0;0;0;0;0;0
timestamp;0;0.028169;0;0;0.0171674;0.0185185;0;0;0;0;0
exceptions;0;0;0;0;0;0;0;0;0;0;0.00515464
xml;0;0;0.010929;0;0;0.00934579;0;0;0;0;0
echo;0;0;0;0;0;0.00469484;0;0;0;0;0
files;0;0;0;0;0;0.0185185;0.0512821;0;0;0;0.0203046
varchar;0;0;0.010929;0;0.00865801;0;0;0;0;0;0
mise;0;0;0.0216216;0;0;0.0185185;0;0;0.0235294;0;0
valeur;0;0;0.010929;0;0;0;0;0;0;0;0.0102564
composer;0;0;0;0.0268456;0;0.0185185;0;0;0;0;0.0203046
positionnement;0;0;0;0;0;0;0;0;0;0;0.00515464
null;0;0;0;0;0.0171674;0;0;0;0.0235294;0;0.0203046
généralité;0;0;0;0;0;0.00469484;0;0;0;0;0
autre;0;0;0;0;0;0.00469484;0;0;0;0;0
avoir accès;0;0;0;0;0;0.00934579;0;0;0.0119048;0;0
