X;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CJA
machine;0;0;0.030888;0;0.0325866;0.0387409;0;0;0;0.033264;0.039604
mysql;0;0;0.0599251;0.0771084;0.0631164;0.0745921;0;0;0.0706402;0.0643863;0
salaire;0;0;0;0;0;0;0;0.00340136;0;0;0
phase;0.022409;0;0;0;0.0165631;0.0197531;0;0;0;0;0.020202
être utile;0.022409;0;0.0156863;0;0;0.0197531;0;0;0;0;0.020202
boucle while;0.0438356;0;0;0;0;0;0;0.0517799;0.0366133;0.033264;0.039604
jour;0.0438356;0;0.030888;0;0;0.0387409;0;0;0;0.033264;0.039604
euro;0.00569801;0;0;0;0;0.00501253;0;0;0;0;0
etc;0.0839895;0;0.0599251;0;0.0631164;0.0745921;0;0;0.0706402;0.0643863;0
programmation;0.217949;0.204868;0;0.193676;0.206239;0.211765;0;0;0.197761;0.184801;0.198819
site;0.339623;0.321839;0.29184;0.299841;0.351714;0.343598;0;0;0.316358;0.305677;0.322581
détruire;0.022409;0;0;0;0;0;0.0238095;0;0.018648;0.0169133;0
second;0.0113314;0;0.00790514;0;0;0;0;0;0.00941176;0;0
ordinateur;0.022409;0;0;0;0;0.0197531;0;0;0.018648;0.0169133;0
développement web;0;0;0;0.0204604;0.0165631;0.0197531;0;0;0;0.0169133;0
organisation;0;0;0;0;0;0.00997506;0;0;0;0.00852878;0.0102041
premier;0;0;0.0156863;0;0;0.0197531;0;0;0;0.0169133;0.020202
devoir sur table;0;0;0;0;0;0;0;0;0;0.00214592;0
semaine;0;0;0.00790514;0;0;0.00997506;0;0;0;0.00852878;0
devoir maison;0;0;0;0;0;0;0;0;0;0.00214592;0
interrogation;0;0;0;0;0.00835073;0;0;0;0;0.00852878;0.0102041
générale;0;0;0;0;0;0.00997506;0;0;0;0.00852878;0.0102041
explication;0;0;0;0;0;0;0;0;0;0.00214592;0
front office;0;0;0;0;0;0;0;0;0;0.00214592;0
front;0;0;0;0;0;0;0;0;0;0.00214592;0
xamp;0;0;0.0156863;0;0.0165631;0;0;0;0.018648;0.0169133;0
internet;0;0;0.0599251;0;0.0631164;0.0745921;0;0;0.0706402;0.0643863;0.0761905
faille de sécurité;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
sql;0;0;0.0599251;0;0.0631164;0.0745921;0;0.0984615;0.0706402;0.0643863;0
concret;0;0;0;0;0;0;0;0;0;0.00428266;0.00512821
chaîne;0;0;0.113879;0;0.111317;0.135076;0;0.168067;0.123711;0.117647;0.132743
header;0;0;0.030888;0;0;0.0387409;0;0;0.0366133;0.033264;0.039604
head;0;0;0;0.0204604;0.0165631;0.0197531;0;0;0;0.0169133;0
informatique;0;0;0;0;0.0165631;0.0197531;0;0;0;0.0169133;0.020202
doctype;0;0;0;0.0204604;0;0;0;0.0265781;0.018648;0.0169133;0
w3c;0;0;0.030888;0.0401003;0;0.0387409;0;0;0.0366133;0.033264;0
dtd;0;0;0;0.0204604;0;0.0197531;0;0;0.018648;0.0169133;0
firefox;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
internet explorer;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
internet explorer 9;0;0;0;0;0;0;0;0;0;0.00214592;0
moteur;0;0;0.030888;0;0.0325866;0.0387409;0;0;0;0.033264;0.039604
recherche;0;0;0;0;0;0.00501253;0;0;0;0.00428266;0
descriptions;0;0;0;0;0.00835073;0.00997506;0;0;0;0.00852878;0
précision;0;0;0;0;0;0;0;0;0;0.00214592;0
paragraphe;0;0;0;0.00519481;0;0;0;0;0;0.00428266;0
h2;0;0;0;0.0103359;0.00835073;0;0;0;0;0.00852878;0
terme technique;0;0;0;0;0;0;0;0;0;0.00214592;0
tr;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
insertion;0;0;0.00790514;0.0103359;0;0;0;0;0;0.00852878;0
img;0;0;0.00790514;0;0;0.00997506;0;0;0;0.00852878;0
infobulle;0;0;0;0;0;0;0;0;0;0.00214592;0
balise html;0;0;0.0156863;0;0;0.0197531;0;0;0.018648;0.0169133;0
js;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
css;0;0;0.00396825;0;0;0;0;0;0;0.00428266;0
dns;0;0;0;0;0;0;0;0;0;0.00214592;0
logique métier;0;0;0;0;0.00419287;0;0;0;0;0.00428266;0
port 443;0;0;0;0;0;0;0;0;0;0.00214592;0
host;0;0;0;0;0.0325866;0.0387409;0;0.0517799;0.0366133;0.033264;0
uniform resource identifier;0;0;0;0;0;0;0;0;0;0.00214592;0
ipv4;0;0;0;0;0;0;0;0;0;0.00214592;0
ipv6;0;0;0;0;0;0;0;0;0;0.00214592;0
visiter;0;0;0;0;0;0;0;0;0;0.00214592;0
nom de domaine;0;0;0;0;0;0;0;0;0;0.00214592;0
domaine;0;0;0;0;0;0;0;0;0;0.00214592;0
sous-domaines;0;0;0;0;0;0;0;0;0;0.00214592;0
configuration;0;0;0.00790514;0;0;0;0;0;0.00941176;0.00852878;0
common gateway interface;0;0;0;0;0;0.00501253;0;0;0;0.00428266;0
gateway;0;0;0;0;0;0;0;0;0;0.00214592;0
lire;0;0;0.113074;0.143177;0.118738;0.138829;0;0;0.131959;0.120983;0.141593
langage de programmation;0;0.12357;0.103203;0.123318;0.114662;0.124454;0;0;0;0.108365;0.126949
paris;0;0;0;0;0;0;0;0;0.00472813;0.00428266;0
langage de script;0;0.0790123;0.0599251;0;0.0631164;0.0745921;0.0888889;0;0;0.0643863;0
côté serveur;0;0;0.030888;0;0.0325866;0.0387409;0;0;0.0366133;0.033264;0
open source;0;0;0.0156863;0;0;0;0;0;0.018648;0.0169133;0.020202
grand nombre;0;0;0.0156863;0;0;0.0197531;0;0;0.018648;0.0169133;0
facebook;0;0;0;0;0.00835073;0;0;0;0.00941176;0.00852878;0
wikipédia;0;0;0;0;0;0;0;0;0.00941176;0.00852878;0.0102041
opérateur;0;0;0.00396825;0;0;0;0;0;0;0.00428266;0
installation;0;0;0;0;0.00835073;0;0;0;0;0.00852878;0.0102041
wamp;0;0;0.0156863;0;0.0165631;0;0;0;0.018648;0.0169133;0
mamp;0;0;0;0;0.00835073;0;0;0;0.00941176;0.00852878;0
éditeur de texte;0;0;0;0;0;0;0;0;0.00941176;0.00852878;0.0102041
macos;0;0;0.00790514;0;0.00835073;0;0;0;0;0.00852878;0
windows;0;0;0.030888;0;0.0325866;0.0387409;0;0;0;0.033264;0.039604
emacs;0;0;0;0;0;0.00501253;0;0;0;0.00428266;0
nano;0;0;0;0;0;0;0;0;0;0.00214592;0
langage c;0;0;0.030888;0.0401003;0;0;0;0;0.0366133;0.033264;0.039604
attribut;0;0;0;0;0.0165631;0;0;0;0.018648;0.0169133;0.020202
integer;0;0;0.0599251;0;0.0631164;0.0745921;0;0.0984615;0;0.0643863;0.0761905
super;0;0;0;0;0;0;0.00606061;0;0;0.00428266;0
type;0;0.124424;0.111712;0;0.104869;0.125275;0.132992;0;0;0.10687;0.112832
concaténation;0;0.0790123;0;0;0.0631164;0.0745921;0;0;0.0706402;0.0643863;0.0761905
opérateur logiques;0;0;0.0156863;0;0;0.0197531;0;0;0.018648;0.0169133;0
multiplication;0;0;0.113074;0.143177;0.118738;0.138829;0;0;0.131959;0.120983;0.141593
division;0;0;0.030888;0;0;0.0387409;0;0;0.0366133;0.033264;0.039604
valeur numérique;0;0;0.00790514;0;0;0;0;0;0.00941176;0.00852878;0
comparaison;0;0.0641975;0.0566038;0;0;0;0;0.08;0.0620843;0.0587045;0.0669856
égal;0;0;0.0599251;0.0771084;0;0.0745921;0;0;0.0706402;0.0643863;0.0761905
inférieur;0;0;0;0;0;0.0197531;0;0;0.018648;0.0169133;0.020202
mathématiques;0;0;0;0;0;0;0;0;0;0.00214592;0
extraction;0;0;0;0;0;0;0;0;0;0.00214592;0
procédural;0;0;0.00396825;0;0;0;0;0;0;0.00428266;0
