X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; CJA
php bn:01753580n ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0.272727 ; 0.272727
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0.272727 ; 0.272727
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.181818 ; 0 ; 0.363636 ; 0.272727
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0.181818 ; 0
pouvoir bn:00084451v ; 0 ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0
