X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; CJA
C11 ; 1 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.125 ; 0.142857
C15 ; 0.333333 ; 1 ; 0.333333 ; 0.25 ; 0.333333 ; 0.125 ; 0.142857
C17 ; 0.333333 ; 0.333333 ; 1 ; 0.25 ; 0.333333 ; 0.285714 ; 0.333333
C19 ; 0.25 ; 0.25 ; 0.25 ; 1 ; 0.25 ; 0.428571 ; 0.285714
C3 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 1 ; 0.285714 ; 0.333333
C5 ; 0.125 ; 0.125 ; 0.285714 ; 0.428571 ; 0.285714 ; 1 ; 0.625
CJA ; 0.142857 ; 0.142857 ; 0.333333 ; 0.285714 ; 0.333333 ; 0.625 ; 1
