X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0512821 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0487805 ; 0
mysql bn:01225760n ; 0 ; 0.264151 ; 0.277228 ; 0.27451 ; 0.25641 ; 0.285714 ; 0.277778 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0506329 ; 0 ; 0.0571429
fichier bn:00021475n ; 0.0987654 ; 0 ; 0 ; 0 ; 0 ; 0.0843373 ; 0.0813953 ; 0.0945946
données bn:00025314n ; 0 ; 0 ; 0.176471 ; 0.174419 ; 0.156863 ; 0.164835 ; 0 ; 0.182927
types bn:00016413n ; 0.377953 ; 0.356589 ; 0 ; 0.346457 ; 0.392593 ; 0.385827 ; 0.325926 ; 0.325397
session bn:03751534n ; 0.177778 ; 0 ; 0 ; 0.186047 ; 0.15534 ; 0.175824 ; 0.170213 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.176471 ; 0.174419 ; 0.156863 ; 0.164835 ; 0 ; 0.182927
entités bn:00031027n ; 0 ; 0.166667 ; 0.176471 ; 0 ; 0.156863 ; 0.164835 ; 0 ; 0.182927
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.043956 ; 0.0506329 ; 0 ; 0.0571429
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.043956 ; 0.0506329 ; 0 ; 0.0571429
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0540541 ; 0 ; 0.0506329 ; 0.0487805 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0540541 ; 0 ; 0.0506329 ; 0 ; 0.0571429
sélectionner bn:00084931v ; 0 ; 0.0512821 ; 0 ; 0 ; 0 ; 0 ; 0.0487805 ; 0.0571429
post bn:01500184n ; 0.284314 ; 0.259615 ; 0 ; 0 ; 0.230769 ; 0.257143 ; 0.238532 ; 0.268041
méthode get bn:00045088n ; 0.252427 ; 0 ; 0.265306 ; 0.22549 ; 0.256637 ; 0 ; 0.242991 ; 0.247423
code bn:00020354n ; 0.181818 ; 0.168539 ; 0 ; 0 ; 0 ; 0.153846 ; 0.148936 ; 0.170732
utilisateur bn:00079373n ; 0.348837 ; 0.359375 ; 0.34127 ; 0 ; 0.345324 ; 0.315789 ; 0.369231 ; 0.360656
afficher bn:00087013v ; 0.097561 ; 0 ; 0.103896 ; 0 ; 0.0842105 ; 0 ; 0 ; 0.108108
nécessaire bn:00107182a ; 0 ; 0.097561 ; 0 ; 0 ; 0.0842105 ; 0 ; 0.0930233 ; 0.108108
serveur bn:00044916n ; 0.247619 ; 0.259615 ; 0 ; 0.257426 ; 0.263158 ; 0.281553 ; 0 ; 0.255102
fois bn:00032768n ; 0.247619 ; 0.259615 ; 0 ; 0.257426 ; 0.263158 ; 0.281553 ; 0 ; 0.255102
