X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
hit bn:00044278n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
système de gestion bn:01510781n ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303
système de gestion de base de donnée bn:14249264n ; 0 ; 0 ; 0 ; 0.030303 ; 0 ; 0.030303 ; 0 ; 0.030303
sélectionner bn:00084931v ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0
post bn:01500184n ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0
concaténer bn:00085508v ; 0 ; 0.111111 ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
url bn:00079080n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0
sensibles bn:00104681a ; 0 ; 0.0588235 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235
convient bn:00094581v ; 0 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0
circonstances bn:00019220n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
macromedia bn:01011718n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
macromedia dreamweaver bn:02545116n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
insertion bn:02234787n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0.030303
aller bn:00040833n ; 0 ; 0.2 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2
zone de texte bn:03113401n ; 0 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
webmail bn:03631242n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
valeur par défaut bn:03854990n ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0 ; 0 ; 0.0153846
finale bn:00102969a ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
porter bn:00016278n ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0.111111 ; 0
rows bn:03611246n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
menu bn:00021485n ; 0 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0 ; 0.111111 ; 0.111111
variable bn:00113503a ; 0 ; 0 ; 0.0588235 ; 0 ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235
sélection multiple bn:05019947n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
multiple bn:00107028a ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
précèdent bn:00091926v ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
indispensable bn:00104964a ; 0 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0 ; 0.111111 ; 0
possible bn:00108829a ; 0 ; 0 ; 0.030303 ; 0.030303 ; 0 ; 0 ; 0 ; 0.030303
afficher bn:00087013v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00775194 ; 0 ; 0
parfois bn:00117070r ; 0 ; 0.2 ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
nécessaire bn:00107182a ; 0 ; 0 ; 0 ; 0.0153846 ; 0 ; 0.0153846 ; 0 ; 0
sélection simple bn:05019938n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
distance bn:00027749n ; 0 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0 ; 0.2
affichage bn:00010421n ; 0 ; 0 ; 0.00775194 ; 0 ; 0 ; 0 ; 0 ; 0
accesskey bn:01689926n ; 0 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
courants bn:00024510n ; 0 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0 ; 0 ; 0
