Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;6;Objects;0;8;
0;6;Attributes;0;8;C11;C15;C17;C19;C3;C5;C6;CJA;
1;2;Objects;1;2;php bn:01753580n;
1;2;Attributes;1;2;C19;C5;
2;5;Objects;1;5;texte bn:00076732n;
2;5;Attributes;1;5;C11;C15;C19;C3;C6;
3;5;Objects;1;5;client web bn:00013447n;
3;5;Attributes;1;5;C11;C15;C17;C19;C6;
4;5;Objects;1;5;nombre bn:00058285n;
4;5;Attributes;1;5;C11;C15;C17;C3;C6;
5;2;Objects;1;2;méthode get bn:00045088n;
5;2;Attributes;1;2;C15;C5;
6;3;Objects;1;3;code bn:00020354n;
6;3;Attributes;1;3;C17;C19;C3;
7;2;Objects;1;2;commentaires bn:00020978n;
7;2;Attributes;1;2;C17;CJA;
8;2;Objects;1;2;client bn:00019764n;
8;2;Attributes;1;2;C5;C6;
9;4;Objects;2;4;texte bn:00076732n;client web bn:00013447n;
9;4;Attributes;2;4;C11;C15;C19;C6;
10;4;Objects;2;4;texte bn:00076732n;nombre bn:00058285n;
10;4;Attributes;2;4;C11;C15;C3;C6;
11;2;Objects;2;2;texte bn:00076732n;code bn:00020354n;
11;2;Attributes;2;2;C19;C3;
12;3;Objects;2;3;fichier bn:00021475n;client web bn:00013447n;
12;3;Attributes;2;3;C15;C17;C19;
13;4;Objects;2;4;client web bn:00013447n;nombre bn:00058285n;
13;4;Attributes;2;4;C11;C15;C17;C6;
14;3;Objects;3;3;texte bn:00076732n;client web bn:00013447n;afficher bn:00087013v;
14;3;Attributes;3;3;C15;C19;C6;
15;3;Objects;3;3;texte bn:00076732n;client web bn:00013447n;pouvoir bn:00084451v;
15;3;Attributes;3;3;C11;C19;C6;
16;2;Objects;3;2;fichier bn:00021475n;client web bn:00013447n;nombre bn:00058285n;
16;2;Attributes;3;2;C15;C17;
17;2;Objects;3;2;fichier bn:00021475n;client web bn:00013447n;code bn:00020354n;
17;2;Attributes;3;2;C17;C19;
18;3;Objects;3;3;client web bn:00013447n;nombre bn:00058285n;langage bn:00049910n;
18;3;Attributes;3;3;C11;C17;C6;
19;2;Objects;4;2;texte bn:00076732n;fichier bn:00021475n;client web bn:00013447n;afficher bn:00087013v;
19;2;Attributes;4;2;C15;C19;
20;2;Objects;4;2;texte bn:00076732n;client web bn:00013447n;afficher bn:00087013v;pouvoir bn:00084451v;
20;2;Attributes;4;2;C19;C6;
21;2;Objects;4;2;nombre bn:00058285n;code bn:00020354n;chaîne bn:00074685n;echo bn:03626250n;
21;2;Attributes;4;2;C17;C3;
22;2;Objects;4;2;programmation bn:00021493n;class bn:03598962n;méthode bn:01641329n;exception bn:00032118n;
22;2;Attributes;4;2;C3;CJA;
23;3;Objects;5;3;texte bn:00076732n;données bn:00025314n;base de donnees bn:00025333n;client web bn:00013447n;nombre bn:00058285n;
23;3;Attributes;5;3;C11;C15;C6;
24;2;Objects;5;2;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;nécessaire bn:00107182a;langage bn:00049910n;
24;2;Attributes;5;2;C11;C17;
25;2;Objects;6;2;texte bn:00076732n;données bn:00025314n;base de donnees bn:00025333n;client web bn:00013447n;nombre bn:00058285n;afficher bn:00087013v;
