X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; client web bn:00013447n ; nombre bn:00058285n ; serveur bn:00044916n ; chaîne bn:00074685n ; pouvoir bn:00084451v
php bn:01753580n ; 1 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.142857 ; 0.333333 ; 0.25 ; 0.333333
texte bn:00076732n ; 0.166667 ; 1 ; 0.4 ; 0.666667 ; 0.571429 ; 0.4 ; 0.333333 ; 0.166667
fichier bn:00021475n ; 0.333333 ; 0.4 ; 1 ; 0.4 ; 0.333333 ; 1 ; 0.25 ; 0.333333
client web bn:00013447n ; 0.166667 ; 0.666667 ; 0.4 ; 1 ; 0.571429 ; 0.4 ; 0.333333 ; 0.166667
nombre bn:00058285n ; 0.142857 ; 0.571429 ; 0.333333 ; 0.571429 ; 1 ; 0.333333 ; 0.5 ; 0.142857
serveur bn:00044916n ; 0.333333 ; 0.4 ; 1 ; 0.4 ; 0.333333 ; 1 ; 0.25 ; 0.333333
chaîne bn:00074685n ; 0.25 ; 0.333333 ; 0.25 ; 0.333333 ; 0.5 ; 0.25 ; 1 ; 0.25
pouvoir bn:00084451v ; 0.333333 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.142857 ; 0.333333 ; 0.25 ; 1
