X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php;0;0.333333;0;0
script;0.333333;0;0;0
langage;0;0;0.333333;0
commentaires;0;0;0;0.333333
chaîne;0.333333;0;0;0
programmation;0.333333;0;0;0
timestamp;0.333333;0;0;0
base de données;0;0;0.333333;0
données;0;0;0.333333;0
fichiers;0.333333;0;0;0
code;0.333333;0;0;0
texte;0.333333;0;0;0
http;0;0.333333;0;0
méthode;0;0;0;0.333333
classe;0;0;0;0.333333
java;0;0;0;0.333333
site;0;0;0.333333;0
personne;0;0;0.333333;0
xml;0;0.333333;0;0
files;0.333333;0;0;0
varchar;0;0;0.333333;0
mise;0;0;0;0.333333
publique;0;0;0;0.333333
composer;0;0.333333;0;0
null;0;0;0.333333;0
