X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
division par deux;0;0.333333;0.333333;0.333333
deux;0;0.2;0;0.2
message;0;0;0.111111;0
temps;0;0;0;0.111111
oeil;0;0.333333;0.333333;0.333333
affiche;0;0.111111;0;0
exécutée;0;0.333333;0.333333;0.333333
conditionnelle;0;0.2;0.2;0
sorte;0;0.333333;0.333333;0.333333
list;0;0.2;0.2;0
case;0;0.111111;0;0
ressembler à;0;0.2;0;0.2
homologue;0;0.333333;0.333333;0.333333
existe;0;0.2;0;0.2
appel de fonction;0;0.2;0.2;0
valeur par défaut;0;0;0;0.111111
type de valeurs;0;0.333333;0.333333;0.333333
devoir;0;0.2;0;0.2
couvrir;0;0.333333;0.333333;0.333333
rappel;0;0;0;0.111111
limitation;0;0.333333;0.333333;0.333333
conteneur;0;0.2;0.2;0
droit;0;0;0;0.111111
chose;0;0;0;0.111111
premier;0;0.2;0;0.2
choix multiples;0;0.333333;0.333333;0.333333
vin;0;0.333333;0.333333;0.333333
format de date;0;0.333333;0.333333;0.333333
langue anglaise;0;0.111111;0;0
français;0;0.2;0;0.2
semaine;0;0.2;0;0.2
heure internet;0;0.333333;0.333333;0.333333
vendredi;0;0;0.2;0.2
janvier;0;0.333333;0.333333;0.333333
24h;0;0.111111;0;0
hiver;0;0.333333;0.333333;0.333333
heure de greenwich;0;0.333333;0.333333;0.333333
dec;0;0.333333;0.333333;0.333333
fuseau horaire;0;0.333333;0.333333;0.333333
dimanche;0;0;0;0.111111
samedi;0;0;0.2;0.2
lundi;0;0;0.2;0.2
second;0;0.333333;0.333333;0.333333
fonction;0;0.333333;0.333333;0.333333
siècle;0;0.333333;0.333333;0.333333
numérique;0;0.333333;0.333333;0.333333
intervalle;0;0.333333;0.333333;0.333333
semaine 1;0;0.333333;0.333333;0.333333
abréviation;0;0.333333;0.333333;0.333333
littéral;0;0.111111;0;0
september;0;0.333333;0.333333;0.333333
septembre;0;0;0.2;0.2
semaine 3;0;0.333333;0.333333;0.333333
système de gestion;0;0;0;0.111111
système de gestion de base de donnée;0;0.2;0;0.2
relationnel;0;0.2;0.2;0
open source;0;0.2;0.2;0
mysql ab;0;0.333333;0.333333;0.333333
licence;0;0.2;0;0.2
licence gpl;0;0.2;0;0.2
support technique;0;0.333333;0.333333;0.333333
hébergeur;0;0.2;0;0.2
étrangères;0;0.333333;0.333333;0.333333
notamment;0;0;0.2;0.2
delete;0;0;0;0.111111
moteur de recherche;0;0.333333;0.333333;0.333333
sqlplus;0;0.333333;0.333333;0.333333
intuitif;0;0.333333;0.333333;0.333333
toolkit;0;0.2;0.2;0
qt;0;0.333333;0.333333;0.333333
macos;0;0;0.2;0.2
configuration;0;0;0.2;0.2
ip;0;0.333333;0.333333;0.333333
doute;0;0.2;0;0.2
administrateur;0;0.2;0;0.2
mise à jour;0;0.111111;0;0
insert;0;0.2;0;0.2
possible;0;0;0;0.111111
varchar;0;0;0;0.111111
tenir compte;0;0.2;0;0.2
quantité variables;0;0.333333;0.333333;0.333333
medium;0;0.333333;0.333333;0.333333
tris;0;0.333333;0.333333;0.333333
champ de;0;0.2;0.2;0
insérer;0;0.2;0.2;0
plupart;0;0.2;0;0.2
préférence;0;0.333333;0.333333;0.333333
février;0;0.333333;0.333333;0.333333
mise;0;0.111111;0;0
expliquer;0;0.333333;0.333333;0.333333
plage;0;0.2;0.2;0
mm;0;0.333333;0.333333;0.333333
fraction;0;0.333333;0.333333;0.333333
soumettre;0;0.333333;0.333333;0.333333
transaction;0;0;0.111111;0
rollback;0;0;0.2;0.2
crash;0;0.333333;0.333333;0.333333
contraintes;0;0.111111;0;0
intégrité;0;0.333333;0.333333;0.333333
parente;0;0.333333;0.333333;0.333333
clé étrangère;0;0.2;0;0.2
fils;0;0.333333;0.333333;0.333333
critère;0;0.111111;0;0
flotter;0;0.333333;0.333333;0.333333
order;0;0.333333;0.333333;0.333333
simplicité;0;0.333333;0.333333;0.333333
ouverte;0;0.333333;0.333333;0.333333
échec;0;0;0;0.111111
numéroter;0;0.333333;0.333333;0.333333
identiques;0;0.333333;0.333333;0.333333
renommer;0;0;0.2;0.2
insertion;0;0.333333;0.333333;0.333333
valeur;0;0.2;0.2;0
liste chaînée;0;0.333333;0.333333;0.333333
jointure;0;0.333333;0.333333;0.333333
activer;0;0.333333;0.333333;0.333333
mode texte;0;0.2;0.2;0
attention;0;0;0.111111;0
fin;0;0.2;0.2;0
placer;0;0.333333;0.333333;0.333333
img;0;0.2;0;0.2
fichier csv;0;0.333333;0.333333;0.333333
ret;0;0.333333;0.333333;0.333333
fichier binaire;0;0.333333;0.333333;0.333333
calculer;0;0.2;0;0.2
réussite;0;0.333333;0.333333;0.333333
pointeur;0;0.2;0.2;0
chdir;0;0.333333;0.333333;0.333333
argument;0;0.2;0.2;0
relatif;0;0.2;0.2;0
handle;0;0.333333;0.333333;0.333333
prochaine;0;0.2;0;0.2
sous;0;0.333333;0.333333;0.333333
base 8;0;0.333333;0.333333;0.333333
type de fichier;0;0.333333;0.333333;0.333333
fifo;0;0.333333;0.333333;0.333333
pointé;0;0.2;0;0.2
inode;0;0.333333;0.333333;0.333333
size;0;0;0.111111;0
taille de bloc;0;0.333333;0.333333;0.333333
shell unix;0;0.333333;0.333333;0.333333
dirname;0;0;0.2;0.2
isoler;0;0.333333;0.333333;0.333333
chown;0;0.333333;0.333333;0.333333
chgrp;0;0.333333;0.333333;0.333333
copy;0;0.333333;0.333333;0.333333
hard link;0;0.333333;0.333333;0.333333
lien symbolique;0;0.333333;0.333333;0.333333
masque;0;0.2;0.2;0
rename;0;0.333333;0.333333;0.333333
umask;0;0.333333;0.333333;0.333333
client;0;0;0.2;0.2
encodage;0;0;0;0.111111
avatar;0;0.333333;0.333333;0.333333
vérification;0;0.2;0;0.2
pire;0;0.333333;0.333333;0.333333
boite de dialogue;0;0.2;0.2;0
gestionnaire de fichier;0;0.333333;0.333333;0.333333
cliquer;0;0.2;0;0.2
bouton;0;0.333333;0.333333;0.333333
temp;0;0.333333;0.333333;0.333333
fichier temporaire;0;0.333333;0.333333;0.333333
verrouiller;0;0.333333;0.333333;0.333333
caractère nul;0;0.333333;0.333333;0.333333
inverse;0;0.2;0;0.2
