X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php;0.2;0;0.2;0
script;0;0.2;0.2;0
langage;0.333333;0.333333;0;0.333333
serveur;0;0;0.2;0.2
commentaires;0.2;0.2;0;0
chaîne;0;0.111111;0;0
programmation;0;0.2;0.2;0
timestamp;0;0.2;0.2;0
base de données;0.333333;0.333333;0;0.333333
données;0.333333;0.333333;0;0.333333
nombre;0;0.2;0;0.2
fichiers;0;0;0.2;0.2
code;0;0;0.111111;0
texte;0;0.333333;0.333333;0.333333
http;0.333333;0;0.333333;0.333333
méthode;0;0.2;0.2;0
classe;0.333333;0.333333;0.333333;0
exceptions;0;0;0;0.111111
java;0.333333;0.333333;0.333333;0
site;0.333333;0.333333;0;0.333333
personne;0.2;0.2;0;0
xml;0.2;0;0.2;0
echo;0;0;0.111111;0
files;0;0;0.2;0.2
class;0;0.111111;0;0
configuration;0.111111;0;0;0
insert;0.111111;0;0;0
varchar;0.2;0.2;0;0
mise;0.2;0;0.2;0
client;0.111111;0;0;0
publique;0.333333;0.333333;0.333333;0
composer;0;0;0.2;0.2
null;0;0.2;0;0.2
