X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php;0;0.25;0;0
script;0.2;0;0;0
langage;0;0;0.25;0
serveur;0.333333;0.4;0;0
commentaires;0;0;0;0.333333
chaîne;0.2;0;0;0
programmation;0.2;0;0;0
timestamp;0.2;0;0;0
base de données;0;0;0.25;0
données;0;0;0.25;0
nombre;0.333333;0;0.4;0
fichiers;0.2;0;0;0
code;0.2;0;0;0
texte;0.2;0;0;0
http;0;0.25;0;0
méthode;0;0;0;0.333333
classe;0;0;0;0.333333
exceptions;0.2;0;0;0
java;0;0;0;0.333333
site;0;0;0.25;0
personne;0;0;0.25;0
xml;0;0.25;0;0
echo;0.2;0;0;0
files;0.2;0;0;0
configuration;0;0.25;0;0
insert;0;0;0.25;0
varchar;0;0;0.25;0
mise;0;0;0;0.333333
client;0;0.25;0;0
publique;0;0;0;0.333333
composer;0;0.25;0;0
null;0;0;0.25;0
