X;C3.csv;C5.csv;C6.csv;CJA-automatic.csv
php;0.111111;0;0;0
définition;0.5;0.5;0.5;0.5
page;0.111111;0;0;0
base;0.111111;0;0;0
séparateur;0.2;0;0.2;0
bloc;0.333333;0.333333;0;0.333333
portée;0.111111;0;0;0
type;0.5;0.5;0.5;0.5
booléens;0.2;0;0;0.2
chaîne;0;0;0.2;0.2
supprimer;0.111111;0;0;0
précédence;0.2;0;0;0.2
bits;0.333333;0.333333;0;0.333333
comparaison;0.2;0;0;0.2
incrémentation;0.2;0;0;0.2
opérateur logiques;0.2;0;0.2;0
logiques;0.5;0.5;0.5;0.5
structure de contrôle;0.5;0.5;0.5;0.5
programmation;0;0;0;0.111111
foreach;0.5;0.5;0.5;0.5
switch;0.2;0;0;0.2
syntaxe;0.5;0.5;0.5;0.5
valeur de retour;0.2;0;0.2;0
post;0.5;0.5;0.5;0.5
strftime;0.2;0.2;0;0
mysql;0.333333;0.333333;0.333333;0
phpmyadmin;0.2;0.2;0;0
utilisateur;0.5;0.5;0.5;0.5
modifier;0.111111;0;0;0
numériques;0.111111;0;0;0
entiers;0.333333;0.333333;0;0.333333
réels;0.333333;0;0.333333;0.333333
text;0.5;0.5;0.5;0.5
enum;0.111111;0;0;0
time;0.2;0.2;0;0
sql;0.333333;0.333333;0.333333;0
innodb;0.111111;0;0;0
fulltext;0.111111;0;0;0
séquence;0.333333;0;0.333333;0.333333
fichiers;0;0.111111;0;0
fread;0.111111;0;0;0
fichier par;0.111111;0;0;0
sortie;0.2;0;0;0.2
sortie standard;0.2;0.2;0;0
ecriture;0.333333;0.333333;0;0.333333
fin de fichier;0.111111;0;0;0
fermer;0.2;0;0.2;0
système de fichiers;0.111111;0;0;0
code;0;0.2;0;0.2
comparer;0.111111;0;0;0
session;0.333333;0.333333;0.333333;0
couleurs;0.5;0.5;0.5;0.5
rectangle;0.111111;0;0;0
polygones;0.111111;0;0;0
programmation objet;0.333333;0.333333;0;0.333333
opérateur;0.111111;0;0;0
héritage;0.5;0.5;0.5;0.5
polymorphisme;0.2;0;0;0.2
self;0.2;0.2;0;0
constructeurs;0.5;0.5;0.5;0.5
destructeur;0.111111;0;0;0
affectation;0.333333;0;0.333333;0.333333
nouveauté;0.111111;0;0;0
sauvegarder;0.5;0.5;0.5;0.5
côté serveur;0.333333;0.333333;0.333333;0
inspirer;0.111111;0;0;0
langage c;0.2;0;0;0.2
perl;0.2;0.2;0;0
rasmus lerdorf;0.2;0.2;0;0
site personnel;0.111111;0;0;0
interpreter;0.2;0;0.2;0
contributeurs;0.111111;0;0;0
juin;0.2;0.2;0;0
zeev suraski;0.2;0.2;0;0
modulaire;0.2;0.2;0;0
extensible;0.111111;0;0;0
supplémentaires;0.333333;0.333333;0.333333;0
manquer;0.2;0;0.2;0
cohérente;0.333333;0;0.333333;0.333333
serveur web;0.5;0.5;0.5;0.5
moteur;0.5;0.5;0.5;0.5
zend;0.2;0.2;0;0
zend engine;0.2;0.2;0;0
mai;0.111111;0;0;0
c++;0.5;0.5;0.5;0.5
forum;0.111111;0;0;0
messagerie;0.111111;0;0;0
commerce électronique;0.2;0.2;0;0
banque;0.2;0;0.2;0
publication en ligne;0.111111;0;0;0
voulez;0.5;0.5;0.5;0.5
lamp;0.2;0.2;0;0
linux;0.333333;0.333333;0.333333;0
incorporer;0.111111;0;0;0
javascript;0.333333;0.333333;0.333333;0
semblant;0.111111;0;0;0
navigateur;0.5;0.5;0.5;0.5
dédier;0.111111;0;0;0
lire;0.5;0.5;0.5;0.5
page web;0.5;0.5;0.5;0.5
vitesse;0.2;0;0.2;0
côté;0.111111;0;0;0
côté client;0.333333;0.333333;0.333333;0
windows;0.5;0.5;0.5;0.5
vbscript;0.111111;0;0;0
jscript;0.111111;0;0;0
activex;0.111111;0;0;0
portage;0.111111;0;0;0
plate-forme;0.2;0;0;0.2
langage de programmation;0.5;0.5;0.5;0.5
langage de programmation procédural;0.2;0.2;0;0
procédural;0.111111;0;0;0
nécessaire;0.333333;0;0.333333;0.333333
python;0.333333;0.333333;0.333333;0
unix;0.333333;0.333333;0;0.333333
mac;0.2;0.2;0;0
second;0.111111;0;0;0
distribution linux;0.2;0.2;0;0
mode;0.5;0.5;0.5;0.5
répertoire personnel;0.111111;0;0;0
complexe;0.5;0.5;0.5;0.5
uvre;0.333333;0;0.333333;0.333333
employer;0.2;0.2;0;0
easyphp;0.111111;0;0;0
coloration syntaxique;0.111111;0;0;0
w3c;0.2;0;0.2;0
xhtml;0.111111;0;0;0
css;0.111111;0;0;0
affichage;0.5;0.5;0.5;0.5
entête;0.333333;0;0.333333;0.333333
mozilla;0.111111;0;0;0
galeon;0.111111;0;0;0
konqueror;0.111111;0;0;0
compatibles;0.2;0;0;0.2
bordélique;0.111111;0;0;0
endroit;0.333333;0.333333;0.333333;0
web;0.333333;0;0.333333;0.333333
souple;0.111111;0;0;0
point-virgule;0.333333;0;0.333333;0.333333
sensible;0.333333;0.333333;0.333333;0
lettre;0.2;0.2;0;0
dépendre;0.333333;0;0.333333;0.333333
contexte;0.2;0;0;0.2
transtypage;0.333333;0;0.333333;0.333333
signe égal;0.111111;0;0;0
sans;0.111111;0;0;0
affiche;0.111111;0;0;0
globale;0.333333;0;0.333333;0.333333
variable locale;0.2;0;0;0.2
locale;0.111111;0;0;0
grand nombre;0.2;0;0.2;0
upload;0.111111;0;0;0
env;0.2;0.2;0;0
url;0.333333;0.333333;0;0.333333
cache;0.2;0.2;0;0
dynamique;0.111111;0;0;0
ambiguïté;0.111111;0;0;0
chaîne vide;0.2;0;0.2;0
booléenne;0.111111;0;0;0
architecture;0.2;0.2;0;0
nombre à virgule flottante;0.111111;0;0;0
spécifier;0.333333;0;0.333333;0.333333
puissance de 10;0.111111;0;0;0
ascii;0.2;0;0;0.2
unicode;0.111111;0;0;0
échapper;0.111111;0;0;0
lf;0.111111;0;0;0
carriage return;0.111111;0;0;0
cr;0.111111;0;0;0
antislash;0.2;0;0.2;0
notation octale;0.111111;0;0;0
notation hexadécimale;0.111111;0;0;0
