;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
science bn:00069670n;0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
computer bn:00021464n;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 
north-holland bn:03160161n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
systems bn:15125301n;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
david harel bn:03178978n;0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 
applied mathematics bn:00005103n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mathematics bn:00053823n;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
weizmann bn:00017485n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
weizmann institute bn:03173130n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
institute bn:00046952n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
rehovot bn:02588387n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
israel bn:00047679n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
pnueli bn:02432625n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
december 1984 bn:02815569n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
july bn:00048548n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
july 1986 bn:02831635n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
state bn:00023236n;0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
diagrams bn:00026817n;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
relevant bn:00109659a;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
real-time bn:00109500a;0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
real-time systems bn:01927979n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
communication bn:00021221n;0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 0; 
communication protocol bn:00021227n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
digital control bn:03371928n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
units bn:00021497n;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
notion bn:00058174n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hierarchy bn:00044017n;0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
language bn:00049910n;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
structured bn:00094491v;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
behavior bn:00009657n;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 
enable bn:00087587v;0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
manageable bn:00096274a;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
attractive bn:00097733a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
behavioral bn:00098202a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
design methodology bn:02802208n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
methodology bn:00054633n;0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 1; 1; 1; 
functional decomposition bn:00302749n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
data-flow bn:03750145n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
experience bn:00032306n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
particularly bn:00115235r;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
complex bn:00100148a;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
complex system bn:03086504n;0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 
literature bn:00051538n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
system engineering bn:02138008n;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
engineering bn:00086870v;0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
problem bn:00048242n;0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 
reactive systems bn:02824399n;0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 
characterized bn:00084801v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
example bn:00032100n;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 1; 
automobiles bn:00007309n;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
communication networks bn:03231902n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
networks bn:00024712n;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
computer operating systems bn:00059123n;0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 
missile bn:00055322n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
avionics bn:00007477n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
man-machine interface bn:00047088n;0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
kind bn:00035907n;0; 0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 
rooted bn:00093113v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
difficulty bn:00027043n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
way bn:00033729n;0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 
time bn:00077270n;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
research bn:00067280n;0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
author bn:00007287n;0; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
consulting bn:00085686v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
research development bn:02012371n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
aircraft bn:00002275n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
aircraft industries bn:03857294n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
industries bn:00046576n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
ad bn:00001227n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
cad bn:00014510n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rigorous bn:00109874a;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
detailed bn:00101268a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
simulation bn:00021496n;0; 1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
really bn:00115504r;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 
set bn:00070697n;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 1; 
output bn:00036821n;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
information bn:00046705n;0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 1; 
usually bn:00114778r;0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 0; 0; 
lend bn:00090289v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
gradual bn:00103716a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mind bn:00012681n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
input/output bn:01541423n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
tool bn:00077585n;0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
very well bn:00114213r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
difficult bn:00101358a;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
number bn:00058285n;0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 
medium bn:00054149n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
state transition bn:03348716n;0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
alpha state bn:02017266n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concerning bn:00083240v;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
dynamics bn:00029296n;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
nature bn:00057017n;0; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
directed graphs bn:01240512n;0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
denoting bn:00086587v;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
triggering bn:00082306v;0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 
unstructured bn:00113284a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hierarchical bn:00104156a;0; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 
gearbox bn:14477485n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ability bn:00000318n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
orthogonality bn:00059586n;0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 0; 
flowchart bn:00035375n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
techniques bn:00076341n;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
computer science bn:00021494n;0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 
research community bn:02747390n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
main bn:00099598a;0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
possible bn:00108829a;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
easily bn:00115155r;0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 
forth bn:00114455r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
broadcast bn:00013234n;0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 1; 
idea bn:00045800n;0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
strongly bn:00116666r;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
diagrammatic bn:00101317a;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
textual bn:00111786a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
mundane name bn:03003964n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lack bn:00090161v;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
chart bn:00017904n;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 
version bn:00047114n;0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
stratification bn:00072553n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
entirety bn:00031025n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
investigation bn:00047354n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
addition bn:00001296n;0; 1; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 
temporal logic bn:02569818n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
logic bn:00051845n;0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 
probabilism bn:00064506n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
semantics bn:00070404n;0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
treatment bn:00027523n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
mentioned bn:00082412v;0; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
implementation bn:00016287n;0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 1; 
graphical representation bn:00509244n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
area bn:00005513n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
location bn:00062699n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
rounded bn:00084164v;0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
rectangle bn:00066608n;0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
graphics bn:00005929n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
concept bn:00021547n;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
euler bn:00031826n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
circles bn:00019169n;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
abbreviation bn:00000239n;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
occurring bn:00085337v;0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 
instant bn:00046942n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
lb bn:00050327n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
citizen watch bn:01538519n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
america bn:00003341n;0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
angle bn:00004117n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
say bn:00093287v;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 
added bn:00082317v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
give rise bn:00084069v;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
illustrated bn:00087826v;0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
achieved bn:00082226v;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
time being bn:00057921n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
significance bn:00046139n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
world concerned bn:00334798n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
obvious bn:00097350a;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
automata bn:00007371n;0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 
beeper bn:00009588n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
c d bn:00016915n;0; 1; 1; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0; 
am/pm bn:01752019n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
hour bn:00000127n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
month bn:00014710n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
week bn:00043484n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
stopwatch bn:00074440n;0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
terminology bn:00049915n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
distinction bn:00027036n;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
likely bn:00105981a;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
detected bn:00086708v;0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
normal bn:00107587a;0; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
observation bn:00058495n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
avoided bn:00082954v;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
beeping bn:00083319v;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
t2 bn:00052738n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
sec bn:00068672n;0; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 
sleep bn:00072101n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
