;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
science bn:00069670n;1; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
computer bn:00021464n;1; 0; 1; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 
statecharts bn:01128895n;0; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 
systems bn:15125301n;0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 
david harel bn:03178978n;1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
mathematics bn:00053823n;1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 
state bn:00023236n;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
state machine bn:00212740n;1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 1; 
diagrams bn:00026817n;1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
communication bn:00021221n;1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 
units bn:00021497n;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 1; 
language bn:00049910n;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
behavior bn:00009657n;1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
complex bn:00100148a;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
complex system bn:03086504n;0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 
problem bn:00048242n;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 
reactive systems bn:02824399n;1; 1; 0; 0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 
example bn:00032100n;1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
automobiles bn:00007309n;1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
networks bn:00024712n;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
kind bn:00035907n;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
way bn:00033729n;0; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
time bn:00077270n;0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 
simulation bn:00021496n;1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 
set bn:00070697n;1; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 
output bn:00036821n;1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
information bn:00046705n;1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
tool bn:00077585n;1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 
number bn:00058285n;1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
state transition bn:03348716n;1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 
nature bn:00057017n;1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
triggering bn:00082306v;1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
hierarchical bn:00104156a;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 
orthogonality bn:00059586n;1; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 
main bn:00099598a;0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 
possible bn:00108829a;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
broadcast bn:00013234n;1; 1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 
semantics bn:00070404n;0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 1; 
concept bn:00021547n;1; 1; 1; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 
occurring bn:00085337v;1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 
america bn:00003341n;1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 1; 1; 0; 
achieved bn:00082226v;1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
automata bn:00007371n;1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 
c d bn:00016915n;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
sec bn:00068672n;1; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 
history bn:00044268n;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
effect bn:00021961n;0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
require bn:00091028v;1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 
determinism bn:00026654n;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
simultaneous bn:00099916a;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 
application bn:00005095n;1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
possibility bn:00045632n;1; 1; 1; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 
light bn:00051108n;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
second bn:00095974a;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 1; 0; 
merely bn:00114626r;1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
reg bn:01922794n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
timers bn:00077309n;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
syntax bn:00062118n;1; 1; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 
substates bn:00964536n;1; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 
conditional bn:00100214a;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
defined bn:00086465v;1; 0; 1; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 
formal syntax bn:01042120n;1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
operational semantics bn:02057536n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
definition bn:00025928n;1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 0; 
condition c bn:00675915n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
subset bn:00074971n;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
management bn:00053116n;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
higraphs bn:01691263n;1; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 
finite bn:00102992a;1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
new york bn:00041611n;1; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 1; 0; 
automata theory bn:00152075n;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
entity bn:00031027n;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
types bn:00016413n;0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 
multiple bn:00107028a;0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 1; 1; 0; 
composite bn:00100155a;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
sequence bn:00070574n;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
large number bn:14223782n;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
goal bn:00030721n;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
scenario bn:01190125n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
city bn:03335997n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
workflows bn:00081578n;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
plant bn:00035324n;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
transition state bn:03731398n;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
strategy bn:00069579n;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
police bn:00022026n;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
transducer bn:00077966n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
code bn:00020354n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
current bn:00096401a;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 
traffic light bn:00074441n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
bit bn:00010731n;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 
include bn:00089662v;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
logical value bn:00855623n;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
gate bn:00037487n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
flip-flop bn:00035248n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
summary bn:00075142n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 
autonomous bn:00097830a;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
stateflow bn:03369007n;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 
red light bn:00066676n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
composite states bn:00892979n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
inner bn:00105133a;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
deep bn:00101054a;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
simple bn:00098053a;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 
atomic bn:00097696a;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
interaction diagram bn:02571962n;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
activity diagrams bn:02627321n;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
deterministic finite state automata bn:03499526n;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 
superstate bn:03656095n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
fsa bn:03013778n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
basic bn:00098103a;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
fsms bn:03431506n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
state actions bn:00955439n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
