X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
fichier;0;0;0;0;0.136364;0;0.142857;0;0;0;0;0;0;0;0;0;0;0.25
client;0.1;0;0.285714;0;0.15625;0.2;0;0.1;0;0.285714;0;0.285714;0.24;0;0;0;0;0
base de donnée;0;0;0.322581;0;0;0;0.171429;0.08;0;0.315789;0;0.322581;0.241379;0.333333;0;0.178571;0;0
donnée;0;0;0.30303;0;0;0;0.264706;0;0;0.3;0.142857;0.30303;0.1875;0.428571;0;0.166667;0;0
php;0;0.153846;0;0.214286;0.25;0;0.208333;0;0;0;0;0;0;0;0.4375;0;0;0
code;0;0;0;0.2;0;0;0;0;0.142857;0;0;0;0.117647;0;0.2;0;0;0.25
nombre;0;0;0.206897;0;0.241379;0;0;0;0;0.333333;0;0;0.2;0.272727;0;0.173913;0.111111;0
salaire;0;0;0;0;0;0.25;0;0;0;0.0689655;0;0;0;0;0;0;0;0
site;0.125;0;0.28;0;0;0;0.230769;0;0;0;0.166667;0.28;0;0.258065;0;0;0;0
types;0;0.0869565;0;0;0.290323;0.173913;0;0;0;0.333333;0;0.181818;0;0.243243;0.178571;0.148148;0;0
langage de script;0;0;0;0.130435;0.258065;0;0.310345;0;0;0.205128;0.125;0;0;0.25;0.28;0;0;0
serveur;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0.142857;0;0;0
chaîne;0;0;0;0;0.173913;0;0;0;0;0.166667;0;0;0;0.137931;0;0;0.1;0
helvetica;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0
pouvoir;0;0;0;0;0;0.142857;0;0;0;0;0;0;0;0;0;0;0;0
positionnement;0;0;0.0526316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thomas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231;0;0;0
symfony;0;0;0;0;0;0;0;0;0;0.0357143;0;0;0;0;0;0;0;0
inverse;0;0;0;0;0;0;0;0;0;0.0357143;0;0;0;0;0;0;0;0
info;0;0;0;0;0;0;0;0;0;0.0357143;0;0;0;0;0;0;0;0
realisateur;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0384615;0;0;0;0
généralité;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231;0;0;0
autre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231;0;0;0
