X;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
zones;0;0.00380771;0;0.0192771;0.00634166;0;0;0;0;0;0;0.00363306;0;0;0.00437278;0;0;0
utilisateur;0;0.148171;0.159537;0;0.178498;0.135559;0;0.175186;0.18473;0;0;0.142358;0.180259;0.163333;0.160379;0;0;0.165919
affectation;0.0465558;0;0;0;0.0417922;0.0338093;0.0435789;0.0385369;0;0;0.0561735;0.0308272;0;0;0.0330863;0.0716448;0;0
booléen;0.160406;0.143318;0.154372;0.118133;0.147084;0.163261;0.147359;0.137032;0;0.140476;0.158265;0.164783;0.116943;0;0;0.117733;0.0893801;0
réalité;0.0162025;0.00758653;0;0;0;0.00681576;0;0.0108401;0;0.00690399;0;0;0;0;0.00870748;0;0;0
concatène;0.00410046;0.00190749;0;0;0;0;0;0.00273224;0;0.00173498;0;0;0;0;0;0;0;0
addition;0.0496109;0;0.0301051;0.0923567;0;0.0254362;0;0.0332894;0;0;0;0.0226616;0;0;0.0288;0;0;0.0248301
soustraction;0.026973;0;0.0158501;0.0558087;0;0.0129374;0;0.0184688;0;0;0;0;0;0;0.0151351;0;0;0.0129973
multiplié;0.00205444;0.000954654;0;0;0;0;0;0.00136799;0;0;0;0;0;0;0;0;0;0
modulo;0.0833713;0.0490352;0.0528188;0;0;0.0438165;0.0725987;0.0681312;0;0.0460963;0;0.0505337;0;0;0;0;0;0.050482
égalité;0.0146835;0.00759193;0;0;0;0;0.0121114;0.00982385;0;0;0;0;0.0132723;0.00795334;0;0;0;0
logiques;0.227254;0.285447;0.294792;0;0.252724;0.35612;0.281737;0.28524;0;0.322679;0.202411;0.328817;0;0.278024;0.275971;0.119372;0.101803;0.256198
syntaxe;0.158794;0.126737;0;0;0.147706;0.110088;0.157004;0;0;0.126541;0;0.122982;0.150643;0.137546;0.12572;0;0;0.12982
case;0.066605;0.0385845;0.0459961;0;0;0.0436047;0;0.0535944;0;0;0.0648936;0.0407448;0;0;0.0470465;0;0;0.0436009
associer;0;0.117039;0.142716;0.140449;0;0.120023;0.155934;0.150167;0;0.109438;0;0.118117;0;0.128129;0.137673;0;0;0.131494
personne;0;0.0138987;0.0184651;0;0;0;0;0;0;0;0;0.0121294;0.0252822;0.0152591;0;0;0.0639053;0.015401
prenom;0.0817052;0.0583578;0;0;0;0.0449939;0;0;0.0697991;0.0561658;0;0;0;0.0527101;0.0613292;0.118307;0.129433;0.0555556
structure de contrôle;0.178659;0;0;0.100965;0.182911;0.196584;0.194369;0.186428;0.172308;0.198091;0.149774;0.173921;0;0.172671;0.194421;0;0;0.182066
définition;0.185375;0.245389;0.224031;0;0.225872;0;0.223416;0.220197;0.237575;0.236534;0;0.252275;0.204334;0.270312;0.241844;0;0;0.263862
initialiser;0.0531015;0;0;0;0;0.0350511;0;0.0404138;0;0.0320067;0.0544366;0.0351226;0;0.0314096;0.0362871;0.10999;0;0
dépendre;0.0269058;0.0136599;0.0155351;0;0;0.0122803;0.0223285;0;0;0;0;0.0144079;0;0;0.0159373;0;0;0
méthode post;0.173052;0.149345;0;0;0;0.176074;0.160561;0.153004;0.154242;0.169208;0.162491;0.150614;0;0;0.161433;0.125584;0.118914;0.162765
fermeture;0.0826374;0;0.0595527;0;0;0;0.0726944;0;0.073146;0;0;0.0582147;0.0808734;0.0657829;0.0598269;0;0.127383;0.060743
passwd;0.00102828;0;0;0;0;0;0;0;0;0;0;0;0;0.000534331;0;0;0;0
machine;0;0.0562585;0.0655559;0;0.0843286;0.0497148;0;0;0.0802065;0.05033;0;0.0501723;0;0.0604161;0.0627572;0;0;0
mysql;0;0.237179;0.272891;0.117072;0.248743;0.243958;0.224717;0.257491;0;0.229343;0;0.264726;0.225822;0.266263;0.252706;0;0;0.250892
salaire;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00127877;0
phase;0.00410046;0;0;0;0;0;0;0;0;0.00173498;0;0;0;0.0021339;0.00219118;0;0;0
être utile;0.0298954;0.0141176;0.0172612;0;0;0.012693;0;0.0207914;0;0;0;0.0143885;0;0;0.0167341;0;0;0
boucle while;0.0351734;0;0.0245574;0;0;0.0193807;0;0.0234711;0.0268993;0.0202818;0;0;0;0;0;0;0.0668896;0.0237342
jour;0.0550459;0.0278552;0;0;0.0448499;0.0248642;0;0;0.0418018;0.0271359;0;0.0252436;0;0;0.0318725;0;0;0
euro;0.00410046;0;0;0;0.00318091;0;0;0;0;0.00173498;0;0;0;0;0.00219118;0;0;0
etc;0.0531144;0;0;0;0;0.0242424;0;0.0381328;0;0.0271589;0;0.0264034;0;0.0284311;0.0308101;0;0;0.030303
programmation;0.185999;0.199962;0;0.141375;0;0.213955;0;0.187047;0.213636;0.203061;0.152049;0.187409;0.193575;0.19732;0.212628;0;0;0.20045
site;0;0.0283326;0;0;0.0432638;0.0252926;0;0.0380827;0.0410515;0;0;0;0.0499781;0;0.0318725;0;0;0.0324268
détruire;0.0131646;0;0.00842778;0;0;0.00639522;0;0;0.0104517;0;0;0;0;0;0;0.0311751;0;0.00749465
second;0.0162025;0.00758653;0;0;0;0.00681576;0;0;0;0.00690399;0;0.00723982;0;0;0;0;0;0.00856073
ordinateur;0.00410046;0;0;0;0;0;0;0.00273224;0;0;0;0;0;0;0.00219118;0;0;0.00215401
éducation;0;0.000477555;0;0;0;0;0;0;0;0;0;0;0;0;0.000548697;0;0;0
technologie;0;0.000477555;0;0;0;0.000428725;0;0;0;0;0;0;0;0;0;0;0;0
juin;0;0.00380771;0;0;0;0.00341953;0;0.00544959;0;0;0;0.00363306;0;0.00425872;0;0;0;0
secondaire;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bouton;0;0.0143529;0.0175489;0;0.0241245;0.0131189;0;0;0;0.0130705;0;0.0143853;0.0275147;0;0;0;0;0
simple;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bouton radio;0;0.00190749;0;0;0;0.0017127;0;0;0;0;0.00485732;0;0;0;0.00219118;0;0;0
radio;0;0.0426117;0;0;0.0558824;0.0392724;0;0;0.0590302;0.0417278;0.0597567;0;0.0651438;0;0.0456561;0;0;0.0465296
bouton de réinitialisation;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cocher;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
elements;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
focus;0;0.000477555;0;0;0;0;0;0;0;0.000434311;0;0;0;0;0;0;0;0
fonction choix;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
localisation;0;0.000477555;0;0;0;0;0.000816993;0;0;0;0;0;0;0;0;0;0;0
authentification;0;0.0145951;0.0172612;0;0;0;0;0.0201072;0;0;0;0.0143885;0.0270636;0.0157687;0.0167341;0;0;0
session;0;0.0649437;0.077476;0;0.0947735;0.0674995;0;0;0;0.0648506;0.0792596;0.0635189;0.0963429;0.072812;0.0719118;0;0;0
entités;0;0;0.0361582;0;0;0.0267168;0.049728;0.0419948;0;0;0;0.0283437;0;0.0330835;0.0339433;0;0;0.0333855
étrangères;0;0.000477555;0;0;0;0;0;0;0;0;0;0.000455581;0;0;0;0;0;0
gestion contenu;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phpmyadmin;0;0.0296708;0;0;0.0485769;0.0267168;0;0.0419948;0;0.0270556;0;0.0283437;0;0.0330835;0;0;0;0.0333855
communication;0;0.0124912;0.0152782;0.0523918;0.019081;0;0;0.0171198;0;0;0;0;0;0.0142218;0.0148729;0;0;0
bilan;0;0.000477555;0;0.00245098;0;0;0;0;0;0;0;0;0;0;0;0;0;0
enonce;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
schema;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
schema conceptuel;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
premier;0;0.0131889;0.015544;0.0592255;0;0.0122855;0;0;0;0.0120094;0;0.0125899;0;0;0.0151229;0;0;0
utilisabilité;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
interactifs;0;0.000477555;0;0;0;0.000428725;0;0;0;0;0;0;0;0;0;0;0;0
déterminante;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
véhiculer;0;0.000238834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
côté serveur;0;0.184396;0.209755;0;0.244103;0.166786;0;0.231303;0.235986;0.168592;0;0.164249;0;0.198377;0.200523;0;0;0.199097
langage de script;0;0;0;0;0;0.0017127;0;0;0.00301091;0;0;0.00181984;0;0;0;0.00987654;0;0
illustrer;0;0.000477555;0;0;0;0.000428725;0;0;0;0;0;0;0;0;0;0;0;0
