X;C12;C13;C14;C15;C16;C19;C4;C5;C6;C7;C8;C9
fichier;0;0;0.25;0;0.333333;0;0;0;0;0;0;0.2
php;0;0.25;0.285714;0;0;0;0;0;0;0;0;0
nombre;0.2;0;0.428571;0;0;0.4;0.2;0.4;0;0.2;0.4;0
serveur;0;0;0;0;0.4;0;0;0;0.25;0;0;0
chaîne;0;0;0.285714;0;0;0.2;0;0.2;0;0;0.2;0
pouvoir;0;0;0;0.333333;0;0;0;0;0;0;0;0
