X;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
science;0.162754;0.144712;0.15562;0;0.162252;0;0;0.166667;0.129568;0.197802;0.135048;0.139535;0
computer;0.26215;0.220367;0.194896;0.213084;0.249617;0;0;0.225182;0.155216;0.242254;0.1675;0.240283;0
north-holland;0.00684932;0.00873362;0;0;0;0;0;0;0;0;0;0.00932401;0
statecharts;0.645161;0.505006;0.264739;0.413793;0.599555;0.348165;0.294772;0.254727;0.196885;0.182425;0.211346;0.472747;0.352614
systems;0.445679;0.385942;0.289269;0.377682;0.391626;0.335303;0.249635;0.257669;0;0.217742;0;0.367429;0.298999
david harel;0.03367;0;0;0;0.0361664;0;0;0.052;0.0603015;0.0645161;0.0516432;0;0
applied mathematics;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
mathematics;0.406061;0.337646;0.226387;0.373737;0.400501;0.311307;0.322379;0;0.192126;0;0.25;0.390041;0.344828
weizmann;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
weizmann institute;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
institute;0.00343643;0;0;0;0;0;0;0;0;0;0;0.00468384;0
rehovot;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
israel;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
pnueli;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
december 1984;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
july;0.00343643;0;0;0;0;0;0;0;0;0;0;0.00468384;0
july 1986;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
state;0.157407;0.134545;0.169054;0.15812;0.145396;0;0;0.201807;0;0.269962;0;0.157588;0
state machine;0.645161;0.505006;0.264739;0.413793;0.599555;0.348165;0.294772;0.254727;0.196885;0.182425;0.211346;0.472747;0.352614
diagrams;0.403509;0.354223;0;0.337243;0.414155;0.31433;0.324013;0.168693;0.231959;0;0.247863;0.347765;0.316436
relevant;0.00684932;0.00873362;0;0;0;0.0126183;0;0;0;0;0;0;0
real-time;0.00686106;0;0;0;0;0;0;0;0.0165746;0.0178571;0;0;0
real-time systems;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
communication;0.0675453;0.0696721;0.0928571;0;0.0705467;0;0;0.08;0.09375;0;0;0;0.0724234
communication protocol;0.00343643;0;0;0;0;0;0;0;0;0;0;0.00468384;0
digital control;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
units;0.308101;0.30349;0;0.316949;0.280868;0.291367;0.243043;0.231068;0;0.218415;0;0.290824;0.25784
notion;0.00684932;0.00873362;0;0.0106383;0;0;0;0;0;0;0;0;0
hierarchy;0.00343643;0;0;0;0;0;0;0;0.0111732;0;0;0;0
language;0.215134;0.21366;0;0.217131;0.187786;0.210526;0.214458;0.178841;0.17847;0;0;0.181495;0
structured;0.00343643;0;0;0;0;0;0.00749064;0;0;0;0;0;0
behavior;0.124803;0.120459;0;0.130045;0.118333;0.138107;0;0.172078;0.119565;0.184;0;0;0
enable;0.0136054;0.017316;0;0;0.0146252;0.0249221;0;0;0;0;0;0;0
manageable;0.00343643;0;0;0.00534759;0;0;0;0;0;0;0;0;0
attractive;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
behavioral;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
design methodology;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
methodology;0.026936;0.0297872;0;0;0.0270758;0;0;0.0571429;0;0.0777778;0;0;0
functional decomposition;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
data-flow;0.00684932;0.00873362;0;0;0;0;0;0;0;0;0;0;0.0124611
experience;0.00343643;0;0.00833333;0;0;0;0;0;0;0;0;0;0
particularly;0.00684932;0.00873362;0;0;0;0.0126183;0;0;0;0;0;0;0
complex;0.201158;0.19322;0;0.205426;0.202744;0.192797;0.237981;0;0.196078;0;0.22905;0.209677;0
complex system;0.0462046;0.0517598;0;0;0.0514184;0;0.085034;0;0;0;0.0990991;0;0.0691643
literature;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
system engineering;0.00343643;0;0.00833333;0;0;0;0;0;0;0;0;0;0
engineering;0.0136054;0;0.0325203;0;0;0;0;0;0;0.0465116;0;0.0184758;0
problem;0.0837359;0.0918164;0.133562;0;0;0.112329;0;0;0;0.157658;0;0.102128;0.0991957
reactive systems;0.0752864;0.0684105;0;0;0.0713043;0;0;0.116788;0.0854701;0.147619;0;0.0726496;0
characterized;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
example;0.24058;0.206612;0.22673;0.222642;0.22006;0.219462;0;0.2625;0;0.275362;0;0.223386;0
automobiles;0.0268456;0.0340426;0;0;0.0288288;0;0;0;0;0;0;0.0362812;0.048048
communication networks;0.00343643;0.00438596;0;0;0;0;0;0;0;0;0;0;0
networks;0.0136054;0.017316;0.0325203;0;0;0;0;0;0;0;0;0.0184758;0
computer operating systems;0.00684932;0.00873362;0;0;0;0;0;0.0171674;0;0;0;0;0
missile;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
avionics;0.00172117;0;0;0;0;0;0;0;0;0;0;0;0
