X;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8
gate;0;0;0;0.125;0;0;0;0;0;0;0;0;0
flip-flop;0;0;0;0.125;0;0;0;0;0;0;0;0;0
summary;0;0;0;0;0;0;0.111111;0;0;0;0;0;0
autonomous;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0
stateflow;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
red light;0;0;0;0;0;0;0;0.0769231;0;0;0;0;0
composite states;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
inner;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
deep;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
simple;0;0;0;0;0;0.1;0;0;0;0;0;0;0
atomic;0;0;0;0;0;0.1;0;0;0;0;0;0;0
interaction diagram;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0
activity diagrams;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
deterministic finite state automata;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0
superstate;0;0;0;0;0;0;0;0;0.0714286;0;0;0;0
fsa;0;0;0;0;0;0;0;0;0;0.0666667;0;0;0
basic;0;0;0;0;0;0;0;0;0;0;0.0909091;0;0
fsms;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
state actions;0;0;0;0;0;0;0;0;0;0;0;0;0.0769231
