;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
fichier bn:00021475n;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
client bn:00019764n;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 
base de donnée bn:00025333n;0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 
donnée bn:00025314n;0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 
php bn:01753580n;0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
code bn:00020354n;0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 1; 
nombre bn:00058285n;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 
salaire bn:15928884n;0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
site bn:00047172n;1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 
types bn:00016413n;0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 1; 0; 0; 
langage de script bn:01431715n;0; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 0; 
serveur bn:00044916n;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
chaîne bn:00074685n;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 
helvetica bn:00043646n;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
pouvoir bn:00084451v;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
positionnement bn:00030615n;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
thomas bn:00005240n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
symfony bn:02798620n;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
inverse bn:00056301n;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
info bn:00046698n;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
realisateur bn:00027369n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
généralité bn:00041249n;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
autre bn:00108013a;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
