;C1;C11;C12;C13;C14;C15;C16;C17;C18;C19;C2;C3;C4;C5;C6;C7;C8;C9
page web bn:00080778n;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 0; 
navigateur bn:00013447n;0; 0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
serveur web bn:02705179n;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
fichier bn:00021475n;1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 1; 1; 
client bn:00019764n;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 
base de donnée bn:00025333n;0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 
donnée bn:00025314n;1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 
php bn:01753580n;0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 0; 1; 
javascript bn:00055423n;1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
code bn:00020354n;1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 
texte bn:00076732n;0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 
concerner bn:00083240v;0; 1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 
commentaire bn:00020978n;1; 1; 1; 0; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 
délimiter bn:00086464v;0; 1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 
gras bn:00011848n;1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 
fois bn:00032768n;1; 1; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
lien hypertextes bn:00045513n;1; 1; 0; 1; 0; 1; 0; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
