X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
concept bn:00021547n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333
occurring bn:00085337v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
america bn:00003341n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
achieved bn:00082226v ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
automata bn:00007371n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0.0333333 ; 0
c d bn:00016915n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0
sec bn:00068672n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
history bn:00044268n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0.0666667 ; 0 ; 0 ; 0 ; 0.05
effect bn:00021961n ; 0.05 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0 ; 0 ; 0 ; 0
require bn:00091028v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
determinism bn:00026654n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
simultaneous bn:00099916a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0
application bn:00005095n ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
possibility bn:00045632n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
light bn:00051108n ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0
second bn:00095974a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0
merely bn:00114626r ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
reg bn:01922794n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timers bn:00077309n ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0
syntax bn:00062118n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
substates bn:00964536n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0
conditional bn:00100214a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
defined bn:00086465v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
formal syntax bn:01042120n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
operational semantics bn:02057536n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
definition bn:00025928n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333
condition c bn:00675915n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
subset bn:00074971n ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
management bn:00053116n ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
higraphs bn:01691263n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
finite bn:00102992a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0
new york bn:00041611n ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
automata theory bn:00152075n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0
entity bn:00031027n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
types bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
multiple bn:00107028a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667
composite bn:00100155a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0
sequence bn:00070574n ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
large number bn:14223782n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0
goal bn:00030721n ; 0 ; 0 ; 0.0166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
