Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;13;
0;5;Attributes;0;13;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8;
1;4;Objects;1;4;computer bn:00021464n;
1;4;Attributes;1;4;A2;C3;C5;C7;
2;3;Objects;1;6;statecharts bn:01128895n;
2;3;Attributes;1;6;C1;C2;C4;C5;C6;C8;
3;3;Objects;1;3;systems bn:15125301n;
3;3;Attributes;1;3;A1;A5;C3;
4;2;Objects;1;2;mathematics bn:00053823n;
4;2;Attributes;1;2;A4;C2;
5;4;Objects;1;4;state bn:00023236n;
5;4;Attributes;1;4;A1;A4;A5;C5;
6;2;Objects;1;3;state machine bn:00212740n;
6;2;Attributes;1;3;A4;C1;C7;
7;2;Objects;1;2;communication bn:00021221n;
7;2;Attributes;1;2;A2;C4;
8;3;Objects;1;4;behavior bn:00009657n;
8;3;Attributes;1;4;A5;C1;C3;C4;
9;2;Objects;1;2;problem bn:00048242n;
9;2;Attributes;1;2;A1;C1;
10;3;Objects;1;3;example bn:00032100n;
10;3;Attributes;1;3;A3;C5;C7;
11;3;Objects;1;3;kind bn:00035907n;
11;3;Attributes;1;3;A1;A2;C2;
12;3;Objects;1;3;way bn:00033729n;
12;3;Attributes;1;3;A1;A2;C8;
13;3;Objects;1;4;time bn:00077270n;
13;3;Attributes;1;4;A1;C2;C3;C4;
14;2;Objects;1;2;set bn:00070697n;
14;2;Attributes;1;2;A2;A4;
15;4;Objects;1;4;number bn:00058285n;
15;4;Attributes;1;4;A2;C5;C7;C8;
16;3;Objects;1;3;triggering bn:00082306v;
16;3;Attributes;1;3;A5;C2;C6;
17;3;Objects;1;3;history bn:00044268n;
17;3;Attributes;1;3;C3;C4;C8;
18;3;Objects;1;3;effect bn:00021961n;
18;3;Attributes;1;3;A1;A3;C3;
19;3;Objects;1;3;traffic light bn:00074441n;
19;3;Attributes;1;3;A5;C3;C5;
20;3;Objects;2;3;computer bn:00021464n;number bn:00058285n;
20;3;Attributes;2;3;A2;C5;C7;
21;3;Objects;2;3;statecharts bn:01128895n;diagrams bn:00026817n;
21;3;Attributes;2;3;C4;C6;C8;
22;2;Objects;2;2;statecharts bn:01128895n;time bn:00077270n;
22;2;Attributes;2;2;C2;C4;
23;2;Objects;2;2;statecharts bn:01128895n;number bn:00058285n;
23;2;Attributes;2;2;C5;C8;
24;3;Objects;2;3;statecharts bn:01128895n;state transition bn:03348716n;
24;3;Attributes;2;3;C2;C6;C8;
25;2;Objects;2;2;statecharts bn:01128895n;orthogonality bn:00059586n;
25;2;Attributes;2;2;C4;C5;
26;2;Objects;2;2;statecharts bn:01128895n;concept bn:00021547n;
26;2;Attributes;2;2;C1;C8;
27;3;Objects;2;3;state bn:00023236n;semantics bn:00070404n;
27;3;Attributes;2;3;A1;A5;C5;
28;2;Objects;2;2;state machine bn:00212740n;output bn:00036821n;
28;2;Attributes;2;2;A4;C7;
29;2;Objects;2;2;behavior bn:00009657n;timers bn:00077309n;
29;2;Attributes;2;2;A5;C4;
30;2;Objects;2;2;kind bn:00035907n;way bn:00033729n;
30;2;Attributes;2;2;A1;A2;
31;2;Objects;2;2;kind bn:00035907n;time bn:00077270n;
31;2;Attributes;2;2;A1;C2;
32;2;Objects;2;2;way bn:00033729n;number bn:00058285n;
32;2;Attributes;2;2;A2;C8;
33;2;Objects;3;2;computer bn:00021464n;police bn:00022026n;traffic light bn:00074441n;
33;2;Attributes;3;2;C3;C5;
34;2;Objects;3;2;statecharts bn:01128895n;diagrams bn:00026817n;history bn:00044268n;
34;2;Attributes;3;2;C4;C8;
35;2;Objects;3;2;statecharts bn:01128895n;behavior bn:00009657n;second bn:00095974a;
35;2;Attributes;3;2;C1;C4;
