X ; science bn:00069670n ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; david harel bn:03178978n ; mathematics bn:00053823n ; state bn:00023236n ; state machine bn:00212740n ; diagrams bn:00026817n ; communication bn:00021221n ; units bn:00021497n ; language bn:00049910n ; behavior bn:00009657n ; complex bn:00100148a ; complex system bn:03086504n ; problem bn:00048242n ; reactive systems bn:02824399n ; example bn:00032100n ; automobiles bn:00007309n ; networks bn:00024712n ; kind bn:00035907n ; way bn:00033729n ; time bn:00077270n ; simulation bn:00021496n ; set bn:00070697n ; output bn:00036821n ; information bn:00046705n ; tool bn:00077585n ; number bn:00058285n ; state transition bn:03348716n ; nature bn:00057017n ; triggering bn:00082306v ; hierarchical bn:00104156a ; orthogonality bn:00059586n ; main bn:00099598a ; possible bn:00108829a ; broadcast bn:00013234n ; semantics bn:00070404n ; concept bn:00021547n ; occurring bn:00085337v ; america bn:00003341n ; achieved bn:00082226v ; automata bn:00007371n ; c d bn:00016915n ; sec bn:00068672n ; history bn:00044268n ; effect bn:00021961n ; require bn:00091028v ; determinism bn:00026654n ; simultaneous bn:00099916a ; application bn:00005095n ; possibility bn:00045632n ; light bn:00051108n ; second bn:00095974a ; merely bn:00114626r ; reg bn:01922794n ; timers bn:00077309n ; syntax bn:00062118n ; substates bn:00964536n ; conditional bn:00100214a ; defined bn:00086465v ; formal syntax bn:01042120n ; operational semantics bn:02057536n ; definition bn:00025928n ; condition c bn:00675915n ; subset bn:00074971n ; management bn:00053116n ; higraphs bn:01691263n ; finite bn:00102992a ; new york bn:00041611n ; automata theory bn:00152075n ; entity bn:00031027n ; types bn:00016413n ; multiple bn:00107028a ; composite bn:00100155a ; sequence bn:00070574n ; large number bn:14223782n ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; workflows bn:00081578n ; plant bn:00035324n ; transition state bn:03731398n ; strategy bn:00069579n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; current bn:00096401a ; traffic light bn:00074441n ; bit bn:00010731n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; summary bn:00075142n ; autonomous bn:00097830a ; stateflow bn:03369007n ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; simple bn:00098053a ; atomic bn:00097696a ; interaction diagram bn:02571962n ; activity diagrams bn:02627321n ; deterministic finite state automata bn:03499526n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
science bn:00069670n ; 1 ; 0.268293 ; 0.0909091 ; 0.0188679 ; 0.296875 ; 0.234286 ; 0.0588235 ; 0.512 ; 0.0981595 ; 0.210526 ; 0.0645161 ; 0.0769231 ; 0.0540541 ; 0.0769231 ; 0.1 ; 0.047619 ; 0.172043 ; 0.146789 ; 0.111111 ; 0.0588235 ; 0.0625 ; 0.091954 ; 0.0898876 ; 0.0526316 ; 0.0754717 ; 0.0963855 ; 0.0747664 ; 0.109589 ; 0.181818 ; 0.0689655 ; 0.2 ; 0.0689655 ; 0.0263158 ; 0.352273 ; 0.0434783 ; 0.0769231 ; 0.413333 ; 0.190083 ; 0.111111 ; 0.282353 ; 0.204724 ; 0.0526316 ; 0.2 ; 0.0217391 ; 0.1875 ; 0.0625 ; 0.045977 ; 0.103704 ; 0.0588235 ; 0.09375 ; 0.107383 ; 0.329787 ; 0.025641 ; 0.112 ; 0.0454545 ; 0.03125 ; 0.030303 ; 0.163265 ; 0.164384 ; 0.03125 ; 0.107383 ; 0.0526316 ; 0.03125 ; 0.138728 ; 0.03125 ; 0.0285714 ; 0.0588235 ; 0.25 ; 0.0588235 ; 0.0425532 ; 0.0625 ; 0.0625 ; 0.037037 ; 0.0776699 ; 0.030303 ; 0.0588235 ; 0.0285714 ; 0.0153846 ; 0.03125 ; 0.0153846 ; 0.0625 ; 0.03125 ; 0.0625 ; 0.030303 ; 0.0625 ; 0.0153846 ; 0.0153846 ; 0.0449438 ; 0.0149254 ; 0.0142857 ; 0.0153846 ; 0.0153846 ; 0.0153846 ; 0.0153846 ; 0.0540541 ; 0.0153846 ; 0.0285714 ; 0.03125 ; 0.030303 ; 0.03125 ; 0.03125 ; 0.0142857 ; 0.03125 ; 0.0140845 ; 0.0153846 ; 0.030303 ; 0.0153846 ; 0.0153846 ; 0.0153846 ; 0.0153846 ; 0.0153846
computer bn:00021464n ; 0.268293 ; 1 ; 0.0588235 ; 0.05 ; 0.229167 ; 0.129412 ; 0.0212766 ; 0.153846 ; 0.0544218 ; 0.133333 ; 0.0344828 ; 0.0909091 ; 0.08 ; 0.0909091 ; 0.0666667 ; 0.0322581 ; 0.0493827 ; 0.0860215 ; 0.0769231 ; 0.0909091 ; 0.1 ; 0.126984 ; 0.0967742 ; 0.0769231 ; 0.097561 ; 0.0634921 ; 0.0963855 ; 0.0615385 ; 0.675 ; 0.190476 ; 0.285714 ; 0.0869565 ; 0.0384615 ; 0.091954 ; 0.0588235 ; 0.0909091 ; 0.108108 ; 0.0714286 ; 0.133333 ; 0.370968 ; 0.121739 ; 0.0769231 ; 0.125 ; 0.0606061 ; 0.130435 ; 0.047619 ; 0.0634921 ; 0.27551 ; 0.0434783 ; 0.15 ; 0.128 ; 0.188235 ; 0.0769231 ; 0.138614 ; 0.0625 ; 0.05 ; 0.047619 ; 0.0465116 ; 0.109091 ; 0.05 ; 0.128 ; 0.0769231 ; 0.05 ; 0.153333 ; 0.05 ; 0.0909091 ; 0.0909091 ; 0.0769231 ; 0.0909091 ; 0.0571429 ; 0.1 ; 0.047619 ; 0.047619 ; 0.101266 ; 0.0232558 ; 0.0434783 ; 0.0212766 ; 0.0243902 ; 0.05 ; 0.0243902 ; 0.1 ; 0.05 ; 0.1 ; 0.047619 ; 0.1 ; 0.0243902 ; 0.05 ; 0.131148 ; 0.047619 ; 0.0217391 ; 0.05 ; 0.05 ; 0.0243902 ; 0.0243902 ; 0.173913 ; 0.0243902 ; 0.0434783 ; 0.05 ; 0.047619 ; 0.05 ; 0.05 ; 0.0217391 ; 0.05 ; 0.0212766 ; 0.0243902 ; 0.0232558 ; 0.0243902 ; 0.0243902 ; 0.0243902 ; 0.0243902 ; 0.0243902
statecharts bn:01128895n ; 0.0909091 ; 0.0588235 ; 1 ; 0.0555556 ; 0.0851064 ; 0.0454545 ; 0.25 ; 0.0536913 ; 0.278261 ; 0.0714286 ; 0.16 ; 0.133333 ; 0.0952381 ; 0.133333 ; 0.0769231 ; 0.0769231 ; 0.262295 ; 0.207792 ; 0.2 ; 0.0526316 ; 0.0285714 ; 0.145455 ; 0.109589 ; 0.0434783 ; 0.0512821 ; 0.0727273 ; 0.106667 ; 0.140351 ; 0.0727273 ; 0.0952381 ; 0.142857 ; 0.0952381 ; 0.0454545 ; 0.101266 ; 0.333333 ; 0.133333 ; 0.121212 ; 0.0769231 ; 0.142857 ; 0.115942 ; 0.359551 ; 0.0909091 ; 0.333333 ; 0.0689655 ; 0.1 ; 0.0588235 ; 0.156863 ; 0.0733945 ; 0.111111 ; 0.0555556 ; 0.136752 ; 0.207792 ; 0.0909091 ; 0.175824 ; 0.153846 ; 0.030303 ; 0.0285714 ; 0.108108 ; 0.0816327 ; 0.030303 ; 0.136752 ; 0.2 ; 0.030303 ; 0.107383 ; 0.030303 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.137931 ; 0.0588235 ; 0.125 ; 0.25 ; 0.253968 ; 0.0588235 ; 0.111111 ; 0.111111 ; 0.030303 ; 0.030303 ; 0.0625 ; 0.0588235 ; 0.030303 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0625 ; 0.0625 ; 0.150943 ; 0.125 ; 0.0540541 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0454545 ; 0.030303 ; 0.111111 ; 0.0625 ; 0.0588235 ; 0.0625 ; 0.0625 ; 0.0540541 ; 0.030303 ; 0.0526316 ; 0.030303 ; 0.125 ; 0.030303 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625
systems bn:15125301n ; 0.0188679 ; 0.05 ; 0.0555556 ; 1 ; 0.016129 ; 0.0828729 ; 0.04 ; 0.0496894 ; 0.0529801 ; 0.0588235 ; 0.114155 ; 0.104478 ; 0.0357143 ; 0.104478 ; 0.0625 ; 0.133333 ; 0.0229885 ; 0.039604 ; 0.0344828 ; 0.0833333 ; 0.0434783 ; 0.119403 ; 0.191781 ; 0.0714286 ; 0.175 ; 0.0597015 ; 0.1875 ; 0.126984 ; 0.0597015 ; 0.181818 ; 0.0555556 ; 0.168539 ; 0.137255 ; 0.0421053 ; 0.117647 ; 0.104478 ; 0.0238095 ; 0.137615 ; 0.12 ; 0.0470588 ; 0.0310078 ; 0.0714286 ; 0.027027 ; 0.254237 ; 0.0181818 ; 0.0212766 ; 0.126984 ; 0.131579 ; 0.04 ; 0.0204082 ; 0.124031 ; 0.039604 ; 0.153846 ; 0.0720721 ; 0.125 ; 0.0222222 ; 0.0434783 ; 0.0444444 ; 0.031746 ; 0.0222222 ; 0.124031 ; 0.0714286 ; 0.0222222 ; 0.0993789 ; 0.0222222 ; 0.0833333 ; 0.04 ; 0.0169492 ; 0.04 ; 0.114286 ; 0.0212766 ; 0.0212766 ; 0.179487 ; 0.0963855 ; 0.0434783 ; 0.0833333 ; 0.0833333 ; 0.0454545 ; 0.0222222 ; 0.0454545 ; 0.0434783 ; 0.0454545 ; 0.0434783 ; 0.0434783 ; 0.0434783 ; 0.0454545 ; 0.0454545 ; 0.123077 ; 0.0909091 ; 0.159091 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0740741 ; 0.0222222 ; 0.04 ; 0.0222222 ; 0.0434783 ; 0.0222222 ; 0.0222222 ; 0.0851064 ; 0.0222222 ; 0.181818 ; 0.0454545 ; 0.0434783 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545
david harel bn:03178978n ; 0.296875 ; 0.229167 ; 0.0851064 ; 0.016129 ; 1 ; 0.06875 ; 0.08 ; 0.152 ; 0.0634921 ; 0.205128 ; 0.0379147 ; 0.0512821 ; 0.0645161 ; 0.0512821 ; 0.102564 ; 0.0238095 ; 0.142857 ; 0.111111 ; 0.129032 ; 0.08 ; 0.0952381 ; 0.0869565 ; 0.0275862 ; 0.0606061 ; 0.0615385 ; 0.0952381 ; 0.0294118 ; 0.0353982 ; 0.179487 ; 0.0533333 ; 0.0851064 ; 0.025974 ; 0.0645161 ; 0.121212 ; 0.0408163 ; 0.0512821 ; 0.150943 ; 0.076087 ; 0.036036 ; 0.103448 ; 0.136842 ; 0.0606061 ; 0.186047 ; 0.0425532 ; 0.24 ; 0.0952381 ; 0.0454545 ; 0.0721649 ; 0.173913 ; 0.315789 ; 0.0714286 ; 0.111111 ; 0.0606061 ; 0.0804598 ; 0.0444444 ; 0.105263 ; 0.0952381 ; 0.131148 ; 0.176471 ; 0.105263 ; 0.0714286 ; 0.0606061 ; 0.105263 ; 0.0410959 ; 0.105263 ; 0.08 ; 0.173913 ; 0.296296 ; 0.08 ; 0.0816327 ; 0.210526 ; 0.0952381 ; 0.0307692 ; 0.0645161 ; 0.0454545 ; 0.0384615 ; 0.0384615 ; 0.05 ; 0.105263 ; 0.05 ; 0.0952381 ; 0.05 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.05 ; 0.05 ; 0.0909091 ; 0.0454545 ; 0.04 ; 0.05 ; 0.05 ; 0.05 ; 0.05 ; 0.137931 ; 0.05 ; 0.08 ; 0.105263 ; 0.0952381 ; 0.105263 ; 0.105263 ; 0.04 ; 0.105263 ; 0.0384615 ; 0.05 ; 0.0952381 ; 0.05 ; 0.05 ; 0.05 ; 0.05 ; 0.05
mathematics bn:00053823n ; 0.234286 ; 0.129412 ; 0.0454545 ; 0.0828729 ; 0.06875 ; 1 ; 0.025641 ; 0.331731 ; 0.13617 ; 0.097561 ; 0.189189 ; 0.174312 ; 0.0246914 ; 0.174312 ; 0.1 ; 0.1 ; 0.0883978 ; 0.0812183 ; 0.105263 ; 0.0526316 ; 0.0263158 ; 0.0457143 ; 0.382353 ; 0.05 ; 0.174419 ; 0.0981595 ; 0.0855615 ; 0.131222 ; 0.0848485 ; 0.164835 ; 0.0952381 ; 0.177778 ; 0.0506329 ; 0.182857 ; 0.0952381 ; 0.174312 ; 0.0898876 ; 0.303371 ; 0.148148 ; 0.138728 ; 0.131455 ; 0.05 ; 0.0454545 ; 0.0963855 ; 0.0789474 ; 0.0263158 ; 0.0467836 ; 0.260638 ; 0.025641 ; 0.0394737 ; 0.134529 ; 0.0812183 ; 0.05 ; 0.140704 ; 0.0465116 ; 0.0131579 ; 0.0263158 ; 0.16763 ; 0.0745342 ; 0.0131579 ; 0.134529 ; 0.05 ; 0.0131579 ; 0.319444 ; 0.0131579 ; 0.025641 ; 0.0526316 ; 0.05 ; 0.025641 ; 0.021978 ; 0.0263158 ; 0.0263158 ; 0.0869565 ; 0.150289 ; 0.0263158 ; 0.0526316 ; 0.0526316 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0263158 ; 0.0131579 ; 0.0263158 ; 0.012987 ; 0.0263158 ; 0.0131579 ; 0.00653595 ; 0.0969697 ; 0.012987 ; 0.0258065 ; 0.00653595 ; 0.00653595 ; 0.0131579 ; 0.0131579 ; 0.0440252 ; 0.00653595 ; 0.025641 ; 0.0131579 ; 0.0263158 ; 0.0131579 ; 0.0131579 ; 0.0127389 ; 0.0131579 ; 0.025641 ; 0.00653595 ; 0.012987 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0131579
state bn:00023236n ; 0.0588235 ; 0.0212766 ; 0.25 ; 0.04 ; 0.08 ; 0.025641 ; 1 ; 0.0310078 ; 0.0695652 ; 0.0588235 ; 0.04 ; 0.037037 ; 0.1 ; 0.037037 ; 0.0666667 ; 0.142857 ; 0.177778 ; 0.0615385 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.0540541 ; 0.0298507 ; 0.0909091 ; 0.0357143 ; 0.0606061 ; 0.0727273 ; 0.0816327 ; 0.0294118 ; 0.030303 ; 0.0526316 ; 0.0625 ; 0.1 ; 0.0677966 ; 0.111111 ; 0.037037 ; 0.0869565 ; 0.1 ; 0.04 ; 0.0392157 ; 0.0898876 ; 0.0909091 ; 0.111111 ; 0.0555556 ; 0.111111 ; 0.2 ; 0.0606061 ; 0.021978 ; 0.333333 ; 0.0769231 ; 0.0380952 ; 0.0615385 ; 0.0909091 ; 0.0506329 ; 0.125 ; 0.111111 ; 0.0909091 ; 0.0740741 ; 0.0740741 ; 0.111111 ; 0.0380952 ; 0.2 ; 0.111111 ; 0.0291971 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.105263 ; 0.0909091 ; 0.2 ; 0.0769231 ; 0.0784314 ; 0.2 ; 0.333333 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.25 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.0571429 ; 0.2 ; 0.153846 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.047619 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.5 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.25
state machine bn:00212740n ; 0.512 ; 0.153846 ; 0.0536913 ; 0.0496894 ; 0.152 ; 0.331731 ; 0.0310078 ; 1 ; 0.0714286 ; 0.224 ; 0.144366 ; 0.100962 ; 0.0296296 ; 0.100962 ; 0.192 ; 0.0567376 ; 0.103896 ; 0.0941176 ; 0.0601504 ; 0.0310078 ; 0.032 ; 0.0540541 ; 0.143498 ; 0.0291971 ; 0.09375 ; 0.216 ; 0.0931677 ; 0.0772947 ; 0.101449 ; 0.0451977 ; 0.113475 ; 0.0946746 ; 0.0296296 ; 0.44 ; 0.0261438 ; 0.100962 ; 0.227941 ; 0.227545 ; 0.151042 ; 0.164384 ; 0.138298 ; 0.0601504 ; 0.113475 ; 0.0264901 ; 0.096 ; 0.032 ; 0.101449 ; 0.147541 ; 0.0310078 ; 0.048 ; 0.0761905 ; 0.2 ; 0.0143885 ; 0.136364 ; 0.0551724 ; 0.016 ; 0.015748 ; 0.190476 ; 0.168 ; 0.016 ; 0.0761905 ; 0.0291971 ; 0.016 ; 0.102564 ; 0.016 ; 0.0152672 ; 0.0310078 ; 0.128 ; 0.0310078 ; 0.0460526 ; 0.032 ; 0.032 ; 0.0484848 ; 0.0487805 ; 0.032 ; 0.0310078 ; 0.0152672 ; 0.00793651 ; 0.016 ; 0.00793651 ; 0.032 ; 0.016 ; 0.032 ; 0.032 ; 0.032 ; 0.00793651 ; 0.00793651 ; 0.0547945 ; 0.0078125 ; 0.0153846 ; 0.00793651 ; 0.00793651 ; 0.00793651 ; 0.00793651 ; 0.0530303 ; 0.00793651 ; 0.0152672 ; 0.016 ; 0.032 ; 0.016 ; 0.016 ; 0.0153846 ; 0.016 ; 0.0310078 ; 0.016 ; 0.015748 ; 0.016 ; 0.00793651 ; 0.00793651 ; 0.00793651 ; 0.00793651
diagrams bn:00026817n ; 0.0981595 ; 0.0544218 ; 0.278261 ; 0.0529801 ; 0.0634921 ; 0.13617 ; 0.0695652 ; 0.0714286 ; 1 ; 0.0592593 ; 0.575 ; 0.412903 ; 0.0661157 ; 0.412903 ; 0.0296296 ; 0.0296296 ; 0.25 ; 0.530435 ; 0.13913 ; 0.0336134 ; 0.00847458 ; 0.123077 ; 0.150235 ; 0.0314961 ; 0.107383 ; 0.0597015 ; 0.106667 ; 0.383117 ; 0.0597015 ; 0.223776 ; 0.122137 ; 0.100629 ; 0.0661157 ; 0.103896 ; 0.278261 ; 0.412903 ; 0.113475 ; 0.0893855 ; 0.178771 ; 0.111111 ; 0.457143 ; 0.0650407 ; 0.278261 ; 0.124031 ; 0.0672269 ; 0.0347826 ; 0.0597015 ; 0.0869565 ; 0.0695652 ; 0.034188 ; 0.375796 ; 0.222222 ; 0.13913 ; 0.202532 ; 0.125984 ; 0.0173913 ; 0.0347826 ; 0.231343 ; 0.0625 ; 0.0173913 ; 0.375796 ; 0.13913 ; 0.0173913 ; 0.347826 ; 0.0173913 ; 0.0695652 ; 0.0695652 ; 0.13913 ; 0.0695652 ; 0.120301 ; 0.0347826 ; 0.0347826 ; 0.244275 ; 0.246154 ; 0.017094 ; 0.0336134 ; 0.0695652 ; 0.0173913 ; 0.00862069 ; 0.0173913 ; 0.017094 ; 0.00862069 ; 0.017094 ; 0.017094 ; 0.017094 ; 0.0173913 ; 0.0173913 ; 0.0588235 ; 0.0347826 ; 0.0338983 ; 0.0173913 ; 0.0173913 ; 0.0173913 ; 0.0173913 ; 0.015748 ; 0.00862069 ; 0.0336134 ; 0.0173913 ; 0.017094 ; 0.0173913 ; 0.0173913 ; 0.0166667 ; 0.00862069 ; 0.0165289 ; 0.00862069 ; 0.0347826 ; 0.00862069 ; 0.0173913 ; 0.0173913 ; 0.0173913 ; 0.0173913
communication bn:00021221n ; 0.210526 ; 0.133333 ; 0.0714286 ; 0.0588235 ; 0.205128 ; 0.097561 ; 0.0588235 ; 0.224 ; 0.0592593 ; 1 ; 0.0654206 ; 0.03125 ; 0.05 ; 0.03125 ; 0.0833333 ; 0.0833333 ; 0.123077 ; 0.0987654 ; 0.1 ; 0.125 ; 0.0666667 ; 0.156863 ; 0.0533333 ; 0.1 ; 0.114286 ; 0.170213 ; 0.0533333 ; 0.0677966 ; 0.170213 ; 0.1 ; 0.153846 ; 0.1 ; 0.05 ; 0.509091 ; 0.0344828 ; 0.03125 ; 0.296296 ; 0.08 ; 0.0689655 ; 0.123077 ; 0.0733945 ; 0.1 ; 0.153846 ; 0.0740741 ; 0.111111 ; 0.0666667 ; 0.0784314 ; 0.164948 ; 0.125 ; 0.133333 ; 0.141593 ; 0.219178 ; 0.047619 ; 0.040404 ; 0.037037 ; 0.0714286 ; 0.0666667 ; 0.21875 ; 0.0888889 ; 0.0714286 ; 0.141593 ; 0.047619 ; 0.0714286 ; 0.0522876 ; 0.0714286 ; 0.0588235 ; 0.125 ; 0.222222 ; 0.0588235 ; 0.0689655 ; 0.142857 ; 0.0666667 ; 0.027027 ; 0.0273973 ; 0.0666667 ; 0.0588235 ; 0.0285714 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.142857 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.0344828 ; 0.0344828 ; 0.0754717 ; 0.0322581 ; 0.0294118 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.05 ; 0.0344828 ; 0.0588235 ; 0.0714286 ; 0.142857 ; 0.0714286 ; 0.0714286 ; 0.0294118 ; 0.0344828 ; 0.0588235 ; 0.0344828 ; 0.0666667 ; 0.0714286 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.0344828
