X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
science bn:00069670n ; 0.115684 ; 0.0867631 ; 0.0600667 ; 0 ; 0.10901 ; 0 ; 0 ; 0.0622914 ; 0.0433815 ; 0.0600667 ; 0.0467186 ; 0.080089 ; 0
computer bn:00021464n ; 0.197998 ; 0.14683 ; 0.0934372 ; 0.126808 ; 0.181313 ; 0 ; 0 ; 0.103448 ; 0.0678532 ; 0.0956618 ; 0.0745273 ; 0.151279 ; 0
north-holland bn:03160161n ; 0.00444939 ; 0.00444939 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00444939 ; 0
statecharts bn:01128895n ; 0.645161 ; 0.505006 ; 0.264739 ; 0.413793 ; 0.599555 ; 0.348165 ; 0.294772 ; 0.254727 ; 0.196885 ; 0.182425 ; 0.211346 ; 0.472747 ; 0.352614
systems bn:15125301n ; 0.401557 ; 0.323693 ; 0.206897 ; 0.29366 ; 0.353726 ; 0.252503 ; 0.190211 ; 0.186874 ; 0 ; 0.150167 ; 0 ; 0.303671 ; 0.232481
david harel bn:03178978n ; 0.0222469 ; 0 ; 0 ; 0 ; 0.0222469 ; 0 ; 0 ; 0.0144605 ; 0.0133482 ; 0.0133482 ; 0.0122358 ; 0 ; 0
applied mathematics bn:00005103n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
mathematics bn:00053823n ; 0.372636 ; 0.290323 ; 0.167964 ; 0.288098 ; 0.355951 ; 0.235818 ; 0.229143 ; 0 ; 0.135706 ; 0 ; 0.171301 ; 0.313682 ; 0.25584
weizmann bn:00017485n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
weizmann institute bn:03173130n ; 0.00222469 ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
institute bn:00046952n ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00222469 ; 0
rehovot bn:02588387n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
israel bn:00047679n ; 0.00222469 ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
pnueli bn:02432625n ; 0.00222469 ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
december 1984 bn:02815569n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
july bn:00048548n ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00222469 ; 0
july 1986 bn:02831635n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
state bn:00023236n ; 0.113459 ; 0.0823137 ; 0.0656285 ; 0.0823137 ; 0.100111 ; 0 ; 0 ; 0.0745273 ; 0 ; 0.0789766 ; 0 ; 0.0901001 ; 0
state machine bn:00212740n ; 0.645161 ; 0.505006 ; 0.264739 ; 0.413793 ; 0.599555 ; 0.348165 ; 0.294772 ; 0.254727 ; 0.196885 ; 0.182425 ; 0.211346 ; 0.472747 ; 0.352614
diagrams bn:00026817n ; 0.358176 ; 0.28921 ; 0 ; 0.25584 ; 0.351502 ; 0.226919 ; 0.219132 ; 0.123471 ; 0.150167 ; 0 ; 0.16129 ; 0.276974 ; 0.229143
relevant bn:00109659a ; 0.00444939 ; 0.00444939 ; 0 ; 0 ; 0 ; 0.00444939 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
real-time bn:00109500a ; 0.00444939 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00333704 ; 0.00333704 ; 0 ; 0 ; 0
real-time systems bn:01927979n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
communication bn:00021221n ; 0.0456062 ; 0.0378198 ; 0.028921 ; 0 ; 0.0444939 ; 0 ; 0 ; 0.0244716 ; 0.0233593 ; 0 ; 0 ; 0 ; 0.028921
communication protocol bn:00021227n ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00222469 ; 0
digital control bn:03371928n ; 0.00111235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
units bn:00021497n ; 0.258065 ; 0.222469 ; 0 ; 0.208009 ; 0.230256 ; 0.1802 ; 0.145717 ; 0.132369 ; 0 ; 0.113459 ; 0 ; 0.208009 ; 0.164627
notion bn:00058174n ; 0.00444939 ; 0.00444939 ; 0 ; 0.00444939 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
hierarchy bn:00044017n ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00222469 ; 0 ; 0 ; 0 ; 0
language bn:00049910n ; 0.16129 ; 0.135706 ; 0 ; 0.121246 ; 0.136819 ; 0.106785 ; 0.0989989 ; 0.0789766 ; 0.0700779 ; 0 ; 0 ; 0.113459 ; 0
structured bn:00094491v ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
behavior bn:00009657n ; 0.0878754 ; 0.0700779 ; 0 ; 0.0645161 ; 0.0789766 ; 0.0600667 ; 0 ; 0.0589544 ; 0.0367075 ; 0.051168 ; 0 ; 0 ; 0
enable bn:00087587v ; 0.00889878 ; 0.00889878 ; 0 ; 0 ; 0.00889878 ; 0.00889878 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
manageable bn:00096274a ; 0.00222469 ; 0 ; 0 ; 0.00222469 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
