X ; A1 ; A2 ; A3 ; A4 ; C3 ; C4 ; C5 ; C7
statecharts bn:01128895n ; 0 ; 0.3 ; 0 ; 0.375 ; 0 ; 0 ; 0 ; 0.444444
state bn:00023236n ; 0 ; 0.375 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0.375
kind bn:00035907n ; 0 ; 0 ; 0.5 ; 0 ; 0 ; 0.25 ; 0 ; 0
history bn:00044268n ; 0.25 ; 0.285714 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
police bn:00022026n ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0.333333 ; 0 ; 0 ; 0 ; 0.25
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.333333 ; 0
