X ; science bn:00069670n ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; state bn:00023236n ; state machine bn:00212740n ; diagrams bn:00026817n ; communication bn:00021221n ; behavior bn:00009657n ; problem bn:00048242n ; example bn:00032100n ; networks bn:00024712n ; kind bn:00035907n ; way bn:00033729n ; time bn:00077270n ; simulation bn:00021496n ; set bn:00070697n ; output bn:00036821n ; number bn:00058285n ; state transition bn:03348716n ; triggering bn:00082306v ; orthogonality bn:00059586n ; semantics bn:00070404n ; concept bn:00021547n ; automata bn:00007371n ; history bn:00044268n ; effect bn:00021961n ; determinism bn:00026654n ; simultaneous bn:00099916a ; light bn:00051108n ; second bn:00095974a ; reg bn:01922794n ; timers bn:00077309n ; substates bn:00964536n ; conditional bn:00100214a ; operational semantics bn:02057536n ; condition c bn:00675915n ; subset bn:00074971n ; management bn:00053116n ; higraphs bn:01691263n ; finite bn:00102992a ; automata theory bn:00152075n ; entity bn:00031027n ; composite bn:00100155a ; sequence bn:00070574n ; large number bn:14223782n ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; workflows bn:00081578n ; plant bn:00035324n ; transition state bn:03731398n ; strategy bn:00069579n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; traffic light bn:00074441n ; bit bn:00010731n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; autonomous bn:00097830a ; stateflow bn:03369007n ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; simple bn:00098053a ; atomic bn:00097696a ; interaction diagram bn:02571962n ; activity diagrams bn:02627321n ; deterministic finite state automata bn:03499526n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
example bn:00032100n ; 0.205882 ; 0.131148 ; 0.163265 ; 0.0555556 ; 0.0888889 ; 0.162791 ; 0.440678 ; 0.142857 ; 0.177778 ; 0.0338983 ; 1 ; 0.0425532 ; 0.0227273 ; 0.264151 ; 0.0208333 ; 0.0384615 ; 0.115942 ; 0.140351 ; 0.145455 ; 0.210526 ; 0.106667 ; 0.202899 ; 0.102564 ; 0.188235 ; 0.658537 ; 0.097561 ; 0.142857 ; 0.0888889 ; 0.0930233 ; 0.163265 ; 0.231884 ; 0.0487805 ; 0.097561 ; 0.156863 ; 0.0487805 ; 0.0487805 ; 0.0487805 ; 0.0888889 ; 0.0888889 ; 0.195122 ; 0.195122 ; 0.097561 ; 0.097561 ; 0.0465116 ; 0.0425532 ; 0.0888889 ; 0.0487805 ; 0.0238095 ; 0.0238095 ; 0.0465116 ; 0.0238095 ; 0.0465116 ; 0.0465116 ; 0.0238095 ; 0.0238095 ; 0.0487805 ; 0.0465116 ; 0.0434783 ; 0.0487805 ; 0.0487805 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0434783 ; 0.0487805 ; 0.0465116 ; 0.0487805 ; 0.0487805 ; 0.0212766 ; 0.0238095 ; 0.0208333 ; 0.0238095 ; 0.0465116 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0238095
networks bn:00024712n ; 0.0888889 ; 0.125 ; 0.0909091 ; 0.102564 ; 0.142857 ; 0.0634921 ; 0.0833333 ; 0.148148 ; 0.111111 ; 0.166667 ; 0.0425532 ; 1 ; 0.2 ; 0.0625 ; 0.333333 ; 0.615385 ; 0.222222 ; 0.0666667 ; 0.153846 ; 0.156863 ; 0.190476 ; 0.0869565 ; 0.0816327 ; 0.133333 ; 0.0606061 ; 0.2 ; 0.0333333 ; 0.333333 ; 0.166667 ; 0.2 ; 0.0833333 ; 0.25 ; 0.2 ; 0.0833333 ; 0.25 ; 0.25 ; 0.25 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.333333 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2 ; 0.25 ; 0.2 ; 0.0909091 ; 0.25 ; 0.25 ; 0.111111 ; 0.2 ; 0.153846 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.2 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.25
kind bn:00035907n ; 0.097561 ; 0.142857 ; 0.0526316 ; 0.0540541 ; 0.0909091 ; 0.0677966 ; 0.0212766 ; 0.08 ; 0.0666667 ; 0.0909091 ; 0.0227273 ; 0.2 ; 1 ; 0.0714286 ; 0.2 ; 0.133333 ; 0.0526316 ; 0.037037 ; 0.0833333 ; 0.0377358 ; 0.0454545 ; 0.0454545 ; 0.0888889 ; 0.0322581 ; 0.0333333 ; 0.142857 ; 0.0384615 ; 0.0909091 ; 0.25 ; 0.0526316 ; 0.0212766 ; 0.2 ; 0.142857 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
way bn:00033729n ; 0.135593 ; 0.173913 ; 0.105263 ; 0.150943 ; 0.0625 ; 0.103896 ; 0.25 ; 0.195122 ; 0.0555556 ; 0.0454545 ; 0.264151 ; 0.0625 ; 0.0714286 ; 1 ; 0.0625 ; 0.0540541 ; 0.148148 ; 0.0416667 ; 0.2 ; 0.262295 ; 0.0625 ; 0.133333 ; 0.126984 ; 0.102564 ; 0.177778 ; 0.0344828 ; 0.0888889 ; 0.0625 ; 0.0666667 ; 0.105263 ; 0.0606061 ; 0.037037 ; 0.0714286 ; 0.047619 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.0714286 ; 0.0714286 ; 0.0344828 ; 0.0625 ; 0.0625 ; 0.0769231 ; 0.037037 ; 0.037037 ; 0.153846 ; 0.0769231 ; 0.153846 ; 0.0714286 ; 0.0769231 ; 0.037037 ; 0.0769231 ; 0.0714286 ; 0.0645161 ; 0.0769231 ; 0.0769231 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.0645161 ; 0.0769231 ; 0.0714286 ; 0.0769231 ; 0.0769231 ; 0.03125 ; 0.037037 ; 0.030303 ; 0.037037 ; 0.0714286 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.037037
time bn:00077270n ; 0.0425532 ; 0.0588235 ; 0.0909091 ; 0.228571 ; 0.142857 ; 0.0634921 ; 0.04 ; 0.148148 ; 0.0526316 ; 0.4 ; 0.0208333 ; 0.333333 ; 0.2 ; 0.0625 ; 1 ; 0.235294 ; 0.1 ; 0.0666667 ; 0.0714286 ; 0.0727273 ; 0.190476 ; 0.0869565 ; 0.177778 ; 0.0625 ; 0.0294118 ; 0.0909091 ; 0.0689655 ; 0.142857 ; 0.0769231 ; 0.0909091 ; 0.04 ; 0.111111 ; 0.0909091 ; 0.04 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.0666667 ; 0.0666667 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.333333 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2 ; 0.25 ; 0.2 ; 0.0909091 ; 0.25 ; 0.25 ; 0.111111 ; 0.2 ; 0.153846 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.25
simulation bn:00021496n ; 0.08 ; 0.108108 ; 0.0740741 ; 0.0909091 ; 0.105263 ; 0.0588235 ; 0.0754717 ; 0.125 ; 0.190476 ; 0.269231 ; 0.0384615 ; 0.615385 ; 0.133333 ; 0.0540541 ; 0.235294 ; 1 ; 0.195122 ; 0.0571429 ; 0.129032 ; 0.142857 ; 0.170213 ; 0.0784314 ; 0.0740741 ; 0.123077 ; 0.0526316 ; 0.133333 ; 0.0285714 ; 0.235294 ; 0.117647 ; 0.16 ; 0.0754717 ; 0.153846 ; 0.133333 ; 0.0689655 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.235294 ; 0.235294 ; 0.105263 ; 0.105263 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.235294 ; 0.105263 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.133333 ; 0.153846 ; 0.133333 ; 0.0625 ; 0.153846 ; 0.153846 ; 0.0714286 ; 0.133333 ; 0.111111 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.25 ; 0.0714286 ; 0.0625 ; 0.0714286 ; 0.0714286 ; 0.25 ; 0.0714286 ; 0.105263 ; 0.0714286 ; 0.133333 ; 0.0714286 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.153846
set bn:00070697n ; 0.115942 ; 0.142857 ; 0.04 ; 0.224138 ; 0.047619 ; 0.091954 ; 0.230769 ; 0.156863 ; 0.0434783 ; 0.0769231 ; 0.115942 ; 0.222222 ; 0.0526316 ; 0.148148 ; 0.1 ; 0.195122 ; 1 ; 0.132075 ; 0.16 ; 0.42623 ; 0.114286 ; 0.114286 ; 0.109589 ; 0.297297 ; 0.0677966 ; 0.0526316 ; 0.0727273 ; 0.1 ; 0.105263 ; 0.181818 ; 0.19403 ; 0.0555556 ; 0.111111 ; 0.148936 ; 0.0555556 ; 0.0555556 ; 0.0555556 ; 0.1 ; 0.222222 ; 0.1 ; 0.047619 ; 0.111111 ; 0.0526316 ; 0.025641 ; 0.1 ; 0.1 ; 0.0555556 ; 0.027027 ; 0.0555556 ; 0.111111 ; 0.0555556 ; 0.111111 ; 0.111111 ; 0.0555556 ; 0.0555556 ; 0.027027 ; 0.0526316 ; 0.194444 ; 0.027027 ; 0.027027 ; 0.0555556 ; 0.0555556 ; 0.027027 ; 0.102564 ; 0.0555556 ; 0.0526316 ; 0.0555556 ; 0.0555556 ; 0.102564 ; 0.027027 ; 0.1 ; 0.0555556 ; 0.0526316 ; 0.027027 ; 0.0555556 ; 0.0555556 ; 0.0555556 ; 0.0555556
output bn:00036821n ; 0.140351 ; 0.0833333 ; 0.0526316 ; 0.0727273 ; 0.0666667 ; 0.238806 ; 0.0625 ; 0.205128 ; 0.125 ; 0.1 ; 0.140351 ; 0.0666667 ; 0.037037 ; 0.0416667 ; 0.0666667 ; 0.0571429 ; 0.132075 ; 1 ; 0.0952381 ; 0.056338 ; 0.137931 ; 0.32 ; 0.0615385 ; 0.183099 ; 0.186047 ; 0.166667 ; 0.382353 ; 0.0666667 ; 0.153846 ; 0.0526316 ; 0.236364 ; 0.0833333 ; 0.0769231 ; 0.448276 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.166667 ; 0.166667 ; 0.166667 ; 0.0666667 ; 0.0666667 ; 0.04 ; 0.04 ; 0.04 ; 0.0769231 ; 0.04 ; 0.0769231 ; 0.166667 ; 0.04 ; 0.04 ; 0.04 ; 0.037037 ; 0.0689655 ; 0.04 ; 0.04 ; 0.04 ; 0.04 ; 0.04 ; 0.0689655 ; 0.0833333 ; 0.166667 ; 0.0833333 ; 0.0833333 ; 0.0689655 ; 0.04 ; 0.142857 ; 0.0833333 ; 0.037037 ; 0.0833333 ; 0.04 ; 0.04 ; 0.04 ; 0.04
number bn:00058285n ; 0.235294 ; 0.785714 ; 0.0555556 ; 0.0754717 ; 0.0344828 ; 0.173913 ; 0.137931 ; 0.216216 ; 0.133333 ; 0.05 ; 0.145455 ; 0.153846 ; 0.0833333 ; 0.2 ; 0.0714286 ; 0.129032 ; 0.16 ; 0.0952381 ; 1 ; 0.280702 ; 0.142857 ; 0.142857 ; 0.0634921 ; 0.242424 ; 0.195122 ; 0.0833333 ; 0.097561 ; 0.0714286 ; 0.166667 ; 0.117647 ; 0.2 ; 0.0909091 ; 0.0833333 ; 0.111111 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.181818 ; 0.0833333 ; 0.04 ; 0.0714286 ; 0.0344828 ; 0.0434783 ; 0.0909091 ; 0.0434783 ; 0.181818 ; 0.0909091 ; 0.181818 ; 0.0833333 ; 0.0909091 ; 0.0434783 ; 0.0909091 ; 0.0833333 ; 0.0357143 ; 0.0909091 ; 0.0909091 ; 0.0434783 ; 0.0434783 ; 0.0434783 ; 0.0740741 ; 0.0909091 ; 0.0833333 ; 0.0909091 ; 0.0909091 ; 0.0357143 ; 0.0909091 ; 0.0344828 ; 0.0434783 ; 0.04 ; 0.0434783 ; 0.0434783 ; 0.0434783 ; 0.0434783 ; 0.0434783
state transition bn:03348716n ; 0.0952381 ; 0.253968 ; 0.0634921 ; 0.228571 ; 0.0350877 ; 0.0784314 ; 0.439394 ; 0.121212 ; 0.0677966 ; 0.0597015 ; 0.210526 ; 0.156863 ; 0.0377358 ; 0.262295 ; 0.0727273 ; 0.142857 ; 0.42623 ; 0.056338 ; 0.280702 ; 1 ; 0.207792 ; 0.0941176 ; 0.0909091 ; 0.353659 ; 0.114286 ; 0.0377358 ; 0.0571429 ; 0.0727273 ; 0.0754717 ; 0.313725 ; 0.1875 ; 0.0392157 ; 0.0784314 ; 0.0615385 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.156863 ; 0.156863 ; 0.0727273 ; 0.0727273 ; 0.0784314 ; 0.0377358 ; 0.0185185 ; 0.0727273 ; 0.0727273 ; 0.0392157 ; 0.0192308 ; 0.0392157 ; 0.0784314 ; 0.0392157 ; 0.0784314 ; 0.0377358 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0784314 ; 0.0740741 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0192308 ; 0.0740741 ; 0.0392157 ; 0.0377358 ; 0.0392157 ; 0.0392157 ; 0.0357143 ; 0.0192308 ; 0.0350877 ; 0.0192308 ; 0.0377358 ; 0.0192308 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0392157
triggering bn:00082306v ; 0.106667 ; 0.129032 ; 0.16 ; 0.222222 ; 0.0869565 ; 0.188235 ; 0.102564 ; 0.140351 ; 0.173913 ; 0.319149 ; 0.106667 ; 0.190476 ; 0.0454545 ; 0.0625 ; 0.190476 ; 0.170213 ; 0.114286 ; 0.137931 ; 0.142857 ; 0.207792 ; 1 ; 0.235294 ; 0.208333 ; 0.36 ; 0.131148 ; 0.0952381 ; 0.140351 ; 0.0869565 ; 0.0434783 ; 0.16 ; 0.211268 ; 0.047619 ; 0.0454545 ; 0.0714286 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.190476 ; 0.0869565 ; 0.0416667 ; 0.190476 ; 0.0454545 ; 0.0454545 ; 0.0952381 ; 0.190476 ; 0.0869565 ; 0.0232558 ; 0.0232558 ; 0.047619 ; 0.0454545 ; 0.047619 ; 0.0454545 ; 0.0222222 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.0952381 ; 0.0425532 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.0232558 ; 0.0425532 ; 0.0232558 ; 0.0454545 ; 0.0232558 ; 0.0232558 ; 0.0425532 ; 0.0232558 ; 0.0869565 ; 0.0232558 ; 0.0454545 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.047619
orthogonality bn:00059586n ; 0.45614 ; 0.129032 ; 0.0740741 ; 0.0547945 ; 0.0869565 ; 0.711864 ; 0.102564 ; 0.547619 ; 0.08 ; 0.148148 ; 0.202899 ; 0.0869565 ; 0.0454545 ; 0.133333 ; 0.0869565 ; 0.0784314 ; 0.114286 ; 0.32 ; 0.142857 ; 0.0941176 ; 0.235294 ; 1 ; 0.191781 ; 0.172414 ; 0.254545 ; 0.0952381 ; 0.140351 ; 0.0869565 ; 0.0909091 ; 0.0357143 ; 0.102564 ; 0.047619 ; 0.0454545 ; 0.153846 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.0416667 ; 0.0869565 ; 0.190476 ; 0.0869565 ; 0.0952381 ; 0.0952381 ; 0.0952381 ; 0.0869565 ; 0.0416667 ; 0.0232558 ; 0.0232558 ; 0.0232558 ; 0.0952381 ; 0.047619 ; 0.0952381 ; 0.0454545 ; 0.047619 ; 0.0232558 ; 0.0232558 ; 0.0222222 ; 0.0208333 ; 0.0232558 ; 0.0232558 ; 0.0232558 ; 0.0232558 ; 0.0232558 ; 0.0425532 ; 0.047619 ; 0.0952381 ; 0.047619 ; 0.047619 ; 0.0208333 ; 0.0232558 ; 0.0416667 ; 0.0232558 ; 0.0454545 ; 0.047619 ; 0.0232558 ; 0.0232558 ; 0.0232558 ; 0.0232558
semantics bn:00070404n ; 0.228571 ; 0.106061 ; 0.150943 ; 0.19403 ; 0.177778 ; 0.283951 ; 0.0987654 ; 0.114754 ; 0.0363636 ; 0.3 ; 0.102564 ; 0.0816327 ; 0.0888889 ; 0.126984 ; 0.177778 ; 0.0740741 ; 0.109589 ; 0.0615385 ; 0.0634921 ; 0.0909091 ; 0.208333 ; 0.191781 ; 1 ; 0.0824742 ; 0.0588235 ; 0.0425532 ; 0.0625 ; 0.0816327 ; 0.0408163 ; 0.0701754 ; 0.0853659 ; 0.0217391 ; 0.0425532 ; 0.0677966 ; 0.0217391 ; 0.0217391 ; 0.0217391 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0392157 ; 0.0208333 ; 0.0425532 ; 0.0888889 ; 0.177778 ; 0.177778 ; 0.0444444 ; 0.0444444 ; 0.0444444 ; 0.0425532 ; 0.0444444 ; 0.0425532 ; 0.0208333 ; 0.0444444 ; 0.0444444 ; 0.0217391 ; 0.0425532 ; 0.0833333 ; 0.0217391 ; 0.0217391 ; 0.0444444 ; 0.0444444 ; 0.0217391 ; 0.04 ; 0.0217391 ; 0.0425532 ; 0.0217391 ; 0.0217391 ; 0.04 ; 0.0444444 ; 0.0816327 ; 0.0217391 ; 0.0888889 ; 0.0444444 ; 0.0444444 ; 0.0444444 ; 0.0444444 ; 0.0444444
concept bn:00021547n ; 0.174419 ; 0.222222 ; 0.117647 ; 0.17284 ; 0.0625 ; 0.144231 ; 0.168539 ; 0.106667 ; 0.125 ; 0.111111 ; 0.188235 ; 0.133333 ; 0.0322581 ; 0.102564 ; 0.0625 ; 0.123077 ; 0.297297 ; 0.183099 ; 0.242424 ; 0.353659 ; 0.36 ; 0.172414 ; 0.0824742 ; 1 ; 0.225352 ; 0.0666667 ; 0.185714 ; 0.0625 ; 0.0645161 ; 0.117647 ; 0.552239 ; 0.0333333 ; 0.0322581 ; 0.2 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.133333 ; 0.133333 ; 0.0625 ; 0.133333 ; 0.0666667 ; 0.0666667 ; 0.0322581 ; 0.133333 ; 0.0625 ; 0.0163934 ; 0.0163934 ; 0.0333333 ; 0.0666667 ; 0.0333333 ; 0.0666667 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0666667 ; 0.0634921 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0163934 ; 0.0634921 ; 0.0333333 ; 0.0322581 ; 0.0333333 ; 0.0333333 ; 0.0634921 ; 0.0163934 ; 0.0625 ; 0.0333333 ; 0.0322581 ; 0.0163934 ; 0.0333333 ; 0.0333333 ; 0.0333333 ; 0.0333333
automata bn:00007371n ; 0.259259 ; 0.170213 ; 0.228571 ; 0.0333333 ; 0.129032 ; 0.194444 ; 0.267857 ; 0.190476 ; 0.258065 ; 0.0444444 ; 0.658537 ; 0.0606061 ; 0.0333333 ; 0.177778 ; 0.0294118 ; 0.0526316 ; 0.0677966 ; 0.186047 ; 0.195122 ; 0.114286 ; 0.131148 ; 0.254545 ; 0.0588235 ; 0.225352 ; 1 ; 0.148148 ; 0.190476 ; 0.129032 ; 0.137931 ; 0.102564 ; 0.290909 ; 0.0740741 ; 0.0689655 ; 0.216216 ; 0.0740741 ; 0.0740741 ; 0.0740741 ; 0.129032 ; 0.129032 ; 0.296296 ; 0.296296 ; 0.148148 ; 0.148148 ; 0.0689655 ; 0.0606061 ; 0.0606061 ; 0.0357143 ; 0.0357143 ; 0.0357143 ; 0.0689655 ; 0.0357143 ; 0.0689655 ; 0.0689655 ; 0.0357143 ; 0.0357143 ; 0.0740741 ; 0.0689655 ; 0.030303 ; 0.0740741 ; 0.0740741 ; 0.0357143 ; 0.0357143 ; 0.0357143 ; 0.0625 ; 0.0740741 ; 0.0689655 ; 0.0740741 ; 0.0740741 ; 0.030303 ; 0.0357143 ; 0.0294118 ; 0.0357143 ; 0.0689655 ; 0.0357143 ; 0.0357143 ; 0.0357143 ; 0.0357143 ; 0.0357143
history bn:00044268n ; 0.097561 ; 0.0666667 ; 0.111111 ; 0.0263158 ; 0.2 ; 0.0677966 ; 0.0434783 ; 0.08 ; 0.333333 ; 0.0909091 ; 0.097561 ; 0.2 ; 0.142857 ; 0.0344828 ; 0.0909091 ; 0.133333 ; 0.0526316 ; 0.166667 ; 0.0833333 ; 0.0377358 ; 0.0952381 ; 0.0952381 ; 0.0425532 ; 0.0666667 ; 0.148148 ; 1 ; 0.08 ; 0.2 ; 0.25 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.333333 ; 0.222222 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.1 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
effect bn:00021961n ; 0.0666667 ; 0.0851064 ; 0.114286 ; 0.16 ; 0.0689655 ; 0.108108 ; 0.0634921 ; 0.0952381 ; 0.129032 ; 0.102564 ; 0.142857 ; 0.0333333 ; 0.0384615 ; 0.0888889 ; 0.0689655 ; 0.0285714 ; 0.0727273 ; 0.382353 ; 0.097561 ; 0.0571429 ; 0.140351 ; 0.140351 ; 0.0625 ; 0.185714 ; 0.190476 ; 0.08 ; 1 ; 0.0333333 ; 0.0740741 ; 0.0540541 ; 0.240741 ; 0.0416667 ; 0.0384615 ; 0.205882 ; 0.0416667 ; 0.0416667 ; 0.0416667 ; 0.0689655 ; 0.0689655 ; 0.0689655 ; 0.148148 ; 0.08 ; 0.173913 ; 0.173913 ; 0.0689655 ; 0.0689655 ; 0.0416667 ; 0.0416667 ; 0.0416667 ; 0.08 ; 0.0416667 ; 0.08 ; 0.173913 ; 0.0416667 ; 0.0416667 ; 0.0869565 ; 0.08 ; 0.0714286 ; 0.0869565 ; 0.0869565 ; 0.0416667 ; 0.0416667 ; 0.0416667 ; 0.0714286 ; 0.0869565 ; 0.173913 ; 0.0869565 ; 0.0869565 ; 0.0714286 ; 0.0416667 ; 0.148148 ; 0.0869565 ; 0.0384615 ; 0.0869565 ; 0.0416667 ; 0.0416667 ; 0.0416667 ; 0.0416667
determinism bn:00026654n ; 0.0888889 ; 0.0588235 ; 0.2 ; 0.0487805 ; 0.333333 ; 0.0634921 ; 0.181818 ; 0.148148 ; 0.111111 ; 0.0769231 ; 0.0888889 ; 0.333333 ; 0.0909091 ; 0.0625 ; 0.142857 ; 0.235294 ; 0.1 ; 0.0666667 ; 0.0714286 ; 0.0727273 ; 0.0869565 ; 0.0869565 ; 0.0816327 ; 0.0625 ; 0.129032 ; 0.2 ; 0.0333333 ; 1 ; 0.166667 ; 0.2 ; 0.0833333 ; 0.25 ; 0.2 ; 0.0833333 ; 0.25 ; 0.25 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.25 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2 ; 0.153846 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.153846 ; 0.111111 ; 0.142857 ; 0.111111 ; 0.5 ; 0.111111 ; 0.25 ; 0.25 ; 0.25 ; 0.25
simultaneous bn:00099916a ; 0.146341 ; 0.214286 ; 0.047619 ; 0.025 ; 0.0769231 ; 0.101695 ; 0.0869565 ; 0.16 ; 0.125 ; 0.04 ; 0.0930233 ; 0.166667 ; 0.25 ; 0.0666667 ; 0.0769231 ; 0.117647 ; 0.105263 ; 0.153846 ; 0.166667 ; 0.0754717 ; 0.0434783 ; 0.0909091 ; 0.0408163 ; 0.0645161 ; 0.137931 ; 0.25 ; 0.0740741 ; 0.166667 ; 1 ; 0.1 ; 0.0869565 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.166667 ; 0.4 ; 0.4 ; 0.166667 ; 0.666667 ; 0.25 ; 0.111111 ; 0.0769231 ; 0.0769231 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.25 ; 0.142857 ; 0.25 ; 0.25 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.0833333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.181818 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.0833333 ; 0.142857 ; 0.0769231 ; 0.142857 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857
light bn:00051108n ; 0.0363636 ; 0.1 ; 0.142857 ; 0.186047 ; 0.0909091 ; 0.0273973 ; 0.363636 ; 0.0540541 ; 0.166667 ; 0.0588235 ; 0.163265 ; 0.2 ; 0.0526316 ; 0.105263 ; 0.0909091 ; 0.16 ; 0.181818 ; 0.0526316 ; 0.117647 ; 0.313725 ; 0.16 ; 0.0357143 ; 0.0701754 ; 0.117647 ; 0.102564 ; 0.111111 ; 0.0540541 ; 0.2 ; 0.1 ; 1 ; 0.153846 ; 0.125 ; 0.25 ; 0.0625 ; 0.125 ; 0.125 ; 0.125 ; 0.5 ; 0.2 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.0909091 ; 0.2 ; 0.125 ; 0.0588235 ; 0.125 ; 0.0526316 ; 0.0588235 ; 0.0526316 ; 0.0526316 ; 0.0588235 ; 0.125 ; 0.125 ; 0.25 ; 0.210526 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.0588235 ; 0.0952381 ; 0.0588235 ; 0.0526316 ; 0.0588235 ; 0.0588235 ; 0.0952381 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.125 ; 0.125 ; 0.125
