X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
syntax bn:00062118n ; 0.0529661 ; 0.0529661 ; 0 ; 0 ; 0.0487288 ; 0.0466102 ; 0 ; 0.0423729 ; 0 ; 0 ; 0 ; 0 ; 0.0402542
substates bn:00964536n ; 0.0233051 ; 0.0233051 ; 0 ; 0 ; 0.0233051 ; 0 ; 0.0190678 ; 0 ; 0.0105932 ; 0 ; 0 ; 0 ; 0
conditional bn:00100214a ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
defined bn:00086465v ; 0.101695 ; 0 ; 0.0911017 ; 0.105932 ; 0.0995763 ; 0.095339 ; 0 ; 0.0826271 ; 0 ; 0 ; 0 ; 0.0974576 ; 0
formal syntax bn:01042120n ; 0.0169492 ; 0.0169492 ; 0 ; 0.0169492 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0169492 ; 0
operational semantics bn:02057536n ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
definition bn:00025928n ; 0.139831 ; 0.139831 ; 0.125 ; 0.135593 ; 0.144068 ; 0.118644 ; 0 ; 0 ; 0.0402542 ; 0 ; 0 ; 0.144068 ; 0
condition c bn:00675915n ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
subset bn:00074971n ; 0.00847458 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
management bn:00053116n ; 0.00847458 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
higraphs bn:01691263n ; 0.0169492 ; 0.0148305 ; 0 ; 0 ; 0.0148305 ; 0 ; 0 ; 0.0148305 ; 0 ; 0 ; 0 ; 0 ; 0
finite bn:00102992a ; 0.00847458 ; 0.00847458 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
new york bn:00041611n ; 0.0466102 ; 0 ; 0 ; 0.0360169 ; 0 ; 0 ; 0.0317797 ; 0.0275424 ; 0 ; 0.0338983 ; 0 ; 0.0423729 ; 0
automata theory bn:00152075n ; 0.00423729 ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
entity bn:00031027n ; 0 ; 0.00423729 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
types bn:00016413n ; 0 ; 0.0550847 ; 0 ; 0.0508475 ; 0.0529661 ; 0.0508475 ; 0.0423729 ; 0 ; 0 ; 0 ; 0 ; 0.0529661 ; 0
multiple bn:00107028a ; 0 ; 0.0550847 ; 0 ; 0.0444915 ; 0.0550847 ; 0.0444915 ; 0 ; 0 ; 0 ; 0 ; 0.0360169 ; 0.0529661 ; 0
composite bn:00100155a ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00423729
sequence bn:00070574n ; 0 ; 0.00847458 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
large number bn:14223782n ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
goal bn:00030721n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
scenario bn:01190125n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0
city bn:03335997n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
workflows bn:00081578n ; 0 ; 0 ; 0.00423729 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
plant bn:00035324n ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
transition state bn:03731398n ; 0 ; 0 ; 0.00423729 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
strategy bn:00069579n ; 0 ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
police bn:00022026n ; 0 ; 0 ; 0.00423729 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
transducer bn:00077966n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
current bn:00096401a ; 0 ; 0 ; 0 ; 0.0275424 ; 0.0317797 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0275424 ; 0.029661 ; 0.029661
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0.00423729 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00423729 ; 0
bit bn:00010731n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0.00847458 ; 0 ; 0 ; 0 ; 0 ; 0.00847458 ; 0
include bn:00089662v ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
logical value bn:00855623n ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gate bn:00037487n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
flip-flop bn:00035248n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0
summary bn:00075142n ; 0 ; 0 ; 0 ; 0.0148305 ; 0 ; 0 ; 0 ; 0 ; 0.0148305 ; 0 ; 0.0169492 ; 0 ; 0.0148305
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00211864 ; 0 ; 0 ; 0
