X ; science bn:00069670n ; computer bn:00021464n ; statecharts bn:01128895n ; systems bn:15125301n ; david harel bn:03178978n ; mathematics bn:00053823n ; state bn:00023236n ; state machine bn:00212740n ; diagrams bn:00026817n ; communication bn:00021221n ; units bn:00021497n ; language bn:00049910n ; behavior bn:00009657n ; complex bn:00100148a ; complex system bn:03086504n ; problem bn:00048242n ; reactive systems bn:02824399n ; example bn:00032100n ; automobiles bn:00007309n ; networks bn:00024712n ; kind bn:00035907n ; way bn:00033729n ; time bn:00077270n ; simulation bn:00021496n ; set bn:00070697n ; output bn:00036821n ; information bn:00046705n ; tool bn:00077585n ; number bn:00058285n ; state transition bn:03348716n ; nature bn:00057017n ; triggering bn:00082306v ; hierarchical bn:00104156a ; orthogonality bn:00059586n ; main bn:00099598a ; possible bn:00108829a ; broadcast bn:00013234n ; semantics bn:00070404n ; concept bn:00021547n ; occurring bn:00085337v ; america bn:00003341n ; achieved bn:00082226v ; automata bn:00007371n ; c d bn:00016915n ; sec bn:00068672n ; history bn:00044268n ; effect bn:00021961n ; require bn:00091028v ; determinism bn:00026654n ; simultaneous bn:00099916a ; application bn:00005095n ; possibility bn:00045632n ; light bn:00051108n ; second bn:00095974a ; merely bn:00114626r ; reg bn:01922794n ; timers bn:00077309n ; syntax bn:00062118n ; substates bn:00964536n ; conditional bn:00100214a ; defined bn:00086465v ; formal syntax bn:01042120n ; operational semantics bn:02057536n ; definition bn:00025928n ; condition c bn:00675915n ; subset bn:00074971n ; management bn:00053116n ; higraphs bn:01691263n ; finite bn:00102992a ; new york bn:00041611n ; automata theory bn:00152075n ; entity bn:00031027n ; types bn:00016413n ; multiple bn:00107028a ; composite bn:00100155a ; sequence bn:00070574n ; large number bn:14223782n ; goal bn:00030721n ; scenario bn:01190125n ; city bn:03335997n ; workflows bn:00081578n ; plant bn:00035324n ; transition state bn:03731398n ; strategy bn:00069579n ; police bn:00022026n ; transducer bn:00077966n ; code bn:00020354n ; current bn:00096401a ; traffic light bn:00074441n ; bit bn:00010731n ; include bn:00089662v ; logical value bn:00855623n ; gate bn:00037487n ; flip-flop bn:00035248n ; summary bn:00075142n ; autonomous bn:00097830a ; stateflow bn:03369007n ; red light bn:00066676n ; composite states bn:00892979n ; inner bn:00105133a ; deep bn:00101054a ; simple bn:00098053a ; atomic bn:00097696a ; interaction diagram bn:02571962n ; activity diagrams bn:02627321n ; deterministic finite state automata bn:03499526n ; superstate bn:03656095n ; fsa bn:03013778n ; basic bn:00098103a ; fsms bn:03431506n ; state actions bn:00955439n
science bn:00069670n ; 1 ; 0.258824 ; 0.215827 ; 0.0251572 ; 0.313433 ; 0.221622 ; 0.106667 ; 0.426752 ; 0.0765306 ; 0.202532 ; 0.0595238 ; 0.0722892 ; 0.0506329 ; 0.0722892 ; 0.0952381 ; 0.0449438 ; 0.157895 ; 0.136364 ; 0.106667 ; 0.056338 ; 0.0597015 ; 0.0888889 ; 0.0869565 ; 0.0506329 ; 0.0707965 ; 0.2 ; 0.0720721 ; 0.108108 ; 0.175 ; 0.0672269 ; 0.192771 ; 0.0672269 ; 0.0246914 ; 0.32967 ; 0.0421053 ; 0.0722892 ; 0.379747 ; 0.192308 ; 0.108108 ; 0.272727 ; 0.204918 ; 0.0506329 ; 0.185185 ; 0.0210526 ; 0.179104 ; 0.127273 ; 0.043956 ; 0.101449 ; 0.056338 ; 0.0821918 ; 0.106667 ; 0.215827 ; 0.0215054 ; 0.109375 ; 0.043956 ; 0.0298507 ; 0.0289855 ; 0.148515 ; 0.157895 ; 0.0298507 ; 0.106667 ; 0.0506329 ; 0.0298507 ; 0.136364 ; 0.0298507 ; 0.0273973 ; 0.056338 ; 0.223881 ; 0.056338 ; 0.038835 ; 0.0597015 ; 0.0597015 ; 0.0347826 ; 0.0740741 ; 0.0289855 ; 0.056338 ; 0.0273973 ; 0.0147059 ; 0.0298507 ; 0.0147059 ; 0.0597015 ; 0.0298507 ; 0.0597015 ; 0.0289855 ; 0.0597015 ; 0.0147059 ; 0.0147059 ; 0.0434783 ; 0.0142857 ; 0.0135135 ; 0.0147059 ; 0.0147059 ; 0.0147059 ; 0.0147059 ; 0.0512821 ; 0.0147059 ; 0.0273973 ; 0.0298507 ; 0.0289855 ; 0.0298507 ; 0.0298507 ; 0.0135135 ; 0.0298507 ; 0.0135135 ; 0.0147059 ; 0.0289855 ; 0.0147059 ; 0.0147059 ; 0.0147059 ; 0.0147059 ; 0.0147059
computer bn:00021464n ; 0.258824 ; 1 ; 0.126984 ; 0.030303 ; 0.22 ; 0.124294 ; 0.037037 ; 0.125714 ; 0.0454545 ; 0.133333 ; 0.0344828 ; 0.0863309 ; 0.0769231 ; 0.0863309 ; 0.0655738 ; 0.03125 ; 0.0506329 ; 0.0888889 ; 0.0769231 ; 0.0909091 ; 0.1 ; 0.126984 ; 0.0949367 ; 0.0769231 ; 0.0930233 ; 0.0571429 ; 0.0952381 ; 0.0620155 ; 0.675 ; 0.190476 ; 0.285714 ; 0.0869565 ; 0.037037 ; 0.0930233 ; 0.0588235 ; 0.0863309 ; 0.108108 ; 0.0666667 ; 0.132231 ; 0.370968 ; 0.132075 ; 0.0769231 ; 0.131148 ; 0.0606061 ; 0.130435 ; 0.0777778 ; 0.0625 ; 0.27551 ; 0.0434783 ; 0.130435 ; 0.130081 ; 0.126984 ; 0.0625 ; 0.138614 ; 0.0625 ; 0.05 ; 0.047619 ; 0.0470588 ; 0.109091 ; 0.05 ; 0.130081 ; 0.0769231 ; 0.05 ; 0.153333 ; 0.05 ; 0.0909091 ; 0.0909091 ; 0.0784314 ; 0.0909091 ; 0.0526316 ; 0.1 ; 0.047619 ; 0.0454545 ; 0.0987654 ; 0.0232558 ; 0.0434783 ; 0.0212766 ; 0.0243902 ; 0.05 ; 0.0243902 ; 0.1 ; 0.05 ; 0.1 ; 0.047619 ; 0.1 ; 0.0243902 ; 0.05 ; 0.131148 ; 0.047619 ; 0.0212766 ; 0.05 ; 0.05 ; 0.0243902 ; 0.0243902 ; 0.170213 ; 0.0243902 ; 0.0434783 ; 0.05 ; 0.047619 ; 0.05 ; 0.05 ; 0.0212766 ; 0.05 ; 0.0212766 ; 0.0243902 ; 0.0232558 ; 0.0243902 ; 0.0243902 ; 0.0243902 ; 0.0243902 ; 0.0243902
statecharts bn:01128895n ; 0.215827 ; 0.126984 ; 1 ; 0.0879121 ; 0.0695652 ; 0.139738 ; 0.156863 ; 0.131004 ; 0.287958 ; 0.140351 ; 0.222672 ; 0.176796 ; 0.0727273 ; 0.176796 ; 0.0325203 ; 0.0666667 ; 0.25 ; 0.221374 ; 0.156863 ; 0.0784314 ; 0.0192308 ; 0.136752 ; 0.157635 ; 0.0727273 ; 0.114286 ; 0.0949367 ; 0.262295 ; 0.372414 ; 0.141593 ; 0.246154 ; 0.313725 ; 0.246154 ; 0.0350877 ; 0.238095 ; 0.135593 ; 0.176796 ; 0.263158 ; 0.091954 ; 0.474074 ; 0.278261 ; 0.433071 ; 0.0727273 ; 0.284314 ; 0.0645161 ; 0.0754717 ; 0.0529801 ; 0.0655738 ; 0.206452 ; 0.0784314 ; 0.0363636 ; 0.367347 ; 1 ; 0.0655738 ; 0.22069 ; 0.140351 ; 0.0196078 ; 0.0192308 ; 0.110294 ; 0.0695652 ; 0.0196078 ; 0.367347 ; 0.156863 ; 0.0196078 ; 0.374269 ; 0.0196078 ; 0.0784314 ; 0.0784314 ; 0.147059 ; 0.0784314 ; 0.11811 ; 0.0392157 ; 0.0392157 ; 0.115942 ; 0.118519 ; 0.0192308 ; 0.0784314 ; 0.0377358 ; 0.00970874 ; 0.00970874 ; 0.0196078 ; 0.0392157 ; 0.0196078 ; 0.0392157 ; 0.0192308 ; 0.0392157 ; 0.0196078 ; 0.0196078 ; 0.0650407 ; 0.0392157 ; 0.0185185 ; 0.0196078 ; 0.0196078 ; 0.0196078 ; 0.0196078 ; 0.0173913 ; 0.00970874 ; 0.0377358 ; 0.0196078 ; 0.0192308 ; 0.0196078 ; 0.0196078 ; 0.0185185 ; 0.00970874 ; 0.0185185 ; 0.00970874 ; 0.0392157 ; 0.00970874 ; 0.0196078 ; 0.0196078 ; 0.0196078 ; 0.0196078
systems bn:15125301n ; 0.0251572 ; 0.030303 ; 0.0879121 ; 1 ; 0.00862069 ; 0.123348 ; 0.0769231 ; 0.104803 ; 0.126761 ; 0.0333333 ; 0.184 ; 0.15 ; 0.0769231 ; 0.15 ; 0.0707965 ; 0.270833 ; 0.0610687 ; 0.0547945 ; 0.037037 ; 0.04 ; 0.0204082 ; 0.0672269 ; 0.293785 ; 0.0769231 ; 0.111111 ; 0.0915033 ; 0.22314 ; 0.184049 ; 0.0336134 ; 0.114286 ; 0.0666667 ; 0.238095 ; 0.0769231 ; 0.056338 ; 0.142857 ; 0.15 ; 0.0615385 ; 0.179487 ; 0.162651 ; 0.0601504 ; 0.047619 ; 0.0769231 ; 0.0330579 ; 0.135135 ; 0.0188679 ; 0.100719 ; 0.137615 ; 0.0903614 ; 0.0196078 ; 0.0188679 ; 0.0893855 ; 0.0879121 ; 0.127273 ; 0.0961538 ; 0.137615 ; 0.0103093 ; 0.0204082 ; 0.0583942 ; 0.0353982 ; 0.0103093 ; 0.0893855 ; 0.0769231 ; 0.0103093 ; 0.150754 ; 0.0103093 ; 0.04 ; 0.0196078 ; 0.0183486 ; 0.04 ; 0.123967 ; 0.010101 ; 0.0204082 ; 0.22314 ; 0.124031 ; 0.0416667 ; 0.0833333 ; 0.0833333 ; 0.0208333 ; 0.0103093 ; 0.0208333 ; 0.0204082 ; 0.0208333 ; 0.0204082 ; 0.0204082 ; 0.0204082 ; 0.0208333 ; 0.0208333 ; 0.0683761 ; 0.0416667 ; 0.0833333 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0373832 ; 0.0208333 ; 0.04 ; 0.0103093 ; 0.0204082 ; 0.0103093 ; 0.0103093 ; 0.0833333 ; 0.0103093 ; 0.0833333 ; 0.0208333 ; 0.0204082 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0208333
david harel bn:03178978n ; 0.313433 ; 0.22 ; 0.0695652 ; 0.00862069 ; 1 ; 0.0650888 ; 0.0571429 ; 0.133758 ; 0.0509554 ; 0.195122 ; 0.0375587 ; 0.047619 ; 0.0571429 ; 0.047619 ; 0.0952381 ; 0.0217391 ; 0.142857 ; 0.112676 ; 0.121212 ; 0.0740741 ; 0.0869565 ; 0.0833333 ; 0.0266667 ; 0.0571429 ; 0.056338 ; 0.15 ; 0.028169 ; 0.0350877 ; 0.170732 ; 0.0519481 ; 0.0816327 ; 0.0253165 ; 0.0571429 ; 0.119403 ; 0.0392157 ; 0.047619 ; 0.145455 ; 0.0792079 ; 0.0350877 ; 0.1 ; 0.147727 ; 0.0571429 ; 0.190476 ; 0.0408163 ; 0.222222 ; 0.0985915 ; 0.0425532 ; 0.0707071 ; 0.16 ; 0.222222 ; 0.0714286 ; 0.0695652 ; 0.0425532 ; 0.0786517 ; 0.0425532 ; 0.0952381 ; 0.0869565 ; 0.129032 ; 0.166667 ; 0.0952381 ; 0.0714286 ; 0.0571429 ; 0.0952381 ; 0.0405405 ; 0.0952381 ; 0.0740741 ; 0.16 ; 0.285714 ; 0.0740741 ; 0.0701754 ; 0.190476 ; 0.0869565 ; 0.028169 ; 0.0606061 ; 0.0416667 ; 0.0357143 ; 0.0357143 ; 0.0454545 ; 0.0952381 ; 0.0454545 ; 0.0869565 ; 0.0454545 ; 0.0869565 ; 0.0869565 ; 0.0869565 ; 0.0454545 ; 0.0454545 ; 0.0869565 ; 0.0416667 ; 0.0357143 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.125 ; 0.0454545 ; 0.0740741 ; 0.0952381 ; 0.0869565 ; 0.0952381 ; 0.0952381 ; 0.0357143 ; 0.0952381 ; 0.0357143 ; 0.0454545 ; 0.0869565 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545 ; 0.0454545
mathematics bn:00053823n ; 0.221622 ; 0.124294 ; 0.139738 ; 0.123348 ; 0.0650888 ; 1 ; 0.0479042 ; 0.300412 ; 0.118081 ; 0.0935673 ; 0.184818 ; 0.163793 ; 0.0233918 ; 0.163793 ; 0.0952381 ; 0.0946746 ; 0.0860215 ; 0.079602 ; 0.100629 ; 0.0503145 ; 0.0251572 ; 0.043956 ; 0.377358 ; 0.0479042 ; 0.163934 ; 0.116505 ; 0.0820513 ; 0.127753 ; 0.0813953 ; 0.15873 ; 0.0914286 ; 0.171123 ; 0.0479042 ; 0.176796 ; 0.0914286 ; 0.163793 ; 0.0864865 ; 0.3 ; 0.142857 ; 0.133333 ; 0.132701 ; 0.0479042 ; 0.0444444 ; 0.0924855 ; 0.0754717 ; 0.13089 ; 0.0446927 ; 0.251282 ; 0.0245399 ; 0.0754717 ; 0.131579 ; 0.139738 ; 0.0446927 ; 0.135922 ; 0.0446927 ; 0.0125786 ; 0.0251572 ; 0.162011 ; 0.0714286 ; 0.0125786 ; 0.131579 ; 0.0479042 ; 0.0125786 ; 0.309417 ; 0.0125786 ; 0.0245399 ; 0.0503145 ; 0.0481928 ; 0.0245399 ; 0.0205128 ; 0.0251572 ; 0.0251572 ; 0.0820513 ; 0.155556 ; 0.0251572 ; 0.0503145 ; 0.0503145 ; 0.0125786 ; 0.0125786 ; 0.0125786 ; 0.0251572 ; 0.0125786 ; 0.0251572 ; 0.0124224 ; 0.0251572 ; 0.0125786 ; 0.00625 ; 0.0930233 ; 0.0124224 ; 0.0245399 ; 0.00625 ; 0.00625 ; 0.0125786 ; 0.0125786 ; 0.0481928 ; 0.00625 ; 0.0245399 ; 0.0125786 ; 0.0251572 ; 0.0125786 ; 0.0125786 ; 0.0121212 ; 0.0125786 ; 0.0245399 ; 0.00625 ; 0.0124224 ; 0.0125786 ; 0.0125786 ; 0.0125786 ; 0.0125786 ; 0.0125786
state bn:00023236n ; 0.106667 ; 0.037037 ; 0.156863 ; 0.0769231 ; 0.0571429 ; 0.0479042 ; 1 ; 0.0484848 ; 0.0526316 ; 0.1 ; 0.0384615 ; 0.0325203 ; 0.0666667 ; 0.0325203 ; 0.0512821 ; 0.235294 ; 0.156863 ; 0.0571429 ; 0.142857 ; 0.2 ; 0.111111 ; 0.0930233 ; 0.0567376 ; 0.142857 ; 0.0606061 ; 0.0481928 ; 0.133333 ; 0.164948 ; 0.0487805 ; 0.0555556 ; 0.0909091 ; 0.117647 ; 0.0666667 ; 0.129032 ; 0.0909091 ; 0.0325203 ; 0.16 ; 0.181818 ; 0.0761905 ; 0.0701754 ; 0.0909091 ; 0.0666667 ; 0.097561 ; 0.0454545 ; 0.0769231 ; 0.028169 ; 0.047619 ; 0.0412371 ; 0.2 ; 0.037037 ; 0.0747664 ; 0.156863 ; 0.047619 ; 0.045977 ; 0.1 ; 0.0588235 ; 0.0526316 ; 0.0655738 ; 0.0571429 ; 0.0588235 ; 0.0747664 ; 0.142857 ; 0.0588235 ; 0.0567376 ; 0.0588235 ; 0.0909091 ; 0.0909091 ; 0.148148 ; 0.0909091 ; 0.0769231 ; 0.0526316 ; 0.111111 ; 0.0625 ; 0.0655738 ; 0.111111 ; 0.5 ; 0.2 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.125 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.125 ; 0.0588235 ; 0.0465116 ; 0.111111 ; 0.0909091 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.125 ; 0.0333333 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.0526316 ; 0.0588235 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.0909091 ; 0.0588235 ; 0.25 ; 0.0588235 ; 0.125 ; 0.125 ; 0.125 ; 0.125
state machine bn:00212740n ; 0.426752 ; 0.125714 ; 0.131004 ; 0.104803 ; 0.133758 ; 0.300412 ; 0.0484848 ; 1 ; 0.0905797 ; 0.178344 ; 0.129747 ; 0.0850202 ; 0.0484848 ; 0.0850202 ; 0.159236 ; 0.0828402 ; 0.129944 ; 0.075 ; 0.0484848 ; 0.0248447 ; 0.0254777 ; 0.0444444 ; 0.124031 ; 0.0484848 ; 0.0765306 ; 0.452229 ; 0.0829016 ; 0.0672269 ; 0.0823529 ; 0.0382775 ; 0.0924855 ; 0.079602 ; 0.0236686 ; 0.343949 ; 0.0216216 ; 0.0850202 ; 0.267516 ; 0.212871 ; 0.133929 ; 0.134831 ; 0.117925 ; 0.0484848 ; 0.0877193 ; 0.0218579 ; 0.0764331 ; 0.195531 ; 0.0882353 ; 0.125581 ; 0.0248447 ; 0.0764331 ; 0.0666667 ; 0.131004 ; 0.0220994 ; 0.115385 ; 0.0451977 ; 0.0127389 ; 0.0125786 ; 0.150838 ; 0.133758 ; 0.0127389 ; 0.0666667 ; 0.0236686 ; 0.0127389 ; 0.0902256 ; 0.0127389 ; 0.0122699 ; 0.0248447 ; 0.0955414 ; 0.0248447 ; 0.0706522 ; 0.0254777 ; 0.0254777 ; 0.039801 ; 0.040404 ; 0.0254777 ; 0.0248447 ; 0.0122699 ; 0.00632911 ; 0.0127389 ; 0.00632911 ; 0.0254777 ; 0.0127389 ; 0.0254777 ; 0.0254777 ; 0.0254777 ; 0.00632911 ; 0.00632911 ; 0.0449438 ; 0.00625 ; 0.0122699 ; 0.00632911 ; 0.00632911 ; 0.00632911 ; 0.00632911 ; 0.0487805 ; 0.0127389 ; 0.0248447 ; 0.0127389 ; 0.0254777 ; 0.0127389 ; 0.0127389 ; 0.0248447 ; 0.0127389 ; 0.0248447 ; 0.0127389 ; 0.0125786 ; 0.0127389 ; 0.00632911 ; 0.00632911 ; 0.00632911 ; 0.00632911
diagrams bn:00026817n ; 0.0765306 ; 0.0454545 ; 0.287958 ; 0.126761 ; 0.0509554 ; 0.118081 ; 0.0526316 ; 0.0905797 ; 1 ; 0.0487805 ; 0.72 ; 0.634615 ; 0.0526316 ; 0.634615 ; 0.0496894 ; 0.0240964 ; 0.183544 ; 0.402778 ; 0.111111 ; 0.027027 ; 0.00680272 ; 0.100629 ; 0.130612 ; 0.025641 ; 0.192771 ; 0.131579 ; 0.166667 ; 0.302703 ; 0.0490798 ; 0.186047 ; 0.1 ; 0.0851064 ; 0.111111 ; 0.0819672 ; 0.222222 ; 0.634615 ; 0.0877193 ; 0.0740741 ; 0.281915 ; 0.0924855 ; 0.325444 ; 0.0526316 ; 0.201389 ; 0.101266 ; 0.0540541 ; 0.182353 ; 0.0955414 ; 0.0751174 ; 0.0555556 ; 0.0263158 ; 0.299465 ; 0.287958 ; 0.102564 ; 0.319277 ; 0.194444 ; 0.0138889 ; 0.0277778 ; 0.184049 ; 0.107383 ; 0.0138889 ; 0.299465 ; 0.111111 ; 0.0138889 ; 0.300469 ; 0.0138889 ; 0.0555556 ; 0.0555556 ; 0.104167 ; 0.0555556 ; 0.15 ; 0.0277778 ; 0.0277778 ; 0.361111 ; 0.198758 ; 0.0136986 ; 0.027027 ; 0.0555556 ; 0.0138889 ; 0.00689655 ; 0.0138889 ; 0.0136986 ; 0.00689655 ; 0.0136986 ; 0.0277778 ; 0.0136986 ; 0.0138889 ; 0.0138889 ; 0.0484848 ; 0.0277778 ; 0.0555556 ; 0.0138889 ; 0.0138889 ; 0.0138889 ; 0.0138889 ; 0.0127389 ; 0.00689655 ; 0.027027 ; 0.0138889 ; 0.0136986 ; 0.0138889 ; 0.0138889 ; 0.027027 ; 0.00689655 ; 0.027027 ; 0.0138889 ; 0.0277778 ; 0.00689655 ; 0.0138889 ; 0.0138889 ; 0.0138889 ; 0.0138889
communication bn:00021221n ; 0.202532 ; 0.133333 ; 0.140351 ; 0.0333333 ; 0.195122 ; 0.0935673 ; 0.1 ; 0.178344 ; 0.0487805 ; 1 ; 0.0654206 ; 0.0296296 ; 0.047619 ; 0.0296296 ; 0.0816327 ; 0.08 ; 0.126984 ; 0.102564 ; 0.1 ; 0.125 ; 0.0666667 ; 0.156863 ; 0.0522876 ; 0.1 ; 0.108108 ; 0.164706 ; 0.0526316 ; 0.0683761 ; 0.170213 ; 0.1 ; 0.153846 ; 0.1 ; 0.047619 ; 0.518519 ; 0.0344828 ; 0.0296296 ; 0.296296 ; 0.0740741 ; 0.0683761 ; 0.123077 ; 0.08 ; 0.1 ; 0.163265 ; 0.0740741 ; 0.111111 ; 0.0493827 ; 0.0769231 ; 0.164948 ; 0.125 ; 0.25 ; 0.144144 ; 0.140351 ; 0.037037 ; 0.040404 ; 0.037037 ; 0.0714286 ; 0.0666667 ; 0.222222 ; 0.0888889 ; 0.0714286 ; 0.144144 ; 0.047619 ; 0.0714286 ; 0.0522876 ; 0.0714286 ; 0.0588235 ; 0.125 ; 0.228571 ; 0.0588235 ; 0.0625 ; 0.142857 ; 0.0666667 ; 0.025641 ; 0.0266667 ; 0.0666667 ; 0.0588235 ; 0.0285714 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.142857 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.0344828 ; 0.0344828 ; 0.0754717 ; 0.0322581 ; 0.0285714 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.0487805 ; 0.0344828 ; 0.0588235 ; 0.0714286 ; 0.142857 ; 0.0714286 ; 0.0714286 ; 0.0285714 ; 0.0344828 ; 0.0588235 ; 0.0344828 ; 0.0666667 ; 0.0714286 ; 0.0344828 ; 0.0344828 ; 0.0344828 ; 0.0344828
