X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
entity bn:00031027n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0
types bn:00016413n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.125
multiple bn:00107028a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.125
composite bn:00100155a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0
sequence bn:00070574n ; 0 ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
large number bn:14223782n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0
workflows bn:00081578n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0
strategy bn:00069579n ; 0 ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0
current bn:00096401a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0 ; 0 ; 0
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
bit bn:00010731n ; 0 ; 0 ; 0 ; 0.25 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
summary bn:00075142n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.166667 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0
stateflow bn:03369007n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.125
composite states bn:00892979n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0
simple bn:00098053a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
interaction diagram bn:02571962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0
deterministic finite state automata bn:03499526n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.1 ; 0 ; 0 ; 0
