X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.256637 ; 0.262712 ; 0.279279 ; 0.504854 ; 0.144231 ; 0.113402 ; 0.15534 ; 0.0930233 ; 0.0465116 ; 0.126437 ; 0.230769 ; 0.116505
A2 ; 0.256637 ; 1 ; 0.1875 ; 0.188679 ; 0.241071 ; 0.0618557 ; 0.135802 ; 0.211765 ; 0.130435 ; 0.0571429 ; 0.138889 ; 0.153153 ; 0.2375
A3 ; 0.262712 ; 0.1875 ; 1 ; 0.1875 ; 0.226891 ; 0.170213 ; 0.0879121 ; 0.182796 ; 0.133333 ; 0.0519481 ; 0.155844 ; 0.273585 ; 0.218391
A4 ; 0.279279 ; 0.188679 ; 0.1875 ; 1 ; 0.275229 ; 0.211765 ; 0.135802 ; 0.144444 ; 0.0263158 ; 0.0277778 ; 0.0649351 ; 0.254902 ; 0.0879121
A5 ; 0.504854 ; 0.241071 ; 0.226891 ; 0.275229 ; 1 ; 0.171717 ; 0.179775 ; 0.195876 ; 0.0963855 ; 0.0235294 ; 0.130952 ; 0.146341 ; 0.108911
C1 ; 0.144231 ; 0.0618557 ; 0.170213 ; 0.211765 ; 0.171717 ; 1 ; 0.078125 ; 0.15942 ; 0.0377358 ; 0.02 ; 0.0350877 ; 0.235294 ; 0.0555556
C2 ; 0.113402 ; 0.135802 ; 0.0879121 ; 0.135802 ; 0.179775 ; 0.078125 ; 1 ; 0.0147059 ; 0.047619 ; 0.0526316 ; 0.0434783 ; 0.205128 ; 0.140351
C3 ; 0.15534 ; 0.211765 ; 0.182796 ; 0.144444 ; 0.195876 ; 0.15942 ; 0.0147059 ; 1 ; 0.122449 ; 0.02 ; 0.113208 ; 0.09375 ; 0.117647
C4 ; 0.0930233 ; 0.130435 ; 0.133333 ; 0.0263158 ; 0.0963855 ; 0.0377358 ; 0.047619 ; 0.122449 ; 1 ; 0.04 ; 0.36 ; 0.025641 ; 0.0851064
C5 ; 0.0465116 ; 0.0571429 ; 0.0519481 ; 0.0277778 ; 0.0235294 ; 0.02 ; 0.0526316 ; 0.02 ; 0.04 ; 1 ; 0.0344828 ; 0.101449 ; 0.0444444
C6 ; 0.126437 ; 0.138889 ; 0.155844 ; 0.0649351 ; 0.130952 ; 0.0350877 ; 0.0434783 ; 0.113208 ; 0.36 ; 0.0344828 ; 1 ; 0.05 ; 0.0784314
C7 ; 0.230769 ; 0.153153 ; 0.273585 ; 0.254902 ; 0.146341 ; 0.235294 ; 0.205128 ; 0.09375 ; 0.025641 ; 0.101449 ; 0.05 ; 1 ; 0.122222
C8 ; 0.116505 ; 0.2375 ; 0.218391 ; 0.0879121 ; 0.108911 ; 0.0555556 ; 0.140351 ; 0.117647 ; 0.0851064 ; 0.0444444 ; 0.0784314 ; 0.122222 ; 1
