X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
A1 ; 1 ; 0.371938 ; 0.22807 ; 0.261658 ; 0.408213 ; 0.22807 ; 0.206434 ; 0.227397 ; 0.15 ; 0.0988024 ; 0.122222 ; 0.335784 ; 0.164141
A2 ; 0.371938 ; 1 ; 0.26087 ; 0.22695 ; 0.342795 ; 0.276284 ; 0.199005 ; 0.263158 ; 0.191549 ; 0.0754717 ; 0.162667 ; 0.302483 ; 0.235589
A3 ; 0.22807 ; 0.26087 ; 1 ; 0.187311 ; 0.216418 ; 0.175074 ; 0.119497 ; 0.156863 ; 0.0645161 ; 0.0833333 ; 0.111111 ; 0.209115 ; 0.183871
A4 ; 0.261658 ; 0.22695 ; 0.187311 ; 1 ; 0.236641 ; 0.259615 ; 0.127796 ; 0.154605 ; 0.0537634 ; 0.0384615 ; 0.0586207 ; 0.269122 ; 0.12
A5 ; 0.408213 ; 0.342795 ; 0.216418 ; 0.236641 ; 1 ; 0.225564 ; 0.216802 ; 0.198391 ; 0.150442 ; 0.0860534 ; 0.195846 ; 0.28 ; 0.179487
C1 ; 0.22807 ; 0.276284 ; 0.175074 ; 0.259615 ; 0.225564 ; 1 ; 0.119497 ; 0.156863 ; 0.0879121 ; 0.0340909 ; 0.0726644 ; 0.249307 ; 0.15047
C2 ; 0.206434 ; 0.199005 ; 0.119497 ; 0.127796 ; 0.216802 ; 0.119497 ; 1 ; 0.109541 ; 0.0982906 ; 0.104265 ; 0.097561 ; 0.174286 ; 0.135417
C3 ; 0.227397 ; 0.263158 ; 0.156863 ; 0.154605 ; 0.198391 ; 0.156863 ; 0.109541 ; 1 ; 0.123348 ; 0.0645161 ; 0.116667 ; 0.155367 ; 0.113014
C4 ; 0.15 ; 0.191549 ; 0.0645161 ; 0.0537634 ; 0.150442 ; 0.0879121 ; 0.0982906 ; 0.123348 ; 1 ; 0.0295858 ; 0.178771 ; 0.11746 ; 0.107438
C5 ; 0.0988024 ; 0.0754717 ; 0.0833333 ; 0.0384615 ; 0.0860534 ; 0.0340909 ; 0.104265 ; 0.0645161 ; 0.0295858 ; 1 ; 0.0218579 ; 0.0860927 ; 0.0941704
C6 ; 0.122222 ; 0.162667 ; 0.111111 ; 0.0586207 ; 0.195846 ; 0.0726644 ; 0.097561 ; 0.116667 ; 0.178771 ; 0.0218579 ; 1 ; 0.13354 ; 0.142276
C7 ; 0.335784 ; 0.302483 ; 0.209115 ; 0.269122 ; 0.28 ; 0.249307 ; 0.174286 ; 0.155367 ; 0.11746 ; 0.0860927 ; 0.13354 ; 1 ; 0.175487
C8 ; 0.164141 ; 0.235589 ; 0.183871 ; 0.12 ; 0.179487 ; 0.15047 ; 0.135417 ; 0.113014 ; 0.107438 ; 0.0941704 ; 0.142276 ; 0.175487 ; 1
