X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
science bn:00069670n ; 0.125 ; 0.116541 ; 0.15 ; 0 ; 0.137652 ; 0 ; 0 ; 0.174497 ; 0.22449 ; 0 ; 0.193798 ; 0 ; 0
computer bn:00021464n ; 0.0785124 ; 0 ; 0.103261 ; 0.0942408 ; 0.0995671 ; 0 ; 0 ; 0 ; 0.1625 ; 0 ; 0.154545 ; 0 ; 0
statecharts bn:01128895n ; 0.209738 ; 0.169014 ; 0.215596 ; 0.215247 ; 0.179104 ; 0 ; 0 ; 0.22093 ; 0 ; 0 ; 0 ; 0.185328 ; 0
systems bn:15125301n ; 0 ; 0.172662 ; 0.151111 ; 0.167401 ; 0 ; 0.156098 ; 0.190789 ; 0 ; 0 ; 0.186992 ; 0 ; 0.194444 ; 0.178378
david harel bn:03178978n ; 0.0431034 ; 0 ; 0 ; 0 ; 0.0491071 ; 0 ; 0 ; 0.0840336 ; 0.121212 ; 0 ; 0.0909091 ; 0 ; 0
mathematics bn:00053823n ; 0.206349 ; 0.262987 ; 0.262745 ; 0 ; 0.264407 ; 0.195219 ; 0 ; 0 ; 0.145946 ; 0 ; 0.248731 ; 0.22973 ; 0.283105
state bn:00023236n ; 0 ; 0.0336134 ; 0.0467836 ; 0 ; 0 ; 0 ; 0 ; 0.0689655 ; 0 ; 0 ; 0 ; 0.0375587 ; 0
state machine bn:00212740n ; 0.243421 ; 0.273026 ; 0.245136 ; 0 ; 0.253378 ; 0 ; 0.163462 ; 0.204545 ; 0.193182 ; 0.131148 ; 0.21393 ; 0 ; 0.234513
diagrams bn:00026817n ; 0.271777 ; 0.218241 ; 0 ; 0.262097 ; 0.234483 ; 0.295455 ; 0.205263 ; 0.217391 ; 0 ; 0 ; 0 ; 0.233216 ; 0
communication bn:00021221n ; 0.0595745 ; 0 ; 0.079096 ; 0 ; 0.0614035 ; 0 ; 0 ; 0.0967742 ; 0 ; 0 ; 0 ; 0 ; 0.0869565
units bn:00021497n ; 0.311526 ; 0.295181 ; 0 ; 0.299296 ; 0.277778 ; 0.326848 ; 0.202532 ; 0.212598 ; 0 ; 0 ; 0 ; 0.289809 ; 0.210526
language bn:00049910n ; 0.198556 ; 0.196491 ; 0 ; 0.212121 ; 0.212687 ; 0.247525 ; 0.232704 ; 0 ; 0.0789474 ; 0 ; 0 ; 0.201521 ; 0
behavior bn:00009657n ; 0.0349345 ; 0.0336134 ; 0 ; 0.0451977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.137931 ; 0 ; 0 ; 0
complex bn:00100148a ; 0.198556 ; 0.196491 ; 0 ; 0.212121 ; 0.212687 ; 0.247525 ; 0.232704 ; 0 ; 0.0789474 ; 0 ; 0 ; 0.201521 ; 0
complex system bn:03086504n ; 0 ; 0.0580913 ; 0 ; 0 ; 0.0575221 ; 0 ; 0.0891089 ; 0 ; 0 ; 0 ; 0.0980392 ; 0 ; 0.0888889
problem bn:00048242n ; 0 ; 0.0578512 ; 0.0738636 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.151515 ; 0 ; 0.0547945 ; 0.080292
reactive systems bn:02824399n ; 0.1 ; 0.0790514 ; 0 ; 0 ; 0.0753138 ; 0 ; 0 ; 0.126866 ; 0 ; 0.177215 ; 0 ; 0.0877193 ; 0
example bn:00032100n ; 0.129555 ; 0.0992366 ; 0 ; 0.140704 ; 0.114754 ; 0.170588 ; 0 ; 0.185714 ; 0 ; 0 ; 0 ; 0 ; 0
automobiles bn:00007309n ; 0.0349345 ; 0.0336134 ; 0 ; 0 ; 0.036036 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0375587 ; 0
networks bn:00024712n ; 0.0177778 ; 0 ; 0.0239521 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
kind bn:00035907n ; 0 ; 0 ; 0.0121212 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0363636 ; 0 ; 0 ; 0 ; 0
way bn:00033729n ; 0 ; 0 ; 0.0837989 ; 0.0869565 ; 0.0652174 ; 0.0955414 ; 0 ; 0.120968 ; 0 ; 0 ; 0 ; 0 ; 0
time bn:00077270n ; 0 ; 0.218121 ; 0.218107 ; 0.212851 ; 0.226148 ; 0.207048 ; 0 ; 0 ; 0 ; 0 ; 0.222222 ; 0.251852 ; 0.25
simulation bn:00021496n ; 0.0349345 ; 0 ; 0.0467836 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.137931 ; 0 ; 0.0375587 ; 0
set bn:00070697n ; 0.108871 ; 0 ; 0.112821 ; 0 ; 0.107438 ; 0.140351 ; 0.208696 ; 0 ; 0 ; 0 ; 0 ; 0.126087 ; 0
output bn:00036821n ; 0.145098 ; 0.144487 ; 0 ; 0 ; 0.126482 ; 0 ; 0.164179 ; 0.147436 ; 0.137615 ; 0.152381 ; 0 ; 0 ; 0.142012
information bn:00046705n ; 0.100806 ; 0.0972763 ; 0.125654 ; 0.121827 ; 0 ; 0 ; 0.17094 ; 0 ; 0 ; 0 ; 0 ; 0.112554 ; 0
tool bn:00077585n ; 0.177778 ; 0.159574 ; 0.187215 ; 0.20362 ; 0 ; 0.220513 ; 0 ; 0.23494 ; 0 ; 0 ; 0 ; 0.198413 ; 0
number bn:00058285n ; 0.0508475 ; 0 ; 0.0734463 ; 0.0710383 ; 0.0711111 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.106796 ; 0 ; 0
state transition bn:03348716n ; 0.110672 ; 0 ; 0.14359 ; 0.150754 ; 0.122951 ; 0.16185 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.137339 ; 0
nature bn:00057017n ; 0.0675105 ; 0.0650407 ; 0.0893855 ; 0.0864865 ; 0.0695652 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
triggering bn:00082306v ; 0.119522 ; 0.115385 ; 0.14359 ; 0.139303 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.137339 ; 0.181818
hierarchical bn:00104156a ; 0.0349345 ; 0 ; 0 ; 0 ; 0 ; 0.0536913 ; 0.0860215 ; 0 ; 0 ; 0 ; 0 ; 0.0375587 ; 0
orthogonality bn:00059586n ; 0.11336 ; 0.100775 ; 0.142105 ; 0 ; 0.107438 ; 0 ; 0 ; 0.157143 ; 0 ; 0 ; 0 ; 0 ; 0.157895
main bn:00099598a ; 0 ; 0.0650407 ; 0 ; 0.0864865 ; 0.0695652 ; 0.101911 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0723982 ; 0
possible bn:00108829a ; 0.198556 ; 0.196491 ; 0 ; 0.212121 ; 0.212687 ; 0.247525 ; 0.232704 ; 0 ; 0.0789474 ; 0 ; 0 ; 0.201521 ; 0
broadcast bn:00013234n ; 0.0958333 ; 0.0793651 ; 0.102151 ; 0 ; 0.0756303 ; 0 ; 0 ; 0.12782 ; 0 ; 0.15 ; 0 ; 0 ; 0
semantics bn:00070404n ; 0 ; 0.177778 ; 0.172897 ; 0 ; 0 ; 0.139303 ; 0 ; 0.187879 ; 0.175 ; 0 ; 0.190476 ; 0.135659 ; 0.193182
concept bn:00021547n ; 0.182156 ; 0.172043 ; 0.203704 ; 0.198198 ; 0.169173 ; 0 ; 0.221477 ; 0 ; 0 ; 0 ; 0 ; 0.188976 ; 0
occurring bn:00085337v ; 0.0991736 ; 0.0869565 ; 0.11828 ; 0.108808 ; 0.102128 ; 0 ; 0 ; 0 ; 0.152941 ; 0 ; 0 ; 0 ; 0
america bn:00003341n ; 0.162162 ; 0.139706 ; 0 ; 0.15814 ; 0.171315 ; 0 ; 0 ; 0.18239 ; 0 ; 0 ; 0.176056 ; 0.153846 ; 0
achieved bn:00082226v ; 0.0349345 ; 0.0336134 ; 0 ; 0.0451977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0615385
automata bn:00007371n ; 0.0683761 ; 0.0528455 ; 0 ; 0.076087 ; 0.0611354 ; 0 ; 0 ; 0.104839 ; 0 ; 0 ; 0 ; 0 ; 0
c d bn:00016915n ; 0.0635593 ; 0 ; 0 ; 0.0756757 ; 0 ; 0.089172 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0730594 ; 0.101449
sec bn:00068672n ; 0.0264317 ; 0.0254237 ; 0 ; 0 ; 0.0272727 ; 0 ; 0 ; 0 ; 0.0655738 ; 0 ; 0 ; 0 ; 0
history bn:00044268n ; 0.10757 ; 0.121094 ; 0 ; 0 ; 0.119835 ; 0.125 ; 0.20339 ; 0 ; 0 ; 0.163043 ; 0.0992366 ; 0 ; 0
effect bn:00021961n ; 0 ; 0.0661157 ; 0 ; 0.0706522 ; 0.0567686 ; 0 ; 0.118812 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0948905
require bn:00091028v ; 0.133333 ; 0 ; 0.175355 ; 0.165138 ; 0.181818 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.211268 ; 0.164659 ; 0.217647
determinism bn:00026654n ; 0.0177778 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0357143 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
simultaneous bn:00099916a ; 0.0264317 ; 0 ; 0 ; 0 ; 0.0272727 ; 0 ; 0 ; 0 ; 0.0655738 ; 0 ; 0 ; 0 ; 0.046875
application bn:00005095n ; 0.176471 ; 0 ; 0.196347 ; 0.229358 ; 0.176692 ; 0.230769 ; 0 ; 0.232143 ; 0 ; 0 ; 0 ; 0.178295 ; 0
possibility bn:00045632n ; 0.209738 ; 0.169014 ; 0.215596 ; 0.215247 ; 0.179104 ; 0 ; 0 ; 0.22093 ; 0 ; 0 ; 0 ; 0.185328 ; 0
light bn:00051108n ; 0.0595745 ; 0 ; 0 ; 0.0765027 ; 0 ; 0.0764331 ; 0 ; 0 ; 0 ; 0.181818 ; 0 ; 0.0639269 ; 0
second bn:00095974a ; 0.129771 ; 0.13806 ; 0 ; 0.156398 ; 0.17004 ; 0 ; 0.176471 ; 0 ; 0 ; 0 ; 0.157143 ; 0.152263 ; 0
merely bn:00114626r ; 0.0550847 ; 0.0530612 ; 0 ; 0.0765027 ; 0 ; 0 ; 0.118812 ; 0 ; 0 ; 0 ; 0 ; 0.0639269 ; 0
reg bn:01922794n ; 0.0045045 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
timers bn:00077309n ; 0.00896861 ; 0 ; 0 ; 0 ; 0 ; 0.013986 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
syntax bn:00062118n ; 0.102041 ; 0.0984252 ; 0 ; 0 ; 0.0958333 ; 0.130952 ; 0 ; 0.145985 ; 0 ; 0 ; 0 ; 0 ; 0.125
substates bn:00964536n ; 0.047619 ; 0.0458333 ; 0 ; 0 ; 0.0491071 ; 0 ; 0.0927835 ; 0 ; 0.0724638 ; 0 ; 0 ; 0 ; 0
conditional bn:00100214a ; 0.0045045 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
defined bn:00086465v ; 0.176471 ; 0 ; 0.196347 ; 0.229358 ; 0.176692 ; 0.230769 ; 0 ; 0.232143 ; 0 ; 0 ; 0 ; 0.178295 ; 0
formal syntax bn:01042120n ; 0.0349345 ; 0.0336134 ; 0 ; 0.0451977 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0375587 ; 0
operational semantics bn:02057536n ; 0.0045045 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
definition bn:00025928n ; 0.229167 ; 0.222222 ; 0.248945 ; 0.268908 ; 0.243728 ; 0.256881 ; 0 ; 0 ; 0.113772 ; 0 ; 0 ; 0.251852 ; 0
condition c bn:00675915n ; 0.0045045 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
subset bn:00074971n ; 0.0177778 ; 0 ; 0 ; 0.0231214 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
management bn:00053116n ; 0.0177778 ; 0 ; 0 ; 0 ; 0.0183486 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
higraphs bn:01691263n ; 0.0350877 ; 0.0294118 ; 0 ; 0 ; 0.0315315 ; 0 ; 0 ; 0.0603448 ; 0 ; 0 ; 0 ; 0 ; 0
finite bn:00102992a ; 0.0177778 ; 0.017094 ; 0 ; 0.0231214 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
new york bn:00041611n ; 0.0920502 ; 0 ; 0 ; 0.0885417 ; 0 ; 0 ; 0.136364 ; 0.0962963 ; 0 ; 0.216216 ; 0 ; 0.0888889 ; 0
automata theory bn:00152075n ; 0.00896861 ; 0 ; 0 ; 0 ; 0.00925926 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
entity bn:00031027n ; 0 ; 0.00862069 ; 0 ; 0 ; 0.00925926 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
types bn:00016413n ; 0 ; 0.101562 ; 0 ; 0.121827 ; 0.103734 ; 0.142012 ; 0.17094 ; 0 ; 0 ; 0 ; 0 ; 0.107759 ; 0
multiple bn:00107028a ; 0 ; 0.102767 ; 0 ; 0.106599 ; 0.109705 ; 0.12426 ; 0 ; 0 ; 0 ; 0 ; 0.142857 ; 0.10917 ; 0
composite bn:00100155a ; 0 ; 0.00862069 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.016129
sequence bn:00070574n ; 0 ; 0.017094 ; 0.0239521 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
large number bn:14223782n ; 0 ; 0.017094 ; 0 ; 0 ; 0 ; 0.0275862 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
goal bn:00030721n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00704225 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
scenario bn:01190125n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0113636 ; 0 ; 0
city bn:03335997n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00485437 ; 0
workflows bn:00081578n ; 0 ; 0 ; 0.0121212 ; 0 ; 0.00925926 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
plant bn:00035324n ; 0 ; 0 ; 0.00609756 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
transition state bn:03731398n ; 0 ; 0 ; 0.0121212 ; 0 ; 0.00925926 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
strategy bn:00069579n ; 0 ; 0 ; 0 ; 0 ; 0.00925926 ; 0 ; 0.0229885 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
police bn:00022026n ; 0 ; 0 ; 0.0121212 ; 0 ; 0.00925926 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
transducer bn:00077966n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00485437 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
current bn:00096401a ; 0 ; 0 ; 0 ; 0.0702703 ; 0.0657895 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.126214 ; 0.0636364 ; 0.10219
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0.0116959 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00966184 ; 0
bit bn:00010731n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0275862 ; 0.0449438 ; 0 ; 0 ; 0 ; 0 ; 0.0191388 ; 0
include bn:00089662v ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
logical value bn:00855623n ; 0 ; 0 ; 0 ; 0.00588235 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gate bn:00037487n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00485437 ; 0
flip-flop bn:00035248n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00485437 ; 0
summary bn:00075142n ; 0 ; 0 ; 0 ; 0.039548 ; 0 ; 0 ; 0 ; 0 ; 0.114754 ; 0 ; 0.0851064 ; 0 ; 0.0538462
