Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;7;Objects;0;13;
0;7;Attributes;0;13;A1;A2;A3;A4;A5;C1;C2;C3;C4;C5;C6;C7;C8;
1;6;Objects;1;6;computer bn:00021464n;
1;6;Attributes;1;6;A1;A3;A4;A5;C4;C6;
2;4;Objects;1;4;statecharts bn:01128895n;
2;4;Attributes;1;4;A2;A4;C3;C7;
3;5;Objects;1;6;systems bn:15125301n;
3;5;Attributes;1;6;A3;A4;C1;C2;C7;C8;
4;7;Objects;1;8;state machine bn:00212740n;
4;7;Attributes;1;8;A1;A2;A3;A5;C3;C4;C6;C8;
5;6;Objects;1;6;diagrams bn:00026817n;
5;6;Attributes;1;6;A1;A4;A5;C1;C3;C7;
6;4;Objects;1;4;behavior bn:00009657n;
6;4;Attributes;1;4;A1;A2;A4;C5;
7;5;Objects;1;5;problem bn:00048242n;
7;5;Attributes;1;5;A2;A3;C5;C7;C8;
8;6;Objects;1;6;example bn:00032100n;
8;6;Attributes;1;6;A1;A2;A4;A5;C1;C3;
9;5;Objects;1;5;way bn:00033729n;
9;5;Attributes;1;5;A3;A4;A5;C1;C3;
10;4;Objects;1;4;simulation bn:00021496n;
10;4;Attributes;1;4;A1;A3;C5;C7;
11;6;Objects;1;6;set bn:00070697n;
11;6;Attributes;1;6;A1;A3;A5;C1;C2;C7;
12;5;Objects;1;5;output bn:00036821n;
12;5;Attributes;1;5;A1;A2;A5;C2;C8;
13;6;Objects;1;6;state transition bn:03348716n;
13;6;Attributes;1;6;A1;A3;A4;A5;C1;C7;
14;6;Objects;1;6;triggering bn:00082306v;
14;6;Attributes;1;6;A1;A2;A3;A4;C7;C8;
15;5;Objects;1;8;semantics bn:00070404n;
15;5;Attributes;1;8;A2;A3;C1;C3;C4;C6;C7;C8;
16;6;Objects;1;7;concept bn:00021547n;
16;6;Attributes;1;7;A1;A2;A3;A4;A5;C2;C7;
17;5;Objects;1;5;effect bn:00021961n;
17;5;Attributes;1;5;A2;A4;A5;C2;C8;
18;6;Objects;1;7;second bn:00095974a;
18;6;Attributes;1;7;A1;A2;A4;A5;C2;C6;C7;
19;5;Objects;1;5;substates bn:00964536n;
19;5;Attributes;1;5;A1;A2;A5;C2;C4;
20;3;Objects;1;3;stateflow bn:03369007n;
20;3;Attributes;1;3;A5;C5;C7;
21;3;Objects;1;3;simple bn:00098053a;
21;3;Attributes;1;3;C2;C5;C7;
22;6;Objects;2;7;science bn:00069670n;state machine bn:00212740n;
22;6;Attributes;2;7;A1;A2;A3;A5;C3;C4;C6;
23;5;Objects;2;5;computer bn:00021464n;number bn:00058285n;
23;5;Attributes;2;5;A1;A3;A4;A5;C6;
24;3;Objects;2;3;statecharts bn:01128895n;diagrams bn:00026817n;
24;3;Attributes;2;3;A4;C3;C7;
25;4;Objects;2;4;systems bn:15125301n;set bn:00070697n;
25;4;Attributes;2;4;A3;C1;C2;C7;
26;4;Objects;2;4;systems bn:15125301n;state transition bn:03348716n;
26;4;Attributes;2;4;A3;A4;C1;C7;
27;4;Objects;2;4;systems bn:15125301n;triggering bn:00082306v;
27;4;Attributes;2;4;A3;A4;C7;C8;
28;4;Objects;2;4;systems bn:15125301n;semantics bn:00070404n;
28;4;Attributes;2;4;A3;C1;C7;C8;
29;4;Objects;2;4;systems bn:15125301n;concept bn:00021547n;
29;4;Attributes;2;4;A3;A4;C2;C7;
30;3;Objects;2;3;systems bn:15125301n;effect bn:00021961n;
30;3;Attributes;2;3;A4;C2;C8;
31;3;Objects;2;3;systems bn:15125301n;interaction diagram bn:02571962n;
31;3;Attributes;2;3;C2;C7;C8;
32;6;Objects;2;6;state machine bn:00212740n;orthogonality bn:00059586n;
32;6;Attributes;2;6;A1;A2;A3;A5;C3;C8;
33;5;Objects;2;6;state machine bn:00212740n;semantics bn:00070404n;
33;5;Attributes;2;6;A2;A3;C3;C4;C6;C8;
34;5;Objects;2;5;diagrams bn:00026817n;example bn:00032100n;
34;5;Attributes;2;5;A1;A4;A5;C1;C3;
35;5;Objects;2;5;diagrams bn:00026817n;state transition bn:03348716n;
35;5;Attributes;2;5;A1;A4;A5;C1;C7;
36;3;Objects;2;3;diagrams bn:00026817n;semantics bn:00070404n;
36;3;Attributes;2;3;C1;C3;C7;
37;3;Objects;2;3;diagrams bn:00026817n;determinism bn:00026654n;
37;3;Attributes;2;3;A1;C3;C7;
38;2;Objects;2;2;behavior bn:00009657n;problem bn:00048242n;
38;2;Attributes;2;2;A2;C5;
39;2;Objects;2;2;behavior bn:00009657n;simulation bn:00021496n;
39;2;Attributes;2;2;A1;C5;
40;3;Objects;2;3;problem bn:00048242n;simulation bn:00021496n;
