X ; statecharts bn:01128895n ; state bn:00023236n ; kind bn:00035907n ; history bn:00044268n ; police bn:00022026n ; code bn:00020354n ; traffic light bn:00074441n ; autonomous bn:00097830a
statecharts bn:01128895n ; 1 ; 0.5 ; 0.111111 ; 0.25 ; 0.125 ; 0.285714 ; 0.571429 ; 0.125
state bn:00023236n ; 0.5 ; 1 ; 0.142857 ; 0.333333 ; 0.166667 ; 0.166667 ; 0.285714 ; 0.166667
kind bn:00035907n ; 0.111111 ; 0.142857 ; 1 ; 0.2 ; 0.666667 ; 0.25 ; 0.166667 ; 0.25
history bn:00044268n ; 0.25 ; 0.333333 ; 0.2 ; 1 ; 0.25 ; 0.25 ; 0.166667 ; 0.25
police bn:00022026n ; 0.125 ; 0.166667 ; 0.666667 ; 0.25 ; 1 ; 0.333333 ; 0.2 ; 0.333333
code bn:00020354n ; 0.285714 ; 0.166667 ; 0.25 ; 0.25 ; 0.333333 ; 1 ; 0.5 ; 0.333333
traffic light bn:00074441n ; 0.571429 ; 0.285714 ; 0.166667 ; 0.166667 ; 0.2 ; 0.5 ; 1 ; 0.2
autonomous bn:00097830a ; 0.125 ; 0.166667 ; 0.25 ; 0.25 ; 0.333333 ; 0.333333 ; 0.2 ; 1
