X ; A1 ; A2 ; A3 ; A4 ; C3 ; C4 ; C5 ; C7
statecharts bn:01128895n ; 0 ; 0.230769 ; 0 ; 0.230769 ; 0 ; 0 ; 0 ; 0.307692
state bn:00023236n ; 0 ; 0.230769 ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0.230769
kind bn:00035907n ; 0 ; 0 ; 0.153846 ; 0 ; 0 ; 0.0769231 ; 0 ; 0
history bn:00044268n ; 0.0769231 ; 0.153846 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
police bn:00022026n ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0 ; 0 ; 0
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0769231 ; 0 ; 0 ; 0 ; 0
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0.153846 ; 0 ; 0 ; 0 ; 0.153846
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0769231 ; 0
