X ; A1 ; A2 ; A3 ; A4 ; A5 ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8
code bn:00020354n ; 0 ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
traffic light bn:00074441n ; 0 ; 0 ; 0 ; 0.0307692 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0298507 ; 0
bit bn:00010731n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0681818 ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0.0588235 ; 0
include bn:00089662v ; 0 ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
logical value bn:00855623n ; 0 ; 0 ; 0 ; 0.015625 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
gate bn:00037487n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
flip-flop bn:00035248n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
autonomous bn:00097830a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0833333 ; 0 ; 0 ; 0
stateflow bn:03369007n ; 0 ; 0 ; 0 ; 0 ; 0.0375 ; 0 ; 0 ; 0 ; 0 ; 0.2 ; 0 ; 0.0588235 ; 0
red light bn:00066676n ; 0 ; 0 ; 0 ; 0 ; 0.012987 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
composite states bn:00892979n ; 0 ; 0 ; 0 ; 0 ; 0.025641 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0526316
inner bn:00105133a ; 0 ; 0 ; 0 ; 0 ; 0.012987 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
deep bn:00101054a ; 0 ; 0 ; 0 ; 0 ; 0.012987 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
simple bn:00098053a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0 ; 0 ; 0.2 ; 0 ; 0.0588235 ; 0
atomic bn:00097696a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.05 ; 0 ; 0
interaction diagram bn:02571962n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.121212 ; 0 ; 0 ; 0 ; 0 ; 0.057971 ; 0.1
activity diagrams bn:02627321n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0333333 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
deterministic finite state automata bn:03499526n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.047619 ; 0 ; 0 ; 0 ; 0.0298507 ; 0
superstate bn:03656095n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.027027
fsa bn:03013778n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
basic bn:00098103a ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
fsms bn:03431506n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
state actions bn:00955439n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0151515 ; 0
