X;C1;C2;C3;C4;C5;C6;C7;C8;C9
page web;0;0;0.0851064;0;0.0733945;0.0776699;0;0.148148;0
navigateur;0;0.275229;0.284553;0;0.253623;0.314961;0.255814;0.282609;0.276423
serveur web;0;0.242424;0.245614;0.26;0.217054;0.227642;0;0;0.226087
fichier;0.133333;0;0;0;0.123894;0.12037;0;0.16129;0.14433
client;0.0634921;0;0.0444444;0.0540541;0;0;0;0;0
base de donnée;0;0;0.0752688;0.0769231;0.0747664;0;0.136364;0;0
donnée;0;0.17284;0.14;0.139535;0.141593;0;0.230769;0;0
php;0.213333;0;0.156863;0.186047;0;0.144144;0;0;0.158416
code;0.272727;0.27619;0;0.268519;0.292308;0.285714;0.157303;0;0.235772
texte;0;0.324324;0.31746;0.293103;0.321168;0.296296;0.26087;0;0.240602
concerner;0;0;0.14;0.139535;0.141593;0.12844;0.230769;0;0
commentaire;0.213483;0;0.216216;0.239583;0.209677;0;0;0.217949;0.240741
délimiter;0;0;0.0851064;0.102564;0;0.0776699;0;0.148148;0
fois;0.285714;0.336449;0.306452;0;0.273381;0.325581;0.191489;0;0.248062
url;0.213333;0;0.156863;0.186047;0.136752;0;0;0;0.158416
case à cocher;0.119403;0;0;0.102564;0;0.0776699;0;0;0.0860215
post;0;0.168675;0.148515;0;0.119658;0.146789;0;0;0.138614
nombre;0;0;0;0.0769231;0.0747664;0;0.136364;0.132075;0
text;0.314607;0.262626;0.252174;0.254902;0.251969;0.224;0;0;0
langage;0.302752;0.260504;0.330709;0;0.304965;0.358779;0;0.240385;0.344
zones;0;0;0.0227273;0;0;0.0206186;0;0;0
utilisateur;0;0;0.156863;0.186047;0.136752;0.144144;0;0;0.158416
case;0.186667;0.168675;0.148515;0;0;0.146789;0;0;0.138614
associer;0;0;0.0851064;0;0.0733945;0.0776699;0;0;0.0860215
personne;0;0;0.137255;0.162791;0.12931;0;0;0.225806;0.15
méthode post;0;0.181818;0.171429;0;0;0.178571;0.177419;0.185714;0.173077
fermeture;0.316239;0;0.350746;0.352459;0.342466;0.319444;0;0.293578;0.384615
machine;0;0;0.0444444;0;0.0380952;0.040404;0;0;0
mysql;0;0;0.0851064;0.102564;0.0733945;0.0776699;0;0;0
salaire;0;0;0;0;0;0;0;0.0212766;0
jour;0.0634921;0;0.0444444;0;0;0.040404;0;0;0
programmation;0.287356;0.212121;0;0.242424;0.222222;0.233333;0;0;0.210526
site;0.186667;0.168675;0.148515;0.162791;0.13913;0;0;0;0
france;0;0.0147059;0;0;0;0;0;0;0
langage de script;0;0.056338;0;0;0.0380952;0.040404;0;0;0
interpréter;0;0;0;0;0.0194175;0;0;0.0416667;0
côté serveur;0;0;0.0851064;0;0.0733945;0.0776699;0;0;0.0860215
serveur;0;0;0.241379;0.254902;0.223077;0.224;0;0.333333;0.254386
côté client;0;0;0.0444444;0;0.0380952;0.040404;0;0;0
typage;0;0;0.0851064;0;0.0733945;0.0776699;0.181818;0;0
foreach;0;0.242424;0.245614;0.26;0.217054;0.227642;0;0;0.226087
pointeur;0;0;0.0114943;0;0;0;0;0;0
list;0;0.056338;0.0444444;0;0;0;0;0;0.0449438
casse;0;0;0;0;0.00980392;0;0;0;0
méthode;0;0.216981;0;0.233645;0.263566;0.246032;0.225;0.255814;0.235294
cle;0;0.106667;0.0851064;0.102564;0;0;0;0;0.0860215
mot;0;0.168675;0.148515;0.162791;0.13913;0.126126;0;0;0
timestamp;0;0.056338;0;0;0.0380952;0.040404;0;0;0
session;0;0;0.0851064;0.102564;0.0733945;0.0776699;0;0;0
chaîne;0;0;0;0;0.0733945;0.0776699;0;0.148148;0.0860215
opérateur;0;0;0.0114943;0;0;0;0;0;0
classe;0;0;0.0851064;0;0.0733945;0.0776699;0;0;0.0860215
moteur;0;0;0.0444444;0;0.0380952;0.040404;0;0;0
xml;0;0;0.0227273;0;0;0.0206186;0;0;0
entête;0;0;0.0444444;0;0;0.040404;0;0;0.0449438
echo;0;0;0;0;0;0.0104167;0;0;0
files;0;0;0;0;0;0.0206186;0.0526316;0;0
class;0;0;0;0;0.0194175;0;0;0;0.0229885
affiche;0;0;0.0444444;0.0540541;0;0.040404;0;0;0
configuration;0;0;0.0227273;0;0;0;0;0;0.0229885
insert;0;0;0.0444444;0;0;0;0;0.08;0.0449438
varchar;0;0;0.0227273;0;0.0194175;0;0;0;0
transaction;0;0;0.0227273;0;0.0194175;0;0;0;0
valeur;0;0;0.0114943;0;0;0;0;0;0
visiteur;0;0;0.0444444;0;0;0.040404;0;0.08;0
composer;0;0;0;0.0277778;0;0.0206186;0;0;0
doctype;0;0;0;0.0540541;0;0;0;0.08;0.0449438
mysqli;0;0;0;0;0.0194175;0;0;0;0.0229885
null;0;0;0;0;0.0194175;0;0;0;0.0229885
généralité;0;0;0;0;0;0.0104167;0;0;0
autre;0;0;0;0;0;0.0104167;0;0;0
avoir accès;0;0;0;0;0;0.0206186;0;0;0.0229885
bienvenue;0;0;0;0;0;0.0104167;0;0;0
paris;0;0;0;0;0;0;0;0;0.0116279
