X;C1;C2;C3;C4;C5;C6;C7;C8;C9
page web;0.0952381;0;0.08;0;0.0846561;0.101911;0;0.107383;0
page web statiques;0.00653595;0;0;0;0;0;0;0;0
navigateur;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
serveur web;0.27907;0.294686;0.237903;0.289216;0.275862;0.300493;0;0;0.275701
fichier;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
disque dur;0.025641;0;0;0;0;0.0275862;0.0373832;0;0
client;0.252427;0.242574;0.283186;0.248731;0.229075;0;0.251497;0.278075;0
client serveur;0.05;0;0;0;0.0441989;0.0536913;0;0;0.0506329
base de donnée;0.340081;0;0.359551;0.291498;0.375;0.327801;0.299539;0.305439;0.342857
donnée;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
ensemble;0.00653595;0;0;0;0;0;0;0;0
php;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
javascript;0.27907;0.294686;0.237903;0.289216;0.275862;0.300493;0;0;0.275701
perl;0.0892857;0;0.075;0.0961538;0.0851064;0;0;0;0.0903614
python;0.05;0;0.0416667;0;0.0441989;0.0536913;0;0;0
java;0.154696;0.141243;0.15311;0;0.138614;0.164706;0.185185;0;0
code;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
code source;0.025641;0;0;0;0.0225989;0.0275862;0;0;0
fichier texte;0.245098;0.235;0.265487;0.228426;0.233184;0.246154;0.227545;0;0
texte;0.361111;0.338645;0.409774;0.318725;0.38403;0.389121;0.300885;0;0.353175
mise en forme;0.012987;0;0;0.0140845;0;0;0;0;0
concerner;0.15;0;0.143541;0.133721;0.14;0.152941;0.17037;0;0
commentaire;0.268519;0.296117;0.233871;0.29703;0.277056;0;0;0.307692;0.271028
délimiter;0.173913;0.180791;0.148148;0.186047;0;0.184971;0;0.193939;0
affichage;0.361111;0.338645;0.409774;0.318725;0.38403;0.389121;0.300885;0;0.353175
gras;0.025641;0;0.0212766;0.0277778;0;0;0;0;0
fois;0.349398;0.305556;0.378277;0;0.362595;0.348548;0.310502;0.29918;0.352227
chemin;0.05;0;0;0;0.0441989;0.0536913;0;0;0.0506329
lien hypertextes;0.271429;0.27451;0;0.281407;0.252174;0.24878;0;0.258883;0.274038
url;0.143646;0;0.143541;0.133721;0.14;0;0.179104;0;0.145251
textuels;0.00653595;0;0;0;0;0;0;0;0
case à cocher;0.0952381;0.0993789;0;0.102564;0;0.101911;0;0;0.0963855
page web dynamique;0.012987;0;0;0;0;0.013986;0;0;0
post;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
champ de saisie;0.0952381;0.0993789;0;0.102564;0;0;0;0.107383;0.0963855
size;0.05;0;0.0416667;0;0.0441989;0;0;0.0567376;0
nombre;0.469136;0.447531;0.567901;0.432099;0.533951;0.435185;0.317901;0.410494;0.462963
text;0.397004;0.413127;0.354515;0.410156;0.417266;0.376426;0;0.382812;0.394737
