X;C1;C2;C3;C4;C5;C6;C7;C8;C9
page web;0;0;0.042328;0;0.0414508;0.0484848;0;0.0512821;0
page web statiques;0.00666667;0;0;0;0;0;0;0;0
navigateur;0;0.344828;0.346154;0.34749;0.36014;0.332103;0.368217;0.323308;0.374545
serveur web;0;0.167598;0.140845;0.169492;0.148837;0.15873;0;0;0.15122
fichier;0.244019;0;0.247863;0.22488;0.254237;0.235023;0.238095;0.269608;0
disque dur;0.0261438;0;0;0;0;0.0248447;0.0261438;0;0
client;0;0.0516129;0;0;0.0414508;0;0.0509554;0.0512821;0
client serveur;0.0509554;0;0;0;0.0414508;0.0484848;0;0;0.043956
base de donnée;0.244131;0;0.253165;0.248804;0.248963;0;0.255924;0.281553;0.239316
donnée;0.143646;0.158192;0.154589;0.16;0.135514;0;0.143646;0;0
ensemble;0.00666667;0;0;0;0;0;0;0;0
php;0.225352;0.263415;0.257511;0.253659;0.242678;0;0.236967;0;0.232759
javascript;0.265403;0.274038;0.230453;0.258373;0.267782;0.255708;0;0;0.247863
perl;0.0909091;0;0.0761421;0.0931677;0.08;0;0;0;0.0789474
python;0.0509554;0;0.042328;0;0.0414508;0.0484848;0;0;0
java;0.154696;0.156425;0.15311;0;0.139535;0.160428;0.154696;0;0
code;0.325843;0.385827;0.383513;0.330798;0.413043;0.345725;0.325843;0;0.353571
code source;0.0261438;0;0;0;0.021164;0.0248447;0;0;0
fichier texte;0.225962;0.246305;0.247826;0.22439;0.248927;0.223256;0.220096;0;0
texte;0;0.280193;0.240664;0.258373;0.267782;0.244344;0.265403;0;0.253219
mise en forme;0.013245;0;0;0.0136054;0;0;0;0;0
concerner;0;0;0.0765306;0.0869565;0.080402;0.0809249;0.0848485;0;0
commentaire;0.165746;0;0.140845;0.169492;0.148837;0;0;0.173184;0.145631
délimiter;0;0;0.042328;0.0522876;0;0.0484848;0;0.0512821;0
affichage;0.325843;0.385827;0.383513;0.330798;0.413043;0.345725;0.325843;0;0.353571
gras;0.0261438;0;0.0216216;0.0268456;0;0;0;0;0
fois;0.253521;0.267943;0.261603;0;0.241803;0.267281;0.253521;0;0.247863
chemin;0.0509554;0;0;0;0.0414508;0.0484848;0;0;0.043956
lien hypertextes;0.24878;0.221154;0;0.241379;0.221757;0.233645;0;0.214286;0.243363
url;0.0909091;0;0.0761421;0.0931677;0.08;0;0;0;0.0789474
textuels;0.00666667;0;0;0;0;0;0;0;0
case à cocher;0.0509554;0;0;0.0522876;0;0.0484848;0;0;0.043956
page web dynamique;0.013245;0;0;0;0;0.0125786;0;0;0
post;0.325843;0.385827;0.383513;0.330798;0.413043;0.345725;0.325843;0;0.353571
champ de saisie;0.0969697;0.0981595;0;0.0993789;0;0;0;0.097561;0.0842105
size;0.0509554;0;0.042328;0;0.0414508;0;0;0.0512821;0
nombre;0.0969697;0.0981595;0.0812183;0;0;0.0924855;0;0;0.0842105
text;0.161111;0.162921;0.136792;0.158192;0.150235;0.148148;0;0;0
vide;0.00666667;0;0;0;0;0;0;0;0
liste déroulante;0.0261438;0;0;0.0268456;0;0.0248447;0;0;0
sélectionner;0.013245;0;0;0;0;0.0125786;0;0;0
déclencher;0.013245;0;0.010929;0;0;0;0;0;0
réinitialisation;0.013245;0.0134228;0;0;0;0;0;0;0
langage;0.368217;0.324528;0.336806;0.34749;0.369718;0.362264;0;0.323308;0.374545
langage impératif;0.00666667;0;0;0;0;0;0;0;0
impératif;0.013245;0;0;0;0;0.0125786;0;0;0
zones;0.0509554;0;0.042328;0;0;0.0484848;0;0;0.043956
utilisateur;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
affectation;0.0848485;0.0858896;0.0820513;0;0;0.0872093;0.0848485;0;0
booléen;0.143646;0.158192;0.154589;0.16;0;0;0.143646;0.163842;0
réalité;0.013245;0;0;0;0;0.0125786;0;0;0
concatène;0.00666667;0;0;0;0;0;0;0;0
addition;0.0509554;0;0.042328;0;0;0.0484848;0;0;0.043956
soustraction;0.0261438;0;0;0;0;0.0248447;0;0;0.0224719
multiplié;0.00666667;0;0;0;0;0;0;0;0
modulo;0.0261438;0;0.0216216;0;0;0;0;0;0.0224719
égalité;0.0261438;0;0;0.0268456;0.021164;0;0;0;0
logiques;0.357414;0.319703;0.369718;0;0.332203;0.387833;0.357414;0.338346;0.379061
syntaxe;0.160221;0;0.13615;0.163842;0.149533;0.159574;0;0;0.146341
case;0.0969697;0.0981595;0.0812183;0;0;0.0924855;0;0;0.0842105
associer;0;0;0.042328;0;0.0414508;0.0484848;0;0;0.043956
personne;0;0;0.0812183;0.0993789;0.079602;0;0;0.097561;0.0842105
prenom;0.176796;0;0;0;0.147465;0.169312;0.176796;0.177778;0.15534
structure de contrôle;0.176796;0.178771;0.150235;0;0.147465;0.169312;0;0;0.15534
définition;0.160221;0;0.13615;0.163842;0.149533;0.159574;0;0;0.146341
initialiser;0.154696;0.156425;0.15311;0;0.139535;0.160428;0.154696;0;0
dépendre;0.0261438;0;0.0216216;0;0;0.0248447;0;0;0
méthode post;0.233333;0.235577;0.238298;0;0;0.24186;0.233333;0.246377;0.240175
fermeture;0.265403;0;0.235537;0.258373;0.267782;0.255708;0;0.272727;0.242553
passwd;0.013245;0;0;0;0.0106952;0;0;0;0
machine;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
mysql;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
salaire;0.013245;0;0;0;0;0;0;0.0133333;0
phase;0.0261438;0;0;0;0.021164;0.0248447;0;0;0
être utile;0.0261438;0;0.0216216;0;0;0.0248447;0;0;0
boucle while;0.0261438;0;0;0;0;0;0;0.0263158;0.0224719
jour;0.0261438;0;0.0216216;0;0;0.0248447;0;0;0
euro;0.013245;0;0;0;0;0.0125786;0;0;0
etc;0.0969697;0;0.0812183;0;0.079602;0.0924855;0;0;0.0842105
programmation;0.165746;0.167598;0;0.169492;0.148837;0.15873;0;0;0.15122
site;0.265403;0.274038;0.230453;0.258373;0.267782;0.255708;0;0;0.247863
détruire;0.0261438;0;0;0;0;0;0.0261438;0;0.0224719
second;0.0261438;0;0.0216216;0;0;0;0;0;0.0224719
ordinateur;0.0261438;0;0;0;0;0.0248447;0;0;0.0224719
université de rouen;0;0.00675676;0;0;0;0;0;0;0
france;0;0.0134228;0;0;0;0;0.013245;0;0
langage de programmation;0;0.0920245;0.0761421;0.0931677;0.08;0.0867052;0;0;0
évolué;0;0.00675676;0;0;0;0;0;0;0
crée;0;0.0134228;0;0;0;0.0125786;0;0;0
langage de script;0;0;0.010929;0;0;0;0.013245;0;0
interpréter;0;0;0;0;0.0106952;0;0;0.0133333;0
côté serveur;0;0;0.042328;0;0.0414508;0.0484848;0;0;0.043956
serveur;0;0;0.0812183;0.0993789;0.079602;0;0;0.097561;0.0842105
côté client;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
manuel;0;0.00675676;0;0;0;0;0;0;0
français;0;0.00675676;0;0;0;0;0;0;0
typage;0;0.0981595;0.0812183;0;0.079602;0.0924855;0.0969697;0;0
attention;0;0.0264901;0.0216216;0;0.021164;0;0;0;0
faute de frappe;0;0.00675676;0;0;0;0;0;0;0
entiers;0;0.0981595;0.0812183;0;0.079602;0;0.0969697;0;0.0842105
3.14;0;0.0134228;0;0;0.0106952;0;0;0;0
printf;0;0.0264901;0;0;0.021164;0;0;0;0.0224719
comparaison;0;0.0516129;0.042328;0;0;0;0;0.0512821;0.043956
switch;0;0.178771;0.150235;0.180791;0;0;0.176796;0.177778;0.15534
expr;0;0.00675676;0;0;0;0;0;0;0
spécifique;0;0.00675676;0;0;0;0;0;0;0
foreach;0;0.280193;0.240664;0.258373;0.267782;0.244344;0.265403;0;0.253219
pointeur;0;0.0134228;0.010929;0;0;0;0;0;0
list;0;0.0264901;0.0216216;0;0;0;0;0;0.0224719
inverse;0;0.00675676;0;0;0;0;0;0;0
trie;0;0.00675676;0;0;0;0;0;0;0
concaténation;0;0.0516129;0;0;0.0414508;0.0484848;0;0;0.043956
accès;0;0.00675676;0;0;0;0;0;0;0
strcmp;0;0.0134228;0.010929;0;0;0;0;0;0
trim;0;0.0981595;0.0812183;0;0.079602;0.0924855;0;0;0.0842105
casse;0;0.0134228;0;0;0.0106952;0;0;0;0
occurence;0;0.00675676;0;0;0;0;0;0;0
décompte;0;0.0264901;0.0216216;0;0;0.0248447;0;0;0
valeur de retour;0;0.0516129;0.042328;0;0;0.0484848;0;0;0.043956
passage par référence;0;0.0134228;0;0.0136054;0;0;0;0;0
traiter;0;0.00675676;0;0;0;0;0;0;0
méthode;0;0.229268;0;0.22549;0.223629;0.218605;0.239024;0.216346;0.234513
navigation;0;0.0134228;0;0.0136054;0;0;0;0;0
rouen;0;0.00675676;0;0;0;0;0;0;0
code postal;0;0.0134228;0;0;0;0.0125786;0;0;0
cle;0;0.0516129;0.042328;0.0522876;0;0;0;0;0.043956
mot;0;0.0920245;0.0761421;0.0931677;0.08;0.0867052;0;0;0
mot de passe;0;0.0516129;0.042328;0;0;0.0484848;0;0.0512821;0
rows;0;0.0264901;0;0;0;0.0248447;0;0;0.0224719
bouton radio;0;0.0134228;0;0;0;0.0125786;0;0;0
radio;0;0.0516129;0;0.0522876;0;0.0484848;0;0;0.043956
multiple;0;0.0134228;0;0;0;0;0;0;0.0113636
touche ctrl;0;0.00675676;0;0;0;0;0;0;0
transfert de fichier;0;0.00675676;0;0;0;0;0;0;0
fread;0;0.0264901;0.0216216;0.0268456;0;0;0;0;0
fin de fichier;0;0.0134228;0.010929;0;0;0;0;0;0
existence;0;0.0264901;0;0;0.021164;0.0248447;0;0;0
carte d’identité;0;0.00675676;0;0;0;0;0;0;0
mémoire vive;0;0.00675676;0;0;0;0;0;0;0
timestamp;0;0.0264901;0;0;0.021164;0.0248447;0;0;0
vouloir;0;0.0516129;0.042328;0;0.0414508;0.0484848;0;0;0
session;0;0.0920245;0.0761421;0.0931677;0.08;0.0867052;0;0;0
temps;0;0.280193;0.240664;0.258373;0.267782;0.244344;0.265403;0;0.253219
généralement;0;0.00675676;0;0;0;0;0;0;0
min;0;0.0134228;0;0;0;0.0125786;0;0;0
correct;0;0.0134228;0;0;0;0.0125786;0;0;0
exe;0;0.00675676;0;0;0;0;0;0;0
xhtml;0;0.0134228;0.010929;0;0;0;0;0;0
2.0;0;0.00675676;0;0;0;0;0;0;0
page;0;0;0.00549451;0;0;0;0;0;0
base;0;0;0.00549451;0;0;0;0;0;0
séparateur;0;0;0.010929;0;0;0.0125786;0;0;0
bloc;0;0;0.010929;0;0.0106952;0;0;0;0
portée;0;0;0.00549451;0;0;0;0;0;0
chaîne;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
supprimer;0;0;0.00549451;0;0;0;0;0;0
précédence;0;0;0.00549451;0;0;0;0;0;0
bits;0;0;0.010929;0;0.0106952;0;0;0;0
incrémentation;0;0;0.00549451;0;0;0;0;0;0
opérateur logiques;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
strftime;0;0;0.010929;0;0.0106952;0;0;0;0
phpmyadmin;0;0;0.0216216;0;0.021164;0;0;0;0.0224719
modifier;0;0;0.00549451;0;0;0;0;0;0
numériques;0;0;0.00549451;0;0;0;0;0;0
réels;0;0;0.010929;0;0;0.0125786;0;0;0
enum;0;0;0.00549451;0;0;0;0;0;0
time;0;0;0.0216216;0;0.021164;0;0.0261438;0;0
sql;0;0;0.0812183;0;0.079602;0.0924855;0;0.097561;0.0842105
innodb;0;0;0.010929;0;0;0;0;0;0.0113636
fulltext;0;0;0.00549451;0;0;0;0;0;0
séquence;0;0;0.042328;0;0;0.0484848;0;0.0512821;0.043956
fichier par;0;0;0.00549451;0;0;0;0;0;0
sortie;0;0;0.00549451;0;0;0;0;0;0
sortie standard;0;0;0.0216216;0.0268456;0.021164;0;0;0;0
ecriture;0;0;0.042328;0.0522876;0.0414508;0;0;0;0.043956
fermer;0;0;0.010929;0;0;0.0125786;0;0;0
système de fichiers;0;0;0.00549451;0;0;0;0;0;0
comparer;0;0;0.00549451;0;0;0;0;0;0
couleurs;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
rectangle;0;0;0.00549451;0;0;0;0;0;0
polygones;0;0;0.00549451;0;0;0;0;0;0
programmation objet;0;0;0.0216216;0;0.021164;0;0;0;0.0224719
opérateur;0;0;0.010929;0;0;0;0;0.0133333;0
classe;0;0;0.042328;0;0.0414508;0.0484848;0;0;0.043956
héritage;0;0;0.0812183;0;0.079602;0.0924855;0;0.097561;0.0842105
polymorphisme;0;0;0.010929;0;0;0;0;0;0.0113636
self;0;0;0.0216216;0;0.021164;0;0;0;0.0224719
constructeurs;0;0;0.0812183;0;0.079602;0.0924855;0;0.097561;0.0842105
destructeur;0;0;0.00549451;0;0;0;0;0;0
nouveauté;0;0;0.00549451;0;0;0;0;0;0
exceptions;0;0;0.00549451;0;0;0;0;0;0
sauvegarder;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
inspirer;0;0;0.00549451;0;0;0;0;0;0
langage c;0;0;0.0216216;0.0268456;0;0;0;0;0.0224719
rasmus lerdorf;0;0;0.010929;0;0.0106952;0;0;0;0
site personnel;0;0;0.00549451;0;0;0;0;0;0
interpreter;0;0;0.010929;0;0;0.0125786;0;0;0
contributeurs;0;0;0.00549451;0;0;0;0;0;0
juin;0;0;0.010929;0;0.0106952;0;0;0;0
zeev suraski;0;0;0.010929;0;0.0106952;0;0;0;0
modulaire;0;0;0.010929;0;0.0106952;0;0;0;0
extensible;0;0;0.00549451;0;0;0;0;0;0
supplémentaires;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
manquer;0;0;0.010929;0;0;0.0125786;0;0;0
cohérente;0;0;0.010929;0;0;0.0125786;0;0;0
moteur;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
zend;0;0;0.010929;0;0.0106952;0;0;0;0
zend engine;0;0;0.010929;0;0.0106952;0;0;0;0
mai;0;0;0.00549451;0;0;0;0;0;0
c++;0;0;0.042328;0.0522876;0.0414508;0.0484848;0;0;0
xml;0;0;0.010929;0;0;0.0125786;0;0;0
forum;0;0;0.00549451;0;0;0;0;0;0
messagerie;0;0;0.010929;0;0;0;0;0;0.0113636
commerce électronique;0;0;0.010929;0;0.0106952;0;0;0;0
banque;0;0;0.0216216;0.0268456;0;0.0248447;0;0;0
publication en ligne;0;0;0.00549451;0;0;0;0;0;0
lamp;0;0;0.0216216;0;0.021164;0;0;0;0.0224719
linux;0;0;0.042328;0;0.0414508;0.0484848;0;0;0.043956
incorporer;0;0;0.00549451;0;0;0;0;0;0
semblant;0;0;0.00549451;0;0;0;0;0;0
dédier;0;0;0.00549451;0;0;0;0;0;0
lire;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
vitesse;0;0;0.010929;0;0;0.0125786;0;0;0
côté;0;0;0.00549451;0;0;0;0;0;0
windows;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
vbscript;0;0;0.00549451;0;0;0;0;0;0
jscript;0;0;0.00549451;0;0;0;0;0;0
activex;0;0;0.00549451;0;0;0;0;0;0
portage;0;0;0.00549451;0;0;0;0;0;0
plate-forme;0;0;0.00549451;0;0;0;0;0;0
langage de programmation procédural;0;0;0.010929;0;0.0106952;0;0;0;0
procédural;0;0;0.00549451;0;0;0;0;0;0
nécessaire;0;0;0.0216216;0.0268456;0;0.0248447;0;0;0
unix;0;0;0.010929;0;0.0106952;0;0;0;0
mac;0;0;0.010929;0;0.0106952;0;0;0;0
distribution linux;0;0;0.010929;0;0.0106952;0;0;0;0
mode;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
répertoire personnel;0;0;0.00549451;0;0;0;0;0;0
complexe;0;0;0.0216216;0;0.021164;0.0248447;0;0;0
uvre;0;0;0.0216216;0.0268456;0;0.0248447;0;0;0
employer;0;0;0.010929;0;0.0106952;0;0;0;0
easyphp;0;0;0.00549451;0;0;0;0;0;0
coloration syntaxique;0;0;0.00549451;0;0;0;0;0;0
w3c;0;0;0.042328;0.0522876;0;0.0484848;0;0;0.043956
css;0;0;0.00549451;0;0;0;0;0;0
entête;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
mozilla;0;0;0.010929;0.0136054;0;0;0;0;0
galeon;0;0;0.00549451;0;0;0;0;0;0
konqueror;0;0;0.00549451;0;0;0;0;0;0
compatibles;0;0;0.00549451;0;0;0;0;0;0
bordélique;0;0;0.00549451;0;0;0;0;0;0
endroit;0;0;0.042328;0;0.0414508;0.0484848;0;0;0.043956
web;0;0;0.010929;0;0;0.0125786;0;0;0
souple;0;0;0.00549451;0;0;0;0;0;0
point-virgule;0;0;0.010929;0;0;0.0125786;0;0;0
sensible;0;0;0.042328;0.0522876;0.0414508;0.0484848;0;0;0
lettre;0;0;0.010929;0;0.0106952;0;0;0;0
contexte;0;0;0.00549451;0;0;0;0;0;0
transtypage;0;0;0.0216216;0.0268456;0;0.0248447;0;0;0
signe égal;0;0;0.00549451;0;0;0;0;0;0
sans;0;0;0.00549451;0;0;0;0;0;0
echo;0;0;0.010929;0;0;0.0125786;0;0;0
affiche;0;0;0.010929;0;0;0;0;0;0.0113636
globale;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
variable locale;0;0;0.010929;0;0;0;0.013245;0;0
locale;0;0;0.010929;0;0;0;0.013245;0;0
grand nombre;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
files;0;0;0;0;0;0.0125786;0.013245;0;0
upload;0;0;0.00549451;0;0;0;0;0;0
env;0;0;0.042328;0;0.0414508;0;0.0509554;0;0.043956
cache;0;0;0.010929;0;0.0106952;0;0;0;0
dynamique;0;0;0.00549451;0;0;0;0;0;0
ambiguïté;0;0;0.00549451;0;0;0;0;0;0
chaîne vide;0;0;0.010929;0;0;0.0125786;0;0;0
booléenne;0;0;0.00549451;0;0;0;0;0;0
architecture;0;0;0.010929;0;0.0106952;0;0;0;0
nombre à virgule flottante;0;0;0.0216216;0.0268456;0;0;0;0;0.0224719
puissance de 10;0;0;0.00549451;0;0;0;0;0;0
ascii;0;0;0.010929;0.0136054;0;0;0;0;0
unicode;0;0;0.00549451;0;0;0;0;0;0
échapper;0;0;0.00549451;0;0;0;0;0;0
lf;0;0;0.00549451;0;0;0;0;0;0
carriage return;0;0;0.00549451;0;0;0;0;0;0
cr;0;0;0.00549451;0;0;0;0;0;0
antislash;0;0;0.010929;0;0;0.0125786;0;0;0
notation octale;0;0;0.00549451;0;0;0;0;0;0
notation hexadécimale;0;0;0.00549451;0;0;0;0;0;0
hexadécimale;0;0;0.00549451;0;0;0;0;0;0
égal;0;0;0.042328;0.0522876;0;0.0484848;0;0;0.043956
valeur numérique;0;0;0.010929;0;0;0;0;0;0.0113636
numérique;0;0;0.0216216;0;0;0;0.0261438;0;0.0224719
val;0;0;0.00549451;0;0;0;0;0;0
table de hachage;0;0;0.010929;0.0136054;0;0;0;0;0
hachage;0;0;0.0216216;0.0268456;0.021164;0;0;0;0
pile;0;0;0.010929;0;0.0106952;0;0;0;0
séparer;0;0;0.010929;0;0.0106952;0;0;0;0
volée;0;0;0.00549451;0;0;0;0;0;0
class;0;0;0.0216216;0;0.021164;0;0;0;0.0224719
constantes;0;0;0.010929;0;0;0;0;0;0.0113636
casse;0;0;0.00549451;0;0;0;0;0;0
redéfinir;0;0;0.00549451;0;0;0;0;0;0
integer;0;0;0.042328;0;0.0414508;0.0484848;0;0.0512821;0
gauche;0;0;0.00549451;0;0;0;0;0;0
droite;0;0;0.010929;0.0136054;0;0;0;0;0
croître;0;0;0.00549451;0;0;0;0;0;0
associativité;0;0;0.00549451;0;0;0;0;0;0
division;0;0;0.0216216;0;0;0.0248447;0;0;0.0224719
multiplication;0;0;0.0812183;0.0993789;0.079602;0.0924855;0;0;0.0842105
division par deux;0;0;0.00549451;0;0;0;0;0;0
deux;0;0;0.010929;0;0;0.0125786;0;0;0
message;0;0;0.0216216;0;0.021164;0;0;0.0263158;0
oeil;0;0;0.00549451;0;0;0;0;0;0
affiche;0;0;0.0216216;0.0268456;0;0.0248447;0;0;0
