;C1.csv;C10.csv;C2.csv;C4.csv;C7.csv;C8.csv;C9.csv
page web bn:00080778n;0; 0; 1; 1; 1; 0; 1; 
page web statiques bn:03576307n;0; 1; 1; 1; 1; 1; 1; 
serveur web bn:02705179n;0; 0; 0; 0; 1; 1; 0; 
disque dur bn:00073359n;0; 0; 1; 1; 0; 1; 1; 
client bn:00019764n;0; 0; 0; 0; 0; 0; 1; 
client serveur bn:03496583n;0; 0; 1; 1; 1; 1; 0; 
base de donnée bn:00025333n;0; 0; 1; 0; 0; 0; 0; 
ensemble bn:00114766r;0; 0; 1; 1; 1; 1; 1; 
javascript bn:00055423n;0; 0; 0; 0; 1; 1; 0; 
perl bn:01723165n;0; 0; 1; 0; 1; 1; 0; 
python bn:01713224n;0; 1; 1; 1; 1; 1; 1; 
java bn:00048043n;0; 0; 0; 1; 0; 1; 1; 
code source bn:00072947n;0; 1; 1; 1; 1; 1; 1; 
fichier texte bn:00028018n;0; 1; 0; 0; 0; 1; 1; 
texte bn:00076732n;0; 0; 0; 0; 0; 1; 0; 
mise en forme bn:01681906n;0; 1; 1; 0; 1; 1; 1; 
concerner bn:00083240v;0; 0; 1; 0; 0; 1; 1; 
commentaire bn:00020978n;0; 0; 0; 0; 1; 0; 0; 
délimiter bn:00086464v;0; 0; 0; 0; 1; 0; 1; 
affichage bn:00010421n;0; 0; 0; 0; 0; 1; 0; 
gras bn:00011848n;0; 1; 1; 0; 1; 1; 1; 
fois bn:00032768n;0; 0; 0; 1; 0; 0; 0; 
chemin bn:03131414n;0; 0; 1; 1; 1; 1; 0; 
lien hypertextes bn:00045513n;0; 0; 0; 0; 1; 0; 0; 
url bn:00079080n;0; 0; 1; 0; 0; 1; 0; 
textuels bn:00111786a;0; 1; 1; 1; 1; 1; 1; 
case à cocher bn:03157691n;0; 1; 0; 0; 1; 1; 0; 
page web dynamique bn:00937946n;0; 1; 1; 1; 1; 1; 1; 
champ de saisie bn:03113401n;0; 0; 0; 0; 1; 0; 0; 
size bn:03645138n;0; 0; 1; 1; 1; 0; 1; 
text bn:14981519n;0; 0; 0; 0; 1; 0; 0; 
vide bn:00087578v;0; 0; 1; 1; 1; 1; 1; 
liste déroulante bn:00028831n;0; 1; 1; 0; 1; 1; 1; 
sélectionner bn:00084931v;0; 0; 1; 1; 1; 1; 1; 
déclencher bn:00082306v;0; 1; 1; 1; 1; 1; 1; 
réinitialisation bn:00067306n;0; 1; 0; 1; 1; 1; 1; 
langage impératif bn:01246770n;0; 1; 1; 1; 1; 1; 1; 
impératif bn:00104644a;0; 1; 1; 1; 1; 1; 1; 
zones bn:00005513n;0; 1; 1; 1; 1; 1; 0; 
utilisateur bn:00079373n;0; 0; 1; 0; 1; 1; 0; 
affectation bn:02806034n;0; 0; 0; 1; 0; 1; 1; 
booléen bn:00294693n;0; 0; 0; 0; 0; 0; 1; 
réalité bn:00066414n;0; 1; 1; 1; 1; 1; 1; 
concatène bn:00085508v;0; 1; 1; 1; 1; 1; 1; 
addition bn:00001296n;0; 0; 1; 1; 1; 1; 0; 
soustraction bn:00055233n;0; 0; 1; 1; 1; 1; 0; 
multiplié bn:00090977v;0; 1; 1; 1; 1; 1; 1; 
modulo bn:00553864n;0; 0; 1; 1; 1; 1; 0; 
égalité bn:00031284n;0; 1; 1; 0; 1; 1; 1; 
logiques bn:00051845n;0; 0; 0; 1; 0; 0; 0; 
syntaxe bn:00062118n;0; 0; 1; 0; 1; 1; 0; 
case bn:04777941n;0; 0; 0; 1; 0; 1; 0; 
associer bn:00082868v;0; 0; 1; 1; 1; 1; 0; 
personne bn:00046516n;0; 0; 1; 0; 1; 0; 0; 
prenom bn:15996005n;0; 0; 1; 1; 0; 0; 0; 
structure de contrôle bn:00047734n;0; 1; 0; 1; 1; 1; 0; 
définition bn:00025928n;0; 0; 1; 0; 1; 1; 0; 
initialiser bn:00089742v;0; 1; 0; 1; 0; 1; 1; 
dépendre bn:00086606v;0; 0; 1; 1; 1; 1; 1; 
fermeture bn:16858148n;0; 0; 1; 0; 0; 0; 0; 
passwd bn:14874750n;0; 1; 1; 1; 1; 1; 1; 
machine bn:00054050n;0; 0; 1; 1; 1; 1; 1; 
mysql bn:01225760n;0; 0; 1; 0; 1; 1; 0; 
salaire bn:15928884n;0; 0; 1; 1; 1; 0; 1; 
phase bn:00061898n;0; 1; 1; 1; 1; 1; 1; 
être utile bn:00085368v;0; 1; 1; 1; 1; 1; 1; 
boucle while bn:03237310n;0; 0; 1; 1; 1; 0; 0; 
jour bn:00000086n;0; 0; 1; 1; 1; 0; 1; 
euro bn:00031888n;0; 1; 1; 1; 1; 1; 1; 
etc bn:00114282r;0; 0; 1; 1; 1; 1; 0; 
programmation bn:00021493n;0; 0; 0; 0; 1; 1; 0; 
détruire bn:00084204v;0; 0; 1; 1; 0; 1; 0; 
second bn:00105773a;0; 1; 1; 1; 1; 1; 0; 
ordinateur bn:00021464n;0; 0; 1; 1; 1; 1; 0; 
développement web bn:03446093n;1; 0; 1; 0; 1; 1; 1; 
organisation bn:00059480n;1; 0; 1; 1; 1; 1; 1; 
premier bn:00103006a;1; 0; 1; 1; 1; 1; 1; 
devoir sur table bn:04973014n;1; 0; 1; 1; 1; 1; 1; 
semaine bn:00043484n;1; 0; 1; 1; 1; 1; 1; 
devoir maison bn:00044563n;1; 0; 1; 1; 1; 1; 1; 
interrogation bn:00047208n;1; 0; 1; 1; 1; 1; 1; 
générale bn:00103507a;1; 0; 1; 1; 1; 1; 1; 
explication bn:00000741n;1; 0; 1; 1; 1; 1; 1; 
front office bn:16857738n;1; 0; 1; 1; 1; 1; 1; 
front bn:00013389n;1; 0; 1; 1; 1; 1; 1; 
xamp bn:02350502n;1; 0; 1; 1; 1; 1; 0; 
internet bn:00024712n;1; 0; 1; 1; 1; 1; 0; 
faille de sécurité bn:00080285n;1; 0; 1; 1; 1; 1; 1; 
sql bn:02266432n;1; 0; 1; 1; 1; 0; 0; 
concret bn:00100206a;1; 0; 1; 1; 1; 1; 1; 
chaîne bn:00074685n;1; 0; 1; 1; 0; 0; 0; 
header bn:00043309n;1; 0; 1; 1; 0; 1; 0; 
head bn:02338897n;1; 0; 1; 0; 1; 1; 1; 
informatique bn:00100175a;1; 0; 1; 1; 1; 1; 1; 
doctype bn:15839327n;1; 0; 1; 0; 1; 0; 0; 
w3c bn:02673666n;1; 0; 1; 0; 1; 1; 0; 
dtd bn:15232677n;1; 0; 1; 0; 1; 1; 0; 
firefox bn:01387235n;1; 0; 1; 1; 1; 1; 1; 
internet explorer bn:17346309n;1; 0; 1; 1; 1; 1; 1; 
internet explorer 9 bn:00863156n;1; 0; 1; 1; 1; 1; 1; 
moteur bn:00030850n;1; 0; 1; 1; 1; 1; 0; 
recherche bn:00067280n;1; 0; 1; 1; 1; 1; 1; 
descriptions bn:04723965n;1; 0; 1; 1; 1; 1; 1; 
précision bn:00641989n;1; 0; 1; 1; 1; 1; 1; 
paragraphe bn:00060556n;1; 0; 1; 0; 1; 1; 1; 
h2 bn:02803535n;1; 0; 1; 0; 1; 1; 1; 
terme technique bn:00048027n;1; 0; 1; 1; 1; 1; 1; 
tr bn:03561884n;1; 0; 1; 1; 1; 1; 1; 
insertion bn:02234787n;1; 0; 1; 0; 1; 1; 1; 
img bn:02450504n;1; 0; 1; 1; 1; 1; 1; 
infobulle bn:03850072n;1; 0; 1; 1; 1; 1; 1; 
balise html bn:02104867n;1; 0; 1; 1; 1; 1; 0; 
js bn:15539067n;1; 0; 1; 1; 1; 1; 1; 
css bn:00056944n;1; 0; 1; 1; 1; 1; 1; 
dns bn:03714295n;1; 0; 1; 1; 1; 1; 1; 
logique métier bn:00795795n;1; 0; 1; 1; 1; 1; 1; 
port 443 bn:00560835n;1; 0; 1; 1; 1; 1; 1; 
host bn:01846442n;1; 0; 1; 1; 1; 0; 0; 
uniform resource identifier bn:02569519n;1; 0; 1; 1; 1; 1; 1; 
ipv4 bn:00749818n;1; 0; 1; 1; 1; 1; 1; 
ipv6 bn:00749926n;1; 0; 1; 1; 1; 1; 1; 
visiter bn:00084426v;1; 0; 1; 1; 1; 1; 1; 
nom de domaine bn:00028143n;1; 0; 1; 1; 1; 1; 1; 
domaine bn:03853489n;1; 0; 1; 1; 1; 1; 1; 
sous-domaines bn:03725510n;1; 0; 1; 1; 1; 1; 1; 
configuration bn:03088982n;1; 0; 1; 1; 1; 1; 0; 
common gateway interface bn:03588331n;1; 0; 1; 1; 1; 1; 1; 
gateway bn:03381108n;1; 0; 1; 1; 1; 1; 1; 
lire bn:00066357n;1; 0; 1; 0; 1; 1; 0; 
langage de programmation bn:00064652n;1; 0; 0; 0; 1; 1; 1; 
paris bn:00015540n;1; 0; 1; 1; 1; 0; 0; 
langage de script bn:01431715n;1; 0; 0; 0; 0; 1; 0; 
côté serveur bn:03816678n;1; 0; 0; 1; 1; 1; 0; 
open source bn:01157392n;1; 0; 1; 1; 1; 1; 0; 
grand nombre bn:14223782n;1; 0; 1; 1; 1; 1; 0; 
facebook bn:03624775n;1; 0; 1; 1; 1; 1; 0; 
wikipédia bn:03288118n;1; 0; 1; 1; 1; 1; 0; 
opérateur bn:16281811n;1; 0; 1; 1; 1; 0; 1; 
installation bn:03478637n;1; 0; 1; 1; 1; 1; 1; 
wamp bn:01708928n;1; 0; 1; 1; 1; 1; 0; 
mamp bn:03197470n;1; 0; 1; 1; 1; 1; 0; 
éditeur de texte bn:00076736n;1; 0; 1; 1; 1; 1; 0; 
macos bn:01415427n;1; 0; 1; 1; 1; 1; 1; 
windows bn:00081305n;1; 0; 1; 1; 1; 1; 1; 
emacs bn:01156253n;1; 0; 1; 1; 1; 1; 1; 
