;C3.csv;C5.csv;C6.csv
affiche bn:15173511n;1; 0; 0; 
globale bn:00103624a;1; 0; 1; 
variable locale bn:00958409n;1; 0; 0; 
locale bn:03080237n;1; 0; 0; 
grand nombre bn:14223782n;1; 0; 1; 
upload bn:14037830n;1; 0; 0; 
env bn:01199166n;1; 1; 0; 
url bn:00079080n;1; 1; 0; 
cache bn:00014484n;1; 1; 0; 
dynamique bn:00101917a;1; 0; 0; 
ambiguïté bn:00003266n;1; 0; 0; 
chaîne vide bn:03716205n;1; 0; 1; 
booléenne bn:00098690a;1; 0; 0; 
architecture bn:00005442n;1; 1; 0; 
nombre à virgule flottante bn:00035278n;1; 0; 0; 
spécifier bn:00086464v;1; 0; 1; 
puissance de 10 bn:05006238n;1; 0; 0; 
ascii bn:00003473n;1; 0; 0; 
unicode bn:02529895n;1; 0; 0; 
échapper bn:00083961v;1; 0; 0; 
lf bn:00050913n;1; 0; 0; 
carriage return bn:00016246n;1; 0; 0; 
cr bn:00006854n;1; 0; 0; 
antislash bn:00988551n;1; 0; 1; 
notation octale bn:00058598n;1; 0; 0; 
notation hexadécimale bn:00043958n;1; 0; 0; 
hexadécimale bn:00104145a;1; 0; 0; 
égal bn:00102336a;1; 0; 1; 
valeur numérique bn:00000451n;1; 0; 0; 
numérique bn:00107649a;1; 0; 0; 
addition bn:00001296n;1; 0; 1; 
val bn:00079476n;1; 0; 0; 
table de hachage bn:00587820n;1; 0; 0; 
hachage bn:00583146n;1; 1; 0; 
pile bn:02100952n;1; 1; 0; 
séparer bn:00082871v;1; 1; 0; 
volée bn:00035208n;1; 0; 0; 
cle bn:04756252n;1; 0; 0; 
constantes bn:00100331a;1; 0; 0; 
casse bn:00083919v;1; 0; 0; 
redéfinir bn:00092568v;1; 0; 0; 
integer bn:00691555n;1; 1; 1; 
gauche bn:00902572n;1; 0; 0; 
droite bn:00051291n;1; 0; 0; 
croître bn:00089082v;1; 0; 0; 
associativité bn:00533203n;1; 0; 0; 
modulo bn:00553864n;1; 0; 0; 
division bn:00027919n;1; 0; 1; 
multiplication bn:00056300n;1; 1; 1; 
division par deux bn:03686939n;1; 0; 0; 
deux bn:00000075n;1; 0; 1; 
message bn:00521573n;1; 1; 0; 
temps bn:00077270n;1; 1; 1; 
oeil bn:00032512n;1; 0; 0; 
fois bn:00032768n;1; 1; 1; 
affiche bn:00087013v;1; 0; 1; 
mot bn:00081546n;1; 1; 1; 
exécutée bn:00091723v;1; 0; 0; 
conditionnelle bn:00100214a;1; 0; 0; 
sorte bn:00035907n;1; 0; 0; 
list bn:04720346n;1; 0; 0; 
case bn:04777941n;1; 0; 1; 
ressembler à bn:00092876v;1; 0; 1; 
homologue bn:00023208n;1; 0; 0; 
impossible bn:00104687a;1; 1; 1; 
existe bn:00083184v;1; 0; 1; 
appel de fonction bn:00036827n;1; 0; 0; 
valeur par défaut bn:03854990n;1; 1; 1; 
type de valeurs bn:00253515n;1; 0; 0; 
devoir bn:00091362v;1; 0; 1; 
couvrir bn:00085916v;1; 0; 0; 
rappel bn:03490040n;1; 1; 1; 
limitation bn:00051252n;1; 0; 0; 
conteneur bn:03305154n;1; 0; 0; 
droit bn:00048655n;1; 1; 1; 
chose bn:00091115v;1; 1; 1; 
premier bn:00034738n;1; 0; 1; 
choix multiples bn:03455699n;1; 0; 0; 
vin bn:00080022n;1; 0; 0; 
format de date bn:03576260n;1; 0; 0; 
langue anglaise bn:00030862n;1; 0; 1; 
français bn:00036426n;1; 0; 1; 
système bn:15125301n;1; 1; 1; 
semaine bn:00043484n;1; 0; 1; 
heure internet bn:02981905n;1; 0; 0; 
internet bn:00024712n;1; 1; 1; 
vendredi bn:00036512n;1; 1; 0; 
janvier bn:00047960n;1; 0; 0; 
24h bn:00000086n;1; 0; 1; 
hiver bn:00081370n;1; 0; 0; 
heure de greenwich bn:00040810n;1; 0; 0; 
dec bn:00017011n;1; 0; 0; 
fuseau horaire bn:00077302n;1; 0; 0; 
machine bn:00054050n;1; 1; 1; 
dimanche bn:00028190n;1; 1; 1; 
samedi bn:00068696n;1; 1; 0; 
