Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;6;Objects;0;8;
0;6;Attributes;0;8;C11;C15;C17;C19;C3;C5;C6;CJA;
1;5;Objects;1;5;texte bn:00076732n;
1;5;Attributes;1;5;C11;C15;C19;C3;C6;
2;5;Objects;1;5;site bn:00047172n;
2;5;Attributes;1;5;C11;C15;C17;C19;C6;
3;5;Objects;1;5;nombre bn:00058285n;
3;5;Attributes;1;5;C11;C15;C17;C3;C6;
4;5;Objects;1;6;serveur bn:00044916n;
4;5;Attributes;1;6;C11;C15;C17;C19;C3;C5;
5;2;Objects;1;2;commentaires bn:00020978n;
5;2;Attributes;1;2;C17;CJA;
6;4;Objects;2;4;php bn:01753580n;serveur bn:00044916n;
6;4;Attributes;2;4;C15;C19;C3;C5;
7;4;Objects;2;4;texte bn:00076732n;site bn:00047172n;
7;4;Attributes;2;4;C11;C15;C19;C6;
8;4;Objects;2;4;texte bn:00076732n;nombre bn:00058285n;
8;4;Attributes;2;4;C11;C15;C3;C6;
9;4;Objects;2;4;texte bn:00076732n;serveur bn:00044916n;
9;4;Attributes;2;4;C11;C15;C19;C3;
10;4;Objects;2;4;fichier bn:00021475n;site bn:00047172n;
10;4;Attributes;2;4;C15;C17;C19;C6;
11;4;Objects;2;4;site bn:00047172n;nombre bn:00058285n;
11;4;Attributes;2;4;C11;C15;C17;C6;
12;4;Objects;2;4;nombre bn:00058285n;serveur bn:00044916n;
12;4;Attributes;2;4;C11;C15;C17;C3;
13;3;Objects;2;3;nombre bn:00058285n;chaîne bn:00074685n;
13;3;Attributes;2;3;C17;C3;C6;
14;3;Objects;2;3;code bn:00020354n;serveur bn:00044916n;
14;3;Attributes;2;3;C17;C19;C3;
15;3;Objects;3;3;php bn:01753580n;texte bn:00076732n;serveur bn:00044916n;
15;3;Attributes;3;3;C15;C19;C3;
16;2;Objects;3;2;php bn:01753580n;méthode get bn:00045088n;serveur bn:00044916n;
16;2;Attributes;3;2;C15;C5;
17;3;Objects;3;3;texte bn:00076732n;nombre bn:00058285n;serveur bn:00044916n;
17;3;Attributes;3;3;C11;C15;C3;
18;2;Objects;3;2;texte bn:00076732n;nombre bn:00058285n;chaîne bn:00074685n;
18;2;Attributes;3;2;C3;C6;
19;3;Objects;3;3;fichier bn:00021475n;site bn:00047172n;nombre bn:00058285n;
19;3;Attributes;3;3;C15;C17;C6;
20;4;Objects;3;4;site bn:00047172n;client web bn:00013447n;serveur bn:00044916n;
20;4;Attributes;3;4;C11;C15;C17;C19;
21;3;Objects;3;3;site bn:00047172n;nombre bn:00058285n;langage bn:00049910n;
21;3;Attributes;3;3;C11;C17;C6;
22;2;Objects;4;2;php bn:01753580n;texte bn:00076732n;nombre bn:00058285n;serveur bn:00044916n;
22;2;Attributes;4;2;C15;C3;
23;2;Objects;4;2;php bn:01753580n;texte bn:00076732n;code bn:00020354n;serveur bn:00044916n;
23;2;Attributes;4;2;C19;C3;
24;3;Objects;4;3;texte bn:00076732n;fichier bn:00021475n;site bn:00047172n;afficher bn:00087013v;
24;3;Attributes;4;3;C15;C19;C6;
25;3;Objects;4;3;texte bn:00076732n;site bn:00047172n;client web bn:00013447n;serveur bn:00044916n;
25;3;Attributes;4;3;C11;C15;C19;
26;3;Objects;4;3;fichier bn:00021475n;site bn:00047172n;client web bn:00013447n;serveur bn:00044916n;
26;3;Attributes;4;3;C15;C17;C19;
27;3;Objects;4;3;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;serveur bn:00044916n;
27;3;Attributes;4;3;C11;C15;C17;
28;2;Objects;4;2;programmation bn:00021493n;class bn:03598962n;méthode bn:01641329n;exception bn:00032118n;
28;2;Attributes;4;2;C3;CJA;
29;2;Objects;5;2;texte bn:00076732n;fichier bn:00021475n;site bn:00047172n;post bn:01500184n;afficher bn:00087013v;
29;2;Attributes;5;2;C19;C6;
30;3;Objects;5;3;texte bn:00076732n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;nombre bn:00058285n;
30;3;Attributes;5;3;C11;C15;C6;
31;2;Objects;5;2;texte bn:00076732n;site bn:00047172n;client web bn:00013447n;serveur bn:00044916n;pouvoir bn:00084451v;
31;2;Attributes;5;2;C11;C19;
32;2;Objects;5;2;fichier bn:00021475n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;serveur bn:00044916n;
32;2;Attributes;5;2;C15;C17;
33;2;Objects;5;2;fichier bn:00021475n;site bn:00047172n;client web bn:00013447n;code bn:00020354n;serveur bn:00044916n;
33;2;Attributes;5;2;C17;C19;
34;2;Objects;5;2;nombre bn:00058285n;code bn:00020354n;serveur bn:00044916n;chaîne bn:00074685n;echo bn:03626250n;
34;2;Attributes;5;2;C17;C3;
35;2;Objects;6;2;texte bn:00076732n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;nombre bn:00058285n;langage bn:00049910n;
35;2;Attributes;6;2;C11;C6;
36;2;Objects;6;2;fichier bn:00021475n;site bn:00047172n;nombre bn:00058285n;fois bn:00032768n;chaîne bn:00074685n;langage bn:00049910n;
36;2;Attributes;6;2;C17;C6;
37;2;Objects;7;2;php bn:01753580n;texte bn:00076732n;fichier bn:00021475n;site bn:00047172n;client web bn:00013447n;afficher bn:00087013v;serveur bn:00044916n;
37;2;Attributes;7;2;C15;C19;
38;2;Objects;7;2;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;nombre bn:00058285n;afficher bn:00087013v;
38;2;Attributes;7;2;C15;C6;
39;2;Objects;7;2;texte bn:00076732n;données bn:00025314n;base de donnees bn:00025333n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;serveur bn:00044916n;
39;2;Attributes;7;2;C11;C15;
40;2;Objects;7;2;site bn:00047172n;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;nécessaire bn:00107182a;serveur bn:00044916n;langage bn:00049910n;
40;2;Attributes;7;2;C11;C17;
41;1;Objects;9;1;php bn:01753580n;méthode get bn:00045088n;serveur bn:00044916n;composer bn:14766022n;configuration bn:03088982n;xml bn:02771436n;client bn:00019764n;symfony bn:02798620n;doctype bn:15839327n;
41;1;Attributes;9;1;C5;
