X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; nombre bn:00058285n ; code bn:00020354n ; serveur bn:00044916n ; chaîne bn:00074685n
php bn:01753580n ; 1 ; 0.166667 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.25
texte bn:00076732n ; 0.166667 ; 1 ; 0.4 ; 0.571429 ; 0.166667 ; 0.285714 ; 0.333333
fichier bn:00021475n ; 0.333333 ; 0.4 ; 1 ; 0.333333 ; 0.333333 ; 0.5 ; 0.25
nombre bn:00058285n ; 0.142857 ; 0.571429 ; 0.333333 ; 1 ; 0.142857 ; 0.25 ; 0.5
code bn:00020354n ; 0.333333 ; 0.166667 ; 0.333333 ; 0.142857 ; 1 ; 0.5 ; 0.25
serveur bn:00044916n ; 0.2 ; 0.285714 ; 0.5 ; 0.25 ; 0.5 ; 1 ; 0.166667
chaîne bn:00074685n ; 0.25 ; 0.333333 ; 0.25 ; 0.5 ; 0.25 ; 0.166667 ; 1
