X ; C11 ; C15 ; C17 ; C19 ; C3 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0493827 ; 0 ; 0.0547945 ; 0 ; 0 ; 0 ; 0.0425532 ; 0
mysql bn:01225760n ; 0 ; 0.256881 ; 0.277228 ; 0.275229 ; 0.252101 ; 0.247788 ; 0.271186 ; 0
texte bn:00076732n ; 0 ; 0 ; 0.0547945 ; 0 ; 0 ; 0.0470588 ; 0 ; 0.05
fichier bn:00021475n ; 0.0941176 ; 0 ; 0 ; 0 ; 0.0824742 ; 0.0898876 ; 0 ; 0.0952381
données bn:00025314n ; 0 ; 0 ; 0.176471 ; 0.157895 ; 0.153846 ; 0.154639 ; 0 ; 0.163043
types bn:00016413n ; 0.372263 ; 0.372263 ; 0 ; 0.357143 ; 0.37931 ; 0.411765 ; 0.331126 ; 0.375
session bn:03751534n ; 0.172043 ; 0 ; 0 ; 0.168421 ; 0.152381 ; 0.164948 ; 0.150943 ; 0
base de donnees bn:00025333n ; 0 ; 0 ; 0.176471 ; 0.157895 ; 0.153846 ; 0.154639 ; 0 ; 0.163043
entités bn:00031027n ; 0 ; 0.231481 ; 0.237624 ; 0 ; 0.25 ; 0.234234 ; 0.258621 ; 0.245283
site bn:00047172n ; 0 ; 0 ; 0 ; 0 ; 0.0430108 ; 0.0470588 ; 0 ; 0.05
client web bn:00013447n ; 0 ; 0 ; 0 ; 0 ; 0.0824742 ; 0.0898876 ; 0.0816327 ; 0.0952381
langage de script bn:01431715n ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0.0470588 ; 0.0425532 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0481928 ; 0 ; 0.0470588 ; 0 ; 0.05
sélectionner bn:00084931v ; 0 ; 0.0493827 ; 0 ; 0 ; 0 ; 0 ; 0.0425532 ; 0.05
post bn:01500184n ; 0.16129 ; 0.16129 ; 0 ; 0 ; 0.142857 ; 0.166667 ; 0 ; 0.163043
méthode get bn:00045088n ; 0.25 ; 0 ; 0.27 ; 0.234234 ; 0.245763 ; 0 ; 0.233333 ; 0.252336
code bn:00020354n ; 0.172043 ; 0.172043 ; 0 ; 0 ; 0 ; 0.164948 ; 0.150943 ; 0.173913
utilisateur bn:00079373n ; 0.338346 ; 0.328358 ; 0.307692 ; 0 ; 0.347518 ; 0.328467 ; 0.394161 ; 0.361538
afficher bn:00087013v ; 0.0941176 ; 0 ; 0.103896 ; 0 ; 0.0824742 ; 0 ; 0 ; 0.0952381
nécessaire bn:00107182a ; 0 ; 0.0941176 ; 0 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0.0952381
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0217391 ; 0.025641
fois bn:00032768n ; 0.266055 ; 0.266055 ; 0 ; 0.272727 ; 0.25 ; 0.290909 ; 0 ; 0.268519
programmation bn:00021493n ; 0.242991 ; 0.242991 ; 0.25 ; 0.25 ; 0 ; 0.234234 ; 0.258621 ; 0
class bn:03598962n ; 0.0941176 ; 0.0941176 ; 0 ; 0.091954 ; 0 ; 0.0898876 ; 0 ; 0
commentaires bn:00020978n ; 0.172043 ; 0.172043 ; 0 ; 0.168421 ; 0.152381 ; 0.164948 ; 0 ; 0
composer bn:14766022n ; 0.163043 ; 0.150538 ; 0.164706 ; 0 ; 0 ; 0 ; 0.153846 ; 0.152174
chaîne bn:00074685n ; 0.16129 ; 0.16129 ; 0 ; 0.157895 ; 0 ; 0.166667 ; 0 ; 0.163043
syntaxe bn:00062118n ; 0.372263 ; 0.372263 ; 0 ; 0.357143 ; 0.37931 ; 0.411765 ; 0.331126 ; 0.375
hiérarchie bn:00044017n ; 0.0128205 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
définition bn:00025928n ; 0.343284 ; 0 ; 0.333333 ; 0.338235 ; 0.381295 ; 0.323741 ; 0.34965 ; 0.345865
langage bn:00049910n ; 0 ; 0.172043 ; 0 ; 0.168421 ; 0.152381 ; 0.164948 ; 0 ; 0.173913
mise bn:00016287n ; 0.0941176 ; 0.0941176 ; 0 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0
mode bn:00033729n ; 0.372263 ; 0.372263 ; 0 ; 0.357143 ; 0.37931 ; 0.411765 ; 0.331126 ; 0.375
configuration bn:03088982n ; 0.172043 ; 0.172043 ; 0.188235 ; 0.168421 ; 0.152381 ; 0 ; 0 ; 0
xml bn:02771436n ; 0.0941176 ; 0 ; 0.103896 ; 0 ; 0.0824742 ; 0 ; 0.0816327 ; 0
postgresql bn:01709156n ; 0.0941176 ; 0.0941176 ; 0.103896 ; 0.091954 ; 0 ; 0 ; 0 ; 0
web bn:00080772n ; 0 ; 0.172043 ; 0 ; 0.168421 ; 0.152381 ; 0 ; 0.150943 ; 0.173913
méthode bn:01641329n ; 0.0941176 ; 0 ; 0 ; 0.091954 ; 0 ; 0.0898876 ; 0.0816327 ; 0
bits bn:00010731n ; 0.16129 ; 0.16129 ; 0 ; 0 ; 0.142857 ; 0.166667 ; 0 ; 0.163043
foreach bn:03463379n ; 0.266055 ; 0.266055 ; 0 ; 0 ; 0.239669 ; 0.279279 ; 0.247934 ; 0.280374
pouvoir bn:00084450v ; 0.0253165 ; 0.0253165 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
information bn:00046705n ; 0 ; 0 ; 0.176471 ; 0.157895 ; 0.153846 ; 0.154639 ; 0 ; 0.163043
timestamp bn:03603649n ; 0.0493827 ; 0.0493827 ; 0 ; 0 ; 0 ; 0.0470588 ; 0 ; 0
easyphp bn:14837849n ; 0.0941176 ; 0.0941176 ; 0 ; 0.091954 ; 0.0824742 ; 0 ; 0 ; 0
pouvoir bn:00084451v ; 0 ; 0.0253165 ; 0 ; 0 ; 0 ; 0 ; 0.0217391 ; 0
impossible bn:00104687a ; 0 ; 0.0941176 ; 0 ; 0 ; 0.0824742 ; 0.0898876 ; 0 ; 0.0952381
public bn:00109211a ; 0.0941176 ; 0.0941176 ; 0 ; 0 ; 0.0824742 ; 0.0898876 ; 0 ; 0
en-tête bn:00043309n ; 0 ; 0.150538 ; 0.164706 ; 0 ; 0.144231 ; 0 ; 0.153846 ; 0.152174
client bn:00019764n ; 0 ; 0.172043 ; 0.188235 ; 0.168421 ; 0.152381 ; 0 ; 0.150943 ; 0
java bn:00048043n ; 0 ; 0.256881 ; 0.277228 ; 0.275229 ; 0.252101 ; 0.247788 ; 0.271186 ; 0
file bn:00065682n ; 0 ; 0.150538 ; 0.164706 ; 0.159574 ; 0 ; 0 ; 0.153846 ; 0.152174
echo bn:03626250n ; 0 ; 0.0253165 ; 0 ; 0.0246914 ; 0 ; 0 ; 0 ; 0
rue bn:00074595n ; 0 ; 0 ; 0.0142857 ; 0 ; 0 ; 0 ; 0 ; 0
void bn:01326821n ; 0 ; 0.0128205 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
classe bn:03608262n ; 0 ; 0.256881 ; 0.277228 ; 0.275229 ; 0.252101 ; 0.247788 ; 0.271186 ; 0
exception bn:00032118n ; 0 ; 0.0253165 ; 0.028169 ; 0 ; 0 ; 0 ; 0 ; 0
wamp bn:01708928n ; 0 ; 0 ; 0 ; 0 ; 0.021978 ; 0.0240964 ; 0 ; 0
symfony bn:02798620n ; 0 ; 0 ; 0 ; 0.0125 ; 0 ; 0 ; 0 ; 0
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0125 ; 0 ; 0 ; 0 ; 0
environnement de développement bn:00748100n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.012987
realisateur bn:00027369n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0121951 ; 0 ; 0
