X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; code bn:00020354n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; class bn:03598962n ; commentaires bn:00020978n ; chaîne bn:00074685n ; hiérarchie bn:00044017n ; langage bn:00049910n ; méthode bn:01641329n ; pouvoir bn:00084450v ; timestamp bn:03603649n ; pouvoir bn:00084451v ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n
php bn:01753580n ; 1 ; 0.222222 ; 0.2 ; 0.0625 ; 0.1 ; 0.0909091 ; 0.0625 ; 0.1 ; 0.1 ; 0.0909091 ; 0.0740741 ; 0.2 ; 0.307692 ; 0.0588235 ; 0.142857 ; 0.05 ; 0.125 ; 0.08 ; 0.142857 ; 0.5 ; 0.037037 ; 0.153846 ; 0.333333 ; 0.2 ; 0.142857 ; 0.142857 ; 0.5 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2
texte bn:00076732n ; 0.222222 ; 1 ; 0.363636 ; 0.25 ; 0.388889 ; 0.363636 ; 0.25 ; 0.166667 ; 0.4 ; 0.153846 ; 0.142857 ; 0.125 ; 0.25 ; 0.105263 ; 0.222222 ; 0.097561 ; 0.105263 ; 0.0714286 ; 0.222222 ; 0.125 ; 0.148148 ; 0.125 ; 0.1 ; 0.153846 ; 0.1 ; 0.1 ; 0.285714 ; 0.125 ; 0.222222 ; 0.222222 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714
fichier bn:00021475n ; 0.2 ; 0.363636 ; 1 ; 0.235294 ; 0.181818 ; 0.333333 ; 0.235294 ; 0.153846 ; 0.363636 ; 0.142857 ; 0.32 ; 0.111111 ; 0.235294 ; 0.1 ; 0.2 ; 0.210526 ; 0.222222 ; 0.148148 ; 0.2 ; 0.25 ; 0.142857 ; 0.266667 ; 0.2 ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25
données bn:00025314n ; 0.0625 ; 0.25 ; 0.235294 ; 1 ; 0.722222 ; 0.615385 ; 0.444444 ; 0.25 ; 0.538462 ; 0.105263 ; 0.266667 ; 0.0714286 ; 0.181818 ; 0.173913 ; 0.133333 ; 0.342105 ; 0.173913 ; 0.241379 ; 0.307692 ; 0.0714286 ; 0.541667 ; 0.2 ; 0.0625 ; 0.105263 ; 0.0625 ; 0.133333 ; 0.0714286 ; 0.0714286 ; 0.0625 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.153846
base de donnees bn:00025333n ; 0.1 ; 0.388889 ; 0.181818 ; 0.722222 ; 1 ; 0.444444 ; 0.347826 ; 0.190476 ; 0.388889 ; 0.0833333 ; 0.228571 ; 0.0526316 ; 0.291667 ; 0.142857 ; 0.1 ; 0.302326 ; 0.142857 ; 0.205882 ; 0.222222 ; 0.0526316 ; 0.448276 ; 0.16 ; 0.047619 ; 0.0833333 ; 0.047619 ; 0.1 ; 0.111111 ; 0.0526316 ; 0.1 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
site bn:00047172n ; 0.0909091 ; 0.363636 ; 0.333333 ; 0.615385 ; 0.444444 ; 1 ; 0.615385 ; 0.153846 ; 0.363636 ; 0.142857 ; 0.32 ; 0.111111 ; 0.235294 ; 0.222222 ; 0.2 ; 0.210526 ; 0.1 ; 0.148148 ; 0.2 ; 0.111111 ; 0.333333 ; 0.117647 ; 0.0909091 ; 0.142857 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25
client web bn:00013447n ; 0.0625 ; 0.25 ; 0.235294 ; 0.444444 ; 0.347826 ; 0.615385 ; 1 ; 0.25 ; 0.25 ; 0.235294 ; 0.266667 ; 0.153846 ; 0.181818 ; 0.35 ; 0.307692 ; 0.186047 ; 0.08 ; 0.125 ; 0.133333 ; 0.0714286 ; 0.275862 ; 0.2 ; 0.0625 ; 0.105263 ; 0.133333 ; 0.0625 ; 0.0714286 ; 0.0714286 ; 0.0625 ; 0.307692 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.153846
langage de script bn:01431715n ; 0.1 ; 0.166667 ; 0.153846 ; 0.25 ; 0.190476 ; 0.153846 ; 0.25 ; 1 ; 0.4 ; 0.153846 ; 0.0666667 ; 0.285714 ; 0.0526316 ; 0.105263 ; 0.222222 ; 0.097561 ; 0.235294 ; 0.153846 ; 0.571429 ; 0.125 ; 0.148148 ; 0.636364 ; 0.1 ; 0.153846 ; 0.222222 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.125 ; 0.285714
nombre bn:00058285n ; 0.1 ; 0.4 ; 0.363636 ; 0.538462 ; 0.388889 ; 0.363636 ; 0.25 ; 0.4 ; 1 ; 0.153846 ; 0.142857 ; 0.125 ; 0.111111 ; 0.105263 ; 0.222222 ; 0.184211 ; 0.235294 ; 0.153846 ; 0.571429 ; 0.125 ; 0.291667 ; 0.285714 ; 0.1 ; 0.153846 ; 0.1 ; 0.222222 ; 0.125 ; 0.125 ; 0.1 ; 0.222222 ; 0.285714 ; 0.285714 ; 0.285714 ; 0.285714
sélectionner bn:00084931v ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.105263 ; 0.0833333 ; 0.142857 ; 0.235294 ; 0.153846 ; 0.153846 ; 1 ; 0.137931 ; 0.25 ; 0.105263 ; 0.571429 ; 0.5 ; 0.0952381 ; 0.1 ; 0.0689655 ; 0.0909091 ; 0.111111 ; 0.142857 ; 0.117647 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.111111 ; 0.25 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111
post bn:01500184n ; 0.0740741 ; 0.142857 ; 0.32 ; 0.266667 ; 0.228571 ; 0.32 ; 0.266667 ; 0.0666667 ; 0.142857 ; 0.137931 ; 1 ; 0.0384615 ; 0.266667 ; 0.258065 ; 0.0740741 ; 0.657895 ; 0.258065 ; 0.411765 ; 0.0740741 ; 0.08 ; 0.441176 ; 0.125 ; 0.16 ; 0.32 ; 0.0740741 ; 0.0740741 ; 0.0384615 ; 0.08 ; 0.0740741 ; 0.16 ; 0.0384615 ; 0.0384615 ; 0.08 ; 0.08
code bn:00020354n ; 0.2 ; 0.125 ; 0.111111 ; 0.0714286 ; 0.0526316 ; 0.111111 ; 0.153846 ; 0.285714 ; 0.125 ; 0.25 ; 0.0384615 ; 1 ; 0.0714286 ; 0.142857 ; 0.5 ; 0.025641 ; 0.0666667 ; 0.0416667 ; 0.2 ; 0.333333 ; 0.04 ; 0.181818 ; 0.2 ; 0.111111 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
afficher bn:00087013v ; 0.307692 ; 0.25 ; 0.235294 ; 0.181818 ; 0.291667 ; 0.235294 ; 0.181818 ; 0.0526316 ; 0.111111 ; 0.105263 ; 0.266667 ; 0.0714286 ; 1 ; 0.173913 ; 0.133333 ; 0.186047 ; 0.08 ; 0.125 ; 0.0625 ; 0.153846 ; 0.121212 ; 0.0909091 ; 0.133333 ; 0.105263 ; 0.0625 ; 0.0625 ; 0.153846 ; 0.0714286 ; 0.133333 ; 0.133333 ; 0.0714286 ; 0.0714286 ; 0.153846 ; 0.0714286
nécessaire bn:00107182a ; 0.0588235 ; 0.105263 ; 0.1 ; 0.173913 ; 0.142857 ; 0.222222 ; 0.35 ; 0.105263 ; 0.105263 ; 0.571429 ; 0.258065 ; 0.142857 ; 0.173913 ; 1 ; 0.285714 ; 0.181818 ; 0.0769231 ; 0.121212 ; 0.0588235 ; 0.0666667 ; 0.266667 ; 0.0869565 ; 0.125 ; 0.1 ; 0.285714 ; 0.125 ; 0.0666667 ; 0.142857 ; 0.125 ; 0.125 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.0666667
