Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;5;Objects;0;8;
0;5;Attributes;0;8;C11;C15;C17;C19;C3;C5;C6;CJA;
1;3;Objects;1;3;texte bn:00076732n;
1;3;Attributes;1;3;C17;C5;CJA;
2;3;Objects;1;3;fichier bn:00021475n;
2;3;Attributes;1;3;C11;C5;CJA;
3;4;Objects;1;4;données bn:00025314n;
3;4;Attributes;1;4;C19;C3;C5;CJA;
4;4;Objects;1;4;client web bn:00013447n;
4;4;Attributes;1;4;C3;C5;C6;CJA;
5;3;Objects;1;3;langage de script bn:01431715n;
5;3;Attributes;1;3;C19;C5;C6;
6;3;Objects;1;4;afficher bn:00087013v;
6;3;Attributes;1;4;C11;C17;C3;CJA;
7;2;Objects;1;2;pouvoir bn:00084451v;
7;2;Attributes;1;2;C15;C6;
8;2;Objects;1;2;echo bn:03626250n;
8;2;Attributes;1;2;C15;C19;
9;2;Objects;1;2;exception bn:00032118n;
9;2;Attributes;1;2;C15;C17;
10;2;Objects;2;2;php bn:01753580n;afficher bn:00087013v;
10;2;Attributes;2;2;C11;C17;
11;2;Objects;2;2;texte bn:00076732n;afficher bn:00087013v;
11;2;Attributes;2;2;C17;CJA;
12;2;Objects;2;2;fichier bn:00021475n;afficher bn:00087013v;
12;2;Attributes;2;2;C11;CJA;
13;3;Objects;2;3;données bn:00025314n;nombre bn:00058285n;
13;3;Attributes;2;3;C19;C5;CJA;
14;2;Objects;2;2;client web bn:00013447n;langage de script bn:01431715n;
14;2;Attributes;2;2;C5;C6;
15;2;Objects;2;2;client web bn:00013447n;serveur bn:00044916n;
15;2;Attributes;2;2;C6;CJA;
16;3;Objects;3;3;données bn:00025314n;site bn:00047172n;client web bn:00013447n;
16;3;Attributes;3;3;C3;C5;CJA;
17;1;Objects;4;1;php bn:01753580n;fichier bn:00021475n;afficher bn:00087013v;hiérarchie bn:00044017n;
17;1;Attributes;4;1;C11;
18;2;Objects;4;2;données bn:00025314n;site bn:00047172n;client web bn:00013447n;afficher bn:00087013v;
18;2;Attributes;4;2;C3;CJA;
19;2;Objects;4;2;données bn:00025314n;langage de script bn:01431715n;nombre bn:00058285n;chaîne bn:00074685n;
19;2;Attributes;4;2;C19;C5;
20;1;Objects;4;1;pouvoir bn:00084451v;echo bn:03626250n;void bn:01326821n;exception bn:00032118n;
20;1;Attributes;4;1;C15;
21;1;Objects;5;1;php bn:01753580n;texte bn:00076732n;afficher bn:00087013v;rue bn:00074595n;exception bn:00032118n;
21;1;Attributes;5;1;C17;
22;1;Objects;5;1;client web bn:00013447n;langage de script bn:01431715n;code bn:00020354n;serveur bn:00044916n;pouvoir bn:00084451v;
22;1;Attributes;5;1;C6;
23;2;Objects;6;2;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;
23;2;Attributes;6;2;C5;CJA;
24;1;Objects;7;1;données bn:00025314n;langage de script bn:01431715n;nombre bn:00058285n;chaîne bn:00074685n;echo bn:03626250n;symfony bn:02798620n;doctype bn:15839327n;
24;1;Attributes;7;1;C19;
25;1;Objects;9;1;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;site bn:00047172n;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;chaîne bn:00074685n;realisateur bn:00027369n;
25;1;Attributes;9;1;C5;
26;1;Objects;9;1;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;site bn:00047172n;client web bn:00013447n;nombre bn:00058285n;afficher bn:00087013v;serveur bn:00044916n;environnement de développement bn:00748100n;
26;1;Attributes;9;1;CJA;
27;0;Objects;22;0;php bn:01753580n;texte bn:00076732n;fichier bn:00021475n;données bn:00025314n;site bn:00047172n;client web bn:00013447n;langage de script bn:01431715n;nombre bn:00058285n;code bn:00020354n;afficher bn:00087013v;serveur bn:00044916n;chaîne bn:00074685n;hiérarchie bn:00044017n;pouvoir bn:00084451v;echo bn:03626250n;rue bn:00074595n;void bn:01326821n;exception bn:00032118n;symfony bn:02798620n;doctype bn:15839327n;environnement de développement bn:00748100n;realisateur bn:00027369n;
27;0;Attributes;22;0;
