X ; C11 ; C17 ; C19 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.0909091 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.0909091 ; 0 ; 0.272727 ; 0 ; 0.272727
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0909091
nombre bn:00058285n ; 0 ; 0 ; 0.181818 ; 0.363636 ; 0 ; 0.272727
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0.0909091 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0.181818 ; 0.181818
chaîne bn:00074685n ; 0 ; 0 ; 0.0909091 ; 0.181818 ; 0 ; 0
