X ; C11 ; C17 ; C19 ; C5 ; C6 ; CJA
php bn:01753580n ; 0.333333 ; 0 ; 0 ; 0 ; 0 ; 0
texte bn:00076732n ; 0 ; 0.166667 ; 0 ; 0.375 ; 0 ; 0.375
fichier bn:00021475n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.142857
nombre bn:00058285n ; 0 ; 0 ; 0.285714 ; 0.5 ; 0 ; 0.333333
code bn:00020354n ; 0 ; 0 ; 0 ; 0 ; 0.25 ; 0
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0.4 ; 0.25
chaîne bn:00074685n ; 0 ; 0 ; 0.2 ; 0.285714 ; 0 ; 0
