Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;7;Objects;0;8;
0;7;Attributes;0;8;C11;C15;C17;C19;C3;C5;C6;CJA;
1;5;Objects;1;5;base de donnees bn:00025333n;
1;5;Attributes;1;5;C17;C19;C3;C5;CJA;
2;4;Objects;1;4;client web bn:00013447n;
2;4;Attributes;1;4;C3;C5;C6;CJA;
3;4;Objects;1;4;afficher bn:00087013v;
3;4;Attributes;1;4;C11;C17;C3;CJA;
4;4;Objects;1;4;nécessaire bn:00107182a;
4;4;Attributes;1;4;C15;C3;C6;CJA;
5;6;Objects;1;6;fois bn:00032768n;
5;6;Attributes;1;6;C11;C15;C19;C3;C5;CJA;
6;4;Objects;1;4;méthode bn:01641329n;
6;4;Attributes;1;4;C11;C19;C5;C6;
7;2;Objects;1;2;exception bn:00032118n;
7;2;Attributes;1;2;C15;C17;
8;2;Objects;2;2;php bn:01753580n;afficher bn:00087013v;
8;2;Attributes;2;2;C11;C17;
9;3;Objects;2;3;texte bn:00076732n;base de donnees bn:00025333n;
9;3;Attributes;2;3;C17;C5;CJA;
10;3;Objects;2;3;base de donnees bn:00025333n;afficher bn:00087013v;
10;3;Attributes;2;3;C17;C3;CJA;
11;3;Objects;2;3;client web bn:00013447n;nécessaire bn:00107182a;
11;3;Attributes;2;3;C3;C6;CJA;
12;3;Objects;2;3;langage de script bn:01431715n;méthode bn:01641329n;
12;3;Attributes;2;3;C19;C5;C6;
13;3;Objects;2;3;sélectionner bn:00084931v;nécessaire bn:00107182a;
13;3;Attributes;2;3;C15;C6;CJA;
14;5;Objects;2;5;post bn:01500184n;fois bn:00032768n;
14;5;Attributes;2;5;C11;C15;C3;C5;CJA;
15;5;Objects;2;5;fois bn:00032768n;commentaires bn:00020978n;
15;5;Attributes;2;5;C11;C15;C19;C3;C5;
16;5;Objects;2;5;fois bn:00032768n;langage bn:00049910n;
16;5;Attributes;2;5;C15;C19;C3;C5;CJA;
17;2;Objects;3;2;texte bn:00076732n;base de donnees bn:00025333n;afficher bn:00087013v;
17;2;Attributes;3;2;C17;CJA;
18;3;Objects;3;3;fichier bn:00021475n;post bn:01500184n;fois bn:00032768n;
18;3;Attributes;3;3;C11;C5;CJA;
19;2;Objects;3;2;client web bn:00013447n;langage de script bn:01431715n;méthode bn:01641329n;
19;2;Attributes;3;2;C5;C6;
20;2;Objects;3;2;sélectionner bn:00084931v;nécessaire bn:00107182a;pouvoir bn:00084451v;
20;2;Attributes;3;2;C15;C6;
21;3;Objects;3;3;post bn:01500184n;afficher bn:00087013v;fois bn:00032768n;
21;3;Attributes;3;3;C11;C3;CJA;
22;4;Objects;3;4;post bn:01500184n;fois bn:00032768n;commentaires bn:00020978n;
22;4;Attributes;3;4;C11;C15;C3;C5;
23;4;Objects;3;4;post bn:01500184n;fois bn:00032768n;langage bn:00049910n;
23;4;Attributes;3;4;C15;C3;C5;CJA;
24;4;Objects;3;4;fois bn:00032768n;class bn:03598962n;commentaires bn:00020978n;
24;4;Attributes;3;4;C11;C15;C19;C5;
25;4;Objects;3;4;fois bn:00032768n;commentaires bn:00020978n;langage bn:00049910n;
25;4;Attributes;3;4;C15;C19;C3;C5;
