;C1;C2;C3;C4;C5;C6;C7;C8;C9;CJA
page web bn:00080778n;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 
page web statiques bn:03576307n;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
navigateur bn:00013447n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
serveur web bn:02705179n;1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 
fichier bn:00021475n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
disque dur bn:00073359n;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
client bn:00019764n;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 
client serveur bn:03496583n;1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 
base de donnée bn:00025333n;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
donnée bn:00025314n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
ensemble bn:00114766r;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
php bn:01753580n;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
javascript bn:00055423n;1; 1; 1; 1; 1; 1; 0; 0; 1; 0; 
perl bn:01723165n;1; 0; 1; 1; 1; 0; 0; 0; 1; 0; 
python bn:01713224n;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
java bn:00048043n;1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 
code bn:00020354n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
code source bn:00072947n;1; 0; 0; 0; 1; 1; 0; 0; 0; 1; 
fichier texte bn:00028018n;1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
texte bn:00076732n;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
mise en forme bn:01681906n;1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
concerner bn:00083240v;1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
commentaire bn:00020978n;1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 
délimiter bn:00086464v;1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 
affichage bn:00010421n;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
gras bn:00011848n;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
fois bn:00032768n;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 
chemin bn:03131414n;1; 0; 0; 0; 1; 1; 0; 0; 1; 0; 
lien hypertextes bn:00045513n;1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 
url bn:00079080n;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 
textuels bn:00111786a;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
case à cocher bn:03157691n;1; 1; 0; 1; 0; 1; 0; 0; 1; 0; 
page web dynamique bn:00937946n;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
post bn:01500184n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
champ de saisie bn:03113401n;1; 1; 0; 1; 0; 0; 0; 1; 1; 0; 
size bn:03645138n;1; 0; 1; 0; 1; 0; 0; 1; 0; 1; 
nombre bn:00058285n;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
text bn:14981519n;1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
