X ; C1 ; C2 ; C3 ; C4 ; C5 ; C6 ; C7 ; C8 ; C9 ; C10
page web bn:00080778n ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0.0325203 ; 0 ; 0.0325203 ; 0 ; 0
navigateur bn:00013447n ; 0 ; 0.105691 ; 0.142276 ; 0 ; 0.142276 ; 0.162602 ; 0.105691 ; 0.0894309 ; 0.138211 ; 0
serveur web bn:02705179n ; 0 ; 0.097561 ; 0.113821 ; 0.105691 ; 0.113821 ; 0.113821 ; 0 ; 0 ; 0.105691 ; 0
fichier bn:00021475n ; 0.0609756 ; 0 ; 0 ; 0 ; 0.0853659 ; 0.0813008 ; 0 ; 0.0609756 ; 0.0894309 ; 0.0934959
client bn:00019764n ; 0.0162602 ; 0 ; 0.0162602 ; 0.0162602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
base de donnée bn:00025333n ; 0 ; 0 ; 0.0284553 ; 0.0243902 ; 0.0325203 ; 0 ; 0.0243902 ; 0 ; 0 ; 0
donnée bn:00025314n ; 0 ; 0.0569106 ; 0.0569106 ; 0.0487805 ; 0.0650407 ; 0 ; 0.0487805 ; 0 ; 0 ; 0
php bn:01753580n ; 0.105691 ; 0 ; 0.105691 ; 0.117886 ; 0 ; 0.113821 ; 0 ; 0 ; 0.113821 ; 0.130081
code bn:00020354n ; 0 ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0.0325203
texte bn:00076732n ; 0 ; 0 ; 0.097561 ; 0 ; 0.101626 ; 0.105691 ; 0.0609756 ; 0 ; 0.0853659 ; 0.0772358
concerner bn:00083240v ; 0 ; 0 ; 0.0934959 ; 0.0853659 ; 0.109756 ; 0.0934959 ; 0.0609756 ; 0 ; 0 ; 0.0813008
commentaire bn:00020978n ; 0.117886 ; 0 ; 0.158537 ; 0.158537 ; 0.170732 ; 0 ; 0 ; 0.109756 ; 0.166667 ; 0.191057
délimiter bn:00086464v ; 0 ; 0 ; 0.0569106 ; 0.0528455 ; 0 ; 0.0569106 ; 0 ; 0.0528455 ; 0 ; 0.0609756
fois bn:00032768n ; 0.142276 ; 0.170732 ; 0.223577 ; 0 ; 0.215447 ; 0.243902 ; 0.097561 ; 0 ; 0.191057 ; 0.207317
url bn:00079080n ; 0.105691 ; 0 ; 0.113821 ; 0.117886 ; 0.113821 ; 0 ; 0 ; 0 ; 0.105691 ; 0.130081
case à cocher bn:03157691n ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0
post bn:01500184n ; 0 ; 0.0569106 ; 0.0609756 ; 0 ; 0.0569106 ; 0.0650407 ; 0 ; 0 ; 0.0569106 ; 0
nombre bn:00058285n ; 0 ; 0 ; 0 ; 0.0487805 ; 0.0609756 ; 0 ; 0.0365854 ; 0.0487805 ; 0 ; 0.0447154
text bn:14981519n ; 0.154472 ; 0.146341 ; 0.186992 ; 0.174797 ; 0.195122 ; 0.178862 ; 0 ; 0 ; 0 ; 0.195122
langage bn:00049910n ; 0.0609756 ; 0 ; 0.0894309 ; 0 ; 0.0934959 ; 0 ; 0 ; 0.0691057 ; 0.0934959 ; 0.101626
zones bn:00005513n ; 0 ; 0 ; 0.00813008 ; 0 ; 0 ; 0.00813008 ; 0 ; 0 ; 0 ; 0
utilisateur bn:00079373n ; 0 ; 0 ; 0.130081 ; 0.130081 ; 0.130081 ; 0.130081 ; 0 ; 0 ; 0.130081 ; 0.130081
case bn:04777941n ; 0.0772358 ; 0.0813008 ; 0.0934959 ; 0 ; 0 ; 0.097561 ; 0 ; 0 ; 0.0894309 ; 0.105691
associer bn:00082868v ; 0 ; 0 ; 0.0650407 ; 0 ; 0.0650407 ; 0.0650407 ; 0 ; 0 ; 0.0650407 ; 0.0650407
personne bn:00046516n ; 0 ; 0 ; 0.101626 ; 0.101626 ; 0.109756 ; 0 ; 0 ; 0.097561 ; 0.113821 ; 0.113821
méthode post bn:00045088n ; 0 ; 0.0569106 ; 0.0731707 ; 0 ; 0 ; 0.0813008 ; 0.0528455 ; 0.0447154 ; 0.0731707 ; 0
fermeture bn:16858148n ; 0.203252 ; 0 ; 0.280488 ; 0.276423 ; 0.292683 ; 0.268293 ; 0 ; 0.170732 ; 0.296748 ; 0.337398
machine bn:00054050n ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0325203
mysql bn:01225760n ; 0 ; 0 ; 0.0325203 ; 0.0325203 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0 ; 0
salaire bn:15928884n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00406504
jour bn:00000086n ; 0.0284553 ; 0 ; 0.0284553 ; 0 ; 0 ; 0.0284553 ; 0 ; 0 ; 0 ; 0.0325203
programmation bn:00021493n ; 0.142276 ; 0.113821 ; 0 ; 0.162602 ; 0.162602 ; 0.174797 ; 0 ; 0 ; 0.154472 ; 0.182927
site bn:00047172n ; 0.0569106 ; 0.0569106 ; 0.0609756 ; 0.0569106 ; 0.0650407 ; 0 ; 0 ; 0 ; 0 ; 0
chaîne bn:00074685n ; 0 ; 0 ; 0 ; 0 ; 0.0162602 ; 0 ; 0 ; 0.0162602 ; 0 ; 0.0162602
header bn:00043309n ; 0 ; 0 ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0.0325203
doctype bn:15839327n ; 0 ; 0 ; 0 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0325203 ; 0.0325203 ; 0.0325203
moteur bn:00030850n ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0325203
configuration bn:03088982n ; 0 ; 0 ; 0.0162602 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.0162602 ; 0.0162602
paris bn:00015540n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00813008 ; 0.00813008
langage de script bn:01431715n ; 0 ; 0.0284553 ; 0 ; 0 ; 0.0284553 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0284553
côté serveur bn:03816678n ; 0 ; 0 ; 0.0650407 ; 0 ; 0.0650407 ; 0.0650407 ; 0 ; 0 ; 0.0650407 ; 0.0650407
opérateur bn:16281811n ; 0 ; 0 ; 0.00813008 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00813008
super bn:17336345n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00406504
type bn:00016413n ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0
foreach bn:03463379n ; 0 ; 0.097561 ; 0.113821 ; 0.105691 ; 0.113821 ; 0.113821 ; 0 ; 0 ; 0.105691 ; 0
cle bn:04756252n ; 0 ; 0.0650407 ; 0.0650407 ; 0.0650407 ; 0 ; 0 ; 0 ; 0 ; 0.0650407 ; 0.0650407
serveur bn:00044916n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00406504 ; 0 ; 0 ; 0 ; 0
communication bn:00021221n ; 0 ; 0 ; 0 ; 0 ; 0.00813008 ; 0.00813008 ; 0 ; 0 ; 0 ; 0
interpréter bn:00089840v ; 0 ; 0 ; 0 ; 0 ; 0.0162602 ; 0 ; 0 ; 0.0162602 ; 0 ; 0.0162602
transaction bn:01403911n ; 0 ; 0 ; 0.0162602 ; 0 ; 0.0162602 ; 0 ; 0 ; 0 ; 0 ; 0.0162602
côté client bn:03163702n ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0325203
classes bn:03608262n ; 0 ; 0 ; 0.0650407 ; 0 ; 0.0650407 ; 0.0650407 ; 0 ; 0 ; 0.0650407 ; 0.0650407
bienvenue bn:00080852n ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00813008 ; 0 ; 0 ; 0 ; 0.00813008
class bn:03598962n ; 0 ; 0 ; 0 ; 0 ; 0.0162602 ; 0 ; 0 ; 0 ; 0.0162602 ; 0.0162602
mot bn:00081546n ; 0 ; 0.097561 ; 0.113821 ; 0.105691 ; 0.113821 ; 0.113821 ; 0 ; 0 ; 0 ; 0.105691
méthode bn:01641329n ; 0 ; 0.0813008 ; 0 ; 0.097561 ; 0.134146 ; 0.121951 ; 0.0772358 ; 0.0813008 ; 0.109756 ; 0
session bn:03751534n ; 0 ; 0 ; 0.0325203 ; 0.0325203 ; 0.0325203 ; 0.0325203 ; 0 ; 0 ; 0 ; 0
visiteur bn:03106425n ; 0 ; 0 ; 0.0325203 ; 0 ; 0 ; 0.0325203 ; 0 ; 0.0325203 ; 0 ; 0.0325203
afficher bn:00087013v ; 0 ; 0 ; 0.0325203 ; 0.0325203 ; 0 ; 0.0325203 ; 0 ; 0 ; 0 ; 0.0325203
pouvoir bn:00084451v ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0.00406504
mysqli bn:01438356n ; 0 ; 0 ; 0 ; 0 ; 0.0162602 ; 0 ; 0 ; 0 ; 0.0162602 ; 0.0162602
insert bn:03795444n ; 0 ; 0 ; 0.0325203 ; 0 ; 0 ; 0 ; 0 ; 0.0325203 ; 0.0325203 ; 0.0325203
