Concept ID;Level;Type Obj/Att;Nb Obj;Nb Att;Objects/Attributes;
0;7;Objects;0;10;
0;7;Attributes;0;10;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;
1;6;Objects;1;7;navigateur bn:00013447n;
1;6;Attributes;1;7;C2;C3;C5;C6;C7;C8;C9;
2;4;Objects;1;4;fichier bn:00021475n;
2;4;Attributes;1;4;C1;C6;C9;C10;
3;5;Objects;1;5;donnée bn:00025314n;
3;5;Attributes;1;5;C2;C3;C4;C5;C7;
4;4;Objects;1;4;code bn:00020354n;
4;4;Attributes;1;4;C4;C6;C9;C10;
5;4;Objects;1;4;texte bn:00076732n;
5;4;Attributes;1;4;C5;C6;C7;C10;
6;5;Objects;1;5;délimiter bn:00086464v;
6;5;Attributes;1;5;C3;C4;C6;C8;C10;
7;5;Objects;1;5;nombre bn:00058285n;
7;5;Attributes;1;5;C4;C5;C7;C8;C10;
8;6;Objects;1;7;text bn:14981519n;
8;6;Attributes;1;7;C1;C2;C3;C4;C5;C6;C10;
9;5;Objects;1;6;personne bn:00046516n;
9;5;Attributes;1;6;C3;C4;C5;C8;C9;C10;
10;4;Objects;2;4;page web bn:00080778n;navigateur bn:00013447n;
10;4;Attributes;2;4;C3;C5;C6;C8;
11;4;Objects;2;4;navigateur bn:00013447n;donnée bn:00025314n;
11;4;Attributes;2;4;C2;C3;C5;C7;
12;3;Objects;2;3;navigateur bn:00013447n;nombre bn:00058285n;
12;3;Attributes;2;3;C5;C7;C8;
13;4;Objects;2;4;navigateur bn:00013447n;personne bn:00046516n;
13;4;Attributes;2;4;C3;C5;C8;C9;
14;5;Objects;2;6;navigateur bn:00013447n;méthode post bn:00045088n;
14;5;Attributes;2;6;C2;C3;C6;C7;C8;C9;
15;4;Objects;2;4;navigateur bn:00013447n;type bn:00016413n;
15;4;Attributes;2;4;C3;C5;C6;C7;
16;6;Objects;2;6;serveur web bn:02705179n;foreach bn:03463379n;
16;6;Attributes;2;6;C2;C3;C4;C5;C6;C9;
17;3;Objects;2;3;fichier bn:00021475n;code bn:00020354n;
17;3;Attributes;2;3;C6;C9;C10;
18;3;Objects;2;3;fichier bn:00021475n;text bn:14981519n;
18;3;Attributes;2;3;C1;C6;C10;
19;3;Objects;2;3;client bn:00019764n;text bn:14981519n;
19;3;Attributes;2;3;C1;C3;C4;
20;4;Objects;2;4;base de donnée bn:00025333n;donnée bn:00025314n;
20;4;Attributes;2;4;C3;C4;C5;C7;
21;3;Objects;2;3;code bn:00020354n;personne bn:00046516n;
21;3;Attributes;2;3;C4;C9;C10;
22;3;Objects;2;3;texte bn:00076732n;nombre bn:00058285n;
22;3;Attributes;2;3;C5;C7;C10;
23;4;Objects;2;4;délimiter bn:00086464v;text bn:14981519n;
23;4;Attributes;2;4;C3;C4;C6;C10;
24;4;Objects;2;4;délimiter bn:00086464v;personne bn:00046516n;
24;4;Attributes;2;4;C3;C4;C8;C10;
25;4;Objects;2;4;nombre bn:00058285n;personne bn:00046516n;
25;4;Attributes;2;4;C4;C5;C8;C10;
26;4;Objects;2;4;text bn:14981519n;personne bn:00046516n;
26;4;Attributes;2;4;C3;C4;C5;C10;
27;4;Objects;2;4;text bn:14981519n;site bn:00047172n;
27;4;Attributes;2;4;C1;C2;C3;C5;
28;4;Objects;2;4;text bn:14981519n;langage de script bn:01431715n;
28;4;Attributes;2;4;C2;C5;C6;C10;
29;3;Objects;2;3;personne bn:00046516n;configuration bn:03088982n;
29;3;Attributes;2;3;C3;C9;C10;
30;3;Objects;3;3;page web bn:00080778n;navigateur bn:00013447n;personne bn:00046516n;
30;3;Attributes;3;3;C3;C5;C8;
31;3;Objects;3;3;navigateur bn:00013447n;donnée bn:00025314n;méthode post bn:00045088n;
31;3;Attributes;3;3;C2;C3;C7;
32;3;Objects;3;3;navigateur bn:00013447n;texte bn:00076732n;type bn:00016413n;
32;3;Attributes;3;3;C5;C6;C7;
33;2;Objects;3;2;navigateur bn:00013447n;nombre bn:00058285n;méthode post bn:00045088n;
33;2;Attributes;3;2;C7;C8;
34;3;Objects;3;3;navigateur bn:00013447n;personne bn:00046516n;méthode post bn:00045088n;
34;3;Attributes;3;3;C3;C8;C9;
35;3;Objects;3;3;navigateur bn:00013447n;méthode post bn:00045088n;type bn:00016413n;
35;3;Attributes;3;3;C3;C6;C7;
36;4;Objects;3;4;serveur web bn:02705179n;php bn:01753580n;foreach bn:03463379n;
36;4;Attributes;3;4;C3;C4;C6;C9;
37;5;Objects;3;5;serveur web bn:02705179n;text bn:14981519n;foreach bn:03463379n;
37;5;Attributes;3;5;C2;C3;C4;C5;C6;
38;4;Objects;3;4;serveur web bn:02705179n;personne bn:00046516n;foreach bn:03463379n;
38;4;Attributes;3;4;C3;C4;C5;C9;
39;2;Objects;3;2;client bn:00019764n;text bn:14981519n;site bn:00047172n;
39;2;Attributes;3;2;C1;C3;
40;3;Objects;3;3;base de donnée bn:00025333n;donnée bn:00025314n;nombre bn:00058285n;
40;3;Attributes;3;3;C4;C5;C7;
41;3;Objects;3;3;code bn:00020354n;délimiter bn:00086464v;text bn:14981519n;
41;3;Attributes;3;3;C4;C6;C10;
42;3;Objects;3;3;texte bn:00076732n;text bn:14981519n;langage de script bn:01431715n;
42;3;Attributes;3;3;C5;C6;C10;
43;3;Objects;3;3;délimiter bn:00086464v;nombre bn:00058285n;personne bn:00046516n;
43;3;Attributes;3;3;C4;C8;C10;
44;3;Objects;3;3;délimiter bn:00086464v;text bn:14981519n;personne bn:00046516n;
44;3;Attributes;3;3;C3;C4;C10;
45;3;Objects;3;3;nombre bn:00058285n;text bn:14981519n;personne bn:00046516n;
45;3;Attributes;3;3;C4;C5;C10;
46;3;Objects;3;3;text bn:14981519n;personne bn:00046516n;transaction bn:01403911n;
46;3;Attributes;3;3;C3;C5;C10;
47;3;Objects;3;3;personne bn:00046516n;class bn:03598962n;mysqli bn:01438356n;
47;3;Attributes;3;3;C5;C9;C10;
48;3;Objects;4;3;page web bn:00080778n;navigateur bn:00013447n;délimiter bn:00086464v;méthode post bn:00045088n;
48;3;Attributes;4;3;C3;C6;C8;
49;5;Objects;4;5;navigateur bn:00013447n;serveur web bn:02705179n;post bn:01500184n;foreach bn:03463379n;
49;5;Attributes;4;5;C2;C3;C5;C6;C9;
50;3;Objects;4;3;navigateur bn:00013447n;base de donnée bn:00025333n;donnée bn:00025314n;type bn:00016413n;
50;3;Attributes;4;3;C3;C5;C7;
51;4;Objects;4;4;serveur web bn:02705179n;donnée bn:00025314n;text bn:14981519n;foreach bn:03463379n;
51;4;Attributes;4;4;C2;C3;C4;C5;
52;3;Objects;4;3;serveur web bn:02705179n;php bn:01753580n;code bn:00020354n;foreach bn:03463379n;
52;3;Attributes;4;3;C4;C6;C9;
53;3;Objects;4;3;serveur web bn:02705179n;php bn:01753580n;personne bn:00046516n;foreach bn:03463379n;
53;3;Attributes;4;3;C3;C4;C9;
54;4;Objects;4;4;serveur web bn:02705179n;text bn:14981519n;mysql bn:01225760n;foreach bn:03463379n;
54;4;Attributes;4;4;C3;C4;C5;C6;
55;1;Objects;4;1;fichier bn:00021475n;client bn:00019764n;text bn:14981519n;site bn:00047172n;
55;1;Attributes;4;1;C1;
56;3;Objects;4;3;nombre bn:00058285n;personne bn:00046516n;chaîne bn:00074685n;interpréter bn:00089840v;
56;3;Attributes;4;3;C5;C8;C10;
57;2;Objects;5;2;page web bn:00080778n;navigateur bn:00013447n;délimiter bn:00086464v;personne bn:00046516n;méthode post bn:00045088n;
57;2;Attributes;5;2;C3;C8;
58;4;Objects;5;4;navigateur bn:00013447n;serveur web bn:02705179n;post bn:01500184n;text bn:14981519n;foreach bn:03463379n;
58;4;Attributes;5;4;C2;C3;C5;C6;
59;3;Objects;5;3;navigateur bn:00013447n;serveur web bn:02705179n;post bn:01500184n;personne bn:00046516n;foreach bn:03463379n;
59;3;Attributes;5;3;C3;C5;C9;
60;4;Objects;5;4;navigateur bn:00013447n;serveur web bn:02705179n;post bn:01500184n;méthode post bn:00045088n;foreach bn:03463379n;
60;4;Attributes;5;4;C2;C3;C6;C9;
